,n,perturbation,edist,pvalue,significant,pvalue_adj,significant_adj,delta,sigma,ncells,significant_adj_new
0,0.0027962028188198707,control,0.0,0.0,True,0.0,control,988.6774128572565,988.6774128572565,3,control
1,0.02507208781817638,control,0.0,0.0,True,0.0,control,1638.1121215790665,1638.1121215790665,26,control
2,0.06912625135579575,control,0.0,0.0,True,0.0,control,1510.2305244691838,1510.2305244691838,70,control
3,0.1339745962155613,control,0.0,0.0,True,0.0,control,968.9744425774179,968.9744425774179,134,control
4,0.2181685175319702,control,0.0,0.0,True,0.0,control,696.3264316327566,696.3264316327566,219,control
5,0.31982726222908053,control,0.0,0.0,True,0.0,control,546.4869572418888,546.4869572418888,320,control
6,0.43667994193637794,control,0.0,0.0,True,0.0,control,453.77948708954347,453.77948708954347,437,control
7,0.5661162608824419,control,0.0,0.0,True,0.0,control,404.5485408301178,404.5485408301178,567,control
8,0.7052448255890957,control,0.0,0.0,True,0.0,control,363.99632729885957,363.99632729885957,706,control
9,0.8509577338238256,control,0.0,0.0,True,0.0,control,339.741679180891,339.741679180891,851,control
10,1.0,control,0.0,0.0,True,0.0,control,318.1424218603208,318.1424218603208,1000,control
