,n,perturbation,edist,pvalue,significant,pvalue_adj,significant_adj,delta,sigma,ncells,significant_adj_new
0,0.0027962028188198707,JUND_2,121.69880090890958,0.0,True,0.0,True,1579.1911404121104,723.6524305905813,2,True
1,0.0027962028188198707,LAT_2,93.63590087463284,0.0,True,0.0,True,1608.2988926267399,791.2326851305428,2,True
2,0.0027962028188198707,LCK_2,135.88793866147057,0.0,True,0.0,True,1494.2020616128311,631.9358689666616,2,True
3,0.0027962028188198707,control,0.0,0.0,True,0.0,control,803.9083145187294,803.9083145187294,2,control
4,0.02507208781817638,JUND_2,17.374931748451687,0.0,True,0.0,True,1508.7514639092838,1340.9452334874607,13,True
5,0.02507208781817638,LAT_2,20.890457749683875,0.0,True,0.0,True,1573.2394156703951,1455.7101402453661,13,True
6,0.02507208781817638,LCK_2,19.9175649581628,0.0,True,0.0,True,1548.7298574640236,1417.1028510417548,13,True
7,0.02507208781817638,control,0.0,0.0,True,0.0,control,1435.6513688699595,1435.6513688699595,13,control
8,0.06912625135579575,JUND_2,4.855451918911619,1.0,False,1.0,False,719.0749847000835,686.6704401216908,35,False (lost)
9,0.06912625135579575,LAT_2,4.273595756140743,1.0,False,1.0,False,706.6333392460285,652.5331198990159,35,False (lost)
10,0.06912625135579575,LCK_2,4.1753603673082225,1.0,False,1.0,False,709.2748665880619,661.1382706000393,35,False (lost)
11,0.06912625135579575,control,0.0,0.0,True,0.0,control,703.8587906515056,703.8587906515056,35,control
12,0.1339745962155613,JUND_2,3.3568543917553555,0.0,True,0.0,True,432.55599992850085,426.56734538055827,67,True
13,0.1339745962155613,LAT_2,4.502172670042718,0.0,True,0.0,True,436.98131063049726,429.9545995179002,67,True
14,0.1339745962155613,LCK_2,3.9547746227901044,0.0,True,0.0,True,445.31103477231835,442.55769967241423,67,True
15,0.1339745962155613,control,0.0,0.0,True,0.0,control,414.72730869395775,414.72730869395775,67,control
16,0.2181685175319702,JUND_2,0.6847444070406397,1.0,False,1.0,False,316.70976849771944,315.0196362012619,110,False (lost)
17,0.2181685175319702,LAT_2,1.679887407066353,0.0,True,0.0,True,326.02158064951664,325.3816344381357,110,True
18,0.2181685175319702,LCK_2,1.5563245930301548,0.0,True,0.0,True,318.43467337684143,312.6602945499078,110,True
19,0.2181685175319702,control,0.0,0.0,True,0.0,control,309.37098003054217,309.37098003054217,110,control
20,0.31982726222908053,JUND_2,0.8034458165093454,0.0,True,0.0,True,259.4784562785548,255.1016082488319,160,True
21,0.31982726222908053,LAT_2,2.0686266264397446,0.0,True,0.0,True,263.25095689833176,256.5962896889758,160,True
22,0.31982726222908053,LCK_2,2.0952677052281032,0.0,True,0.0,True,265.0398449356226,259.75827658007665,160,True
23,0.31982726222908053,control,0.0,0.0,True,0.0,control,259.9641905083599,259.9641905083599,160,control
24,0.43667994193637794,JUND_2,1.2121377676207317,0.0,True,0.0,True,218.93776362651994,211.98084242635596,219,True
25,0.43667994193637794,LAT_2,1.9424686982875912,0.0,True,0.0,True,226.6374076676621,222.630798581216,219,True
26,0.43667994193637794,LCK_2,2.054711145136679,0.0,True,0.0,True,228.63831219072236,225.67581562807518,219,True
27,0.43667994193637794,control,0.0,0.0,True,0.0,control,221.13433429090475,221.13433429090475,219,control
28,0.5661162608824419,JUND_2,0.7710403776427626,0.0,True,0.0,True,196.38847157538603,191.72900972174648,284,True
29,0.5661162608824419,LAT_2,1.6384210711219964,0.0,True,0.0,True,201.07372193067863,198.0087529398564,284,True
30,0.5661162608824419,LCK_2,1.9389697709459952,0.0,True,0.0,True,203.3953760534766,200.3095480933507,284,True
31,0.5661162608824419,control,0.0,0.0,True,0.0,control,196.85446390524191,196.85446390524191,284,control
32,0.7052448255890957,JUND_2,0.5427476197809789,0.0,True,0.0,True,181.25340938915414,177.96083523404099,353,True
33,0.7052448255890957,LAT_2,1.4950237061597953,0.0,True,0.0,True,186.1532998503442,183.23374617749516,353,True
34,0.7052448255890957,LCK_2,1.372165084014572,0.0,True,0.0,True,186.04569756647547,183.46936314081643,353,True
35,0.7052448255890957,control,0.0,0.0,True,0.0,control,181.57111207111117,181.57111207111117,353,control
36,0.8509577338238256,JUND_2,0.5739501011066572,0.0,True,0.0,True,170.30404317396554,166.89299123434606,426,True
37,0.8509577338238256,LAT_2,1.6799056191502473,0.0,True,0.0,True,174.01203953033436,170.085902967856,426,True
38,0.8509577338238256,LCK_2,1.5045235948128237,0.0,True,0.0,True,174.95601530689828,172.34967125128077,426,True
39,0.8509577338238256,control,0.0,0.0,True,0.0,control,170.51334801489,170.51334801489,426,control
40,1.0,JUND_2,0.5585585193527471,0.0,True,0.0,True,161.95745817357133,159.39067344950118,500,True
41,1.0,LAT_2,1.6163558798471627,0.0,True,0.0,True,165.5145382435511,162.2622437651642,500,True
42,1.0,LCK_2,1.4507886106935075,0.0,True,0.0,True,165.78102896408978,163.01238500362496,500,True
43,1.0,control,0.0,0.0,True,0.0,control,161.36211705082744,161.36211705082744,500,control
