,n,perturbation,edist,pvalue,significant,pvalue_adj,significant_adj,delta,sigma,ncells,significant_adj_new
0,0.0027962028188198707,MAT2A,883.7971180550155,0.0,True,0.0,True,5013.706700258759,1742.9584477305011,2,True (gained)
1,0.0027962028188198707,control,0.0,0.0,True,0.0,control,3163.9305972702164,3163.9305972702164,2,control
2,0.02507208781817638,MAT2A,98.21627771237672,1.0,False,1.0,False,4524.286388250427,3863.9153762148903,13,False
3,0.02507208781817638,control,0.0,0.0,True,0.0,control,4545.606035620542,4545.606035620542,13,control
4,0.06912625135579575,MAT2A,43.462668314539656,1.0,False,1.0,False,4731.759818655669,4661.168491518598,35,False
5,0.06912625135579575,control,0.0,0.0,True,0.0,control,4557.57795646443,4557.57795646443,35,control
6,0.1339745962155613,MAT2A,15.553290270065645,0.0,True,0.0,True,3527.0498650133704,3383.6766845289803,67,True (gained)
7,0.1339745962155613,control,0.0,0.0,True,0.0,control,3589.2852178253725,3589.2852178253725,67,control
8,0.2181685175319702,MAT2A,13.627675267098198,0.0,True,0.0,True,2921.3380974073707,2635.0711717484987,110,True (gained)
9,0.2181685175319702,control,0.0,0.0,True,0.0,control,3156.788058781727,3156.788058781727,110,control
10,0.31982726222908053,MAT2A,4.989825326301343,0.0,True,0.0,True,2350.049686284436,2344.6019406602154,160,True (gained)
11,0.31982726222908053,control,0.0,0.0,True,0.0,control,2335.921416732168,2335.921416732168,160,control
12,0.43667994193637794,MAT2A,2.33922744460574,1.0,False,1.0,False,2023.8218429101728,2005.2689124715532,219,False
13,0.43667994193637794,control,0.0,0.0,True,0.0,control,2033.10767018749,2033.10767018749,219,control
14,0.5661162608824419,MAT2A,1.6098181849387174,1.0,False,1.0,False,1853.0477457070035,1805.5767020216902,284,False
15,0.5661162608824419,control,0.0,0.0,True,0.0,control,1893.6792250590352,1893.6792250590352,284,control
16,0.7052448255890957,MAT2A,3.0669787807547664,0.0,True,0.0,True,1682.2457900990782,1587.7436939968113,353,True (gained)
17,0.7052448255890957,control,0.0,0.0,True,0.0,control,1763.9387371625617,1763.9387371625617,353,control
18,0.8509577338238256,MAT2A,1.6143106751707705,0.0,True,0.0,True,1605.4724557462764,1533.8846243535424,426,True (gained)
19,0.8509577338238256,control,0.0,0.0,True,0.0,control,1671.1366977301989,1671.1366977301989,426,control
20,1.0,MAT2A,1.3975913980499968,1.0,False,1.0,False,1537.139200283604,1471.6252479558218,500,False
21,1.0,control,0.0,0.0,True,0.0,control,1596.8034441631758,1596.8034441631758,500,control
