,n,perturbation,edist,pvalue,significant,pvalue_adj,significant_adj,delta,sigma,ncells,significant_adj_new
0,0.0027962028188198707,control,0.0,0.0,True,0.0,control,8557.176698418334,8557.176698418334,2,control
1,0.02507208781817638,control,0.0,0.0,True,0.0,control,14948.253957320241,14948.253957320241,13,control
2,0.06912625135579575,control,0.0,0.0,True,0.0,control,16481.24695769563,16481.24695769563,35,control
3,0.1339745962155613,control,0.0,0.0,True,0.0,control,14129.2329054897,14129.2329054897,67,control
4,0.2181685175319702,control,0.0,0.0,True,0.0,control,9840.465647230369,9840.465647230369,110,control
5,0.31982726222908053,control,0.0,0.0,True,0.0,control,7582.58619936563,7582.58619936563,160,control
6,0.43667994193637794,control,0.0,0.0,True,0.0,control,6264.448901566661,6264.448901566661,219,control
7,0.5661162608824419,control,0.0,0.0,True,0.0,control,5375.296351758864,5375.296351758864,284,control
8,0.7052448255890957,control,0.0,0.0,True,0.0,control,4823.402890039915,4823.402890039915,353,control
9,0.8509577338238256,control,0.0,0.0,True,0.0,control,4371.787925333753,4371.787925333753,426,control
10,1.0,control,0.0,0.0,True,0.0,control,4073.3670222760256,4073.3670222760256,500,control
