,control,IFNGR2g1,ATF2g1,IFNGR1g3,CD86g1,IFNGR2g2,POU2F2g1,JAK2g2,IFNGR1g2,TNFRSF14g1,MARCH8g4,CMTM6g3,TNFRSF14g3,IRF1g4,ETV7g2,CAV1g3,CD86g4,IRF7g1,IRF1g1,MARCH8g2,NFKBIAg1,IFNGR1g1,ATF2g4,NFKBIAg2,IFNGR1g4,STAT1g3,ETV7g1,CD86g3,JAK2g1,STAT2g2,PDCD1LG2g3,TNFRSF14g2,SMAD4g2,IRF1g2,CMTM6g1,SMAD4g1,ATF2g2,CAV1g1,UBE2L6g1,STAT5Ag3,CMTM6g2,STAT2g1,JAK2g4,CD86g2,MARCH8g1,STAT3g3,CAV1g2,IRF1g3,NFKBIAg3,JAK2g3,IRF7g2,STAT5Ag4,STAT5Ag2,IFNGR2g3,MARCH8g3,BRD4g4,PDCD1LG2g1,UBE2L6g2,STAT3g1,PDCD1LG2g4,ETV7g4,CAV1g4,CUL3g1,POU2F2g3,CUL3g2,ETV7g3,STAT5Ag1,UBE2L6g4,POU2F2g2,STAT1g2,BRD4g3,SMAD4g4,STAT2g3,IFNGR2g4,IRF7g3,ATF2g3,PDCD1LG2g2,STAT3g4,STAT3g2,STAT2g4,BRD4g1,SMAD4g3,IRF7g4,STAT1g1
control,0.0,0.08267623608188035,0.11182460230728278,0.07674809689656999,0.11890719007430572,0.06882165391830916,0.10362392105803728,0.06050373831357409,0.07588225106160616,0.09250368986467852,0.10563130302232308,0.12822196976544042,0.08937616688508034,0.09101460617181753,0.09559615551370876,0.08239016084957355,0.08117172180078197,0.07826209754048956,0.09602465508057086,0.11558153120128724,0.10435044923989104,0.0922668130979065,0.10375477173889923,0.10769101618429354,0.08353861851850966,0.06953744745481043,0.1131584618023292,0.1022601034082934,0.07410883005916727,0.10699339945044475,0.10338670252755264,0.09615460503265758,0.07925313954877927,0.10776774710064366,0.09273435135770877,0.09427174221379982,0.1030010657794964,0.12041592209266143,0.0894704929780689,0.10998723038934956,0.11328979641491457,0.10237846679499481,0.05735253010184428,0.09230882406910763,0.09279962024345362,0.0890868469737626,0.10555220358881622,0.10294640420636121,0.09106508314402452,0.06882910199571318,0.10705527682987225,0.08811632201258397,0.10350059504113183,0.06794752502886678,0.10316658234105315,0.12465408621845554,0.10632391050678512,0.09349757217911908,0.11047575785307527,0.09749666066317578,0.09200496954973815,0.11630210648520421,0.10701844676150457,0.09009714651605466,0.06937316145820072,0.12082596688618374,0.09711096694632468,0.10611100839483441,0.08876648958071949,0.05754645544081885,0.10610629754902329,0.09937738993360885,0.10737345613887102,0.07664714949208404,0.1297717115962067,0.09919693529139181,0.11147951445440477,0.10472275395166852,0.09940383078753362,0.09027886325768972,0.11880771465551278,0.09029167224942229,0.08078236441504512,0.07055790900622097
IFNGR2g1,0.08267623608188035,0.0,0.09498509554406381,0.05641685995267629,0.07726309249214051,0.061678372070347,0.0796635898618152,0.045952878346773654,0.06029397381227202,0.08410442279600973,0.08695940712099114,0.08283834745253833,0.0812269278017635,0.08099017790974777,0.08061138386309119,0.06537860967807022,0.08126554740248954,0.07804592063106262,0.0770869214796453,0.08877370334858607,0.07150384298285391,0.05242681880461029,0.09316376434520265,0.06804830604206151,0.05654507790082952,0.04285484651279313,0.0935481367575266,0.09322971357095818,0.05666303973830587,0.0691164161226941,0.08206848672454976,0.06974318634099452,0.049278964221127555,0.08776852428020676,0.0939150723072225,0.0648814393320656,0.08987435597532731,0.08013795497729193,0.07165393766523848,0.08034920052618233,0.07905484051553925,0.08301986877059964,0.04261409768670187,0.07689532798540082,0.07689353758766311,0.09126178116084135,0.08785396371924134,0.07663423733875856,0.08893136893954229,0.04353931882278114,0.07015883043289932,0.07579587143616436,0.0774320471144154,0.05524232345476952,0.07266270274555599,0.06438953374988521,0.07880275313049225,0.07243578515932658,0.07502861441571755,0.06702284962833069,0.07557690340327687,0.07596347606392556,0.08189817317748499,0.08221133011273551,0.04340932116798179,0.07721175669401116,0.06548478701528698,0.07998156658426948,0.07862572295182481,0.0401169529218887,0.08275549561171182,0.0729683592634407,0.08459246364384995,0.059770806410115576,0.08124693576517057,0.07437559077472573,0.0775463242679101,0.08379931289469554,0.09529769947421267,0.0717129266899141,0.050445675788176825,0.062050889427038375,0.06554213257232906,0.04679715147846815
ATF2g1,0.11182460230728278,0.09498509554406381,0.0,0.09530777588293737,0.09657925454704139,0.08297396843502983,0.11304053226675433,0.07019707810815587,0.07069091166301418,0.08981357140938563,0.08538730279830013,0.13246717970166563,0.08691107673395418,0.09769178250752227,0.09934558900471628,0.07593709455248608,0.0757463724842954,0.08157223977042542,0.10033352657240943,0.11462783111220673,0.09237755282391694,0.07853809761371966,0.11061217657678206,0.10860522494162111,0.07992142241581142,0.08496199090693037,0.11175279417330836,0.10975018095848446,0.08712666007543293,0.10670823403460379,0.08624158141040693,0.1128051066060084,0.08942958850176506,0.10640791931020764,0.09018366491092651,0.11071209122363805,0.09941805363263571,0.11236770586906764,0.10292700792769151,0.09912200111090802,0.10644182531479987,0.08939108313053806,0.0682010981277677,0.10554763398100077,0.11350315418174713,0.11447694541595382,0.0982342462109285,0.1018963368656661,0.08763800355393189,0.08332194455456411,0.0928557345935855,0.08268976039556548,0.08140210300977074,0.0770988093102196,0.09248773621149084,0.13199685707983316,0.09085650399737068,0.09825936373367881,0.0852872970395159,0.10034265430076353,0.11371365126261314,0.11653509577901236,0.10756892740794563,0.09584063297553111,0.08753218913494393,0.09213572371209379,0.09389858017085574,0.09218909351045608,0.09279111308446765,0.0663021287612167,0.10358329491130769,0.10353682073919068,0.0933381780770905,0.09681015056310377,0.08708615182794908,0.1015322379712493,0.12338582066725898,0.09630817890722257,0.10393836237733245,0.08929420659197487,0.11479831857478806,0.10406354869932379,0.07494112359011228,0.08838193070080251
IFNGR1g3,0.07674809689656999,0.05641685995267629,0.09530777588293737,0.0,0.09755102820056166,0.06955986549554417,0.0953876465339199,0.049345310770008574,0.06746777094571195,0.07486415400687005,0.088968607162908,0.08597856308812304,0.09686718740501535,0.07645746143240541,0.07980561383526569,0.07330445010960726,0.08754294973118758,0.0785333982268895,0.08647531175052235,0.09795611018878354,0.08910386563837279,0.06308814419636335,0.09178516709667486,0.07648905309144205,0.06508233268233866,0.05487741106121793,0.08007233174184208,0.08827595179633611,0.057050482602605465,0.09002421081675685,0.09218952185127384,0.08014862351764915,0.061122817792659816,0.09569488529571578,0.1088034861461199,0.06879422970650353,0.09577933715241427,0.086613762293833,0.06912322455513202,0.09779865379558654,0.07546124221102461,0.08228319730865201,0.04764862586908877,0.09595485991654393,0.08946056260996439,0.0952124767002844,0.10768790936234435,0.07062546939861518,0.08502812889218321,0.05211040385126748,0.07215326985189899,0.0931623956369374,0.07178003289859292,0.05294999761224355,0.07805639138290665,0.07287013400398866,0.07133140246875079,0.08084429087056642,0.08260818092267252,0.08128981376960939,0.08518633378047283,0.08032376027439359,0.07195475816636163,0.06964528729628384,0.048988282973828665,0.08559924186662692,0.06991112529987806,0.09036598286161822,0.07201098763167868,0.037234532887519246,0.08310750066722308,0.0811680018061787,0.08439001928474466,0.07538374946500315,0.10087523427202302,0.08392994361389144,0.08774737273789271,0.08786295998110455,0.0925655537543817,0.08900931646999888,0.05929921788556787,0.07855029180296756,0.06876716295041148,0.05126417191575405
CD86g1,0.11890719007430572,0.07726309249214051,0.09657925454704139,0.09755102820056166,0.0,0.07594080418736762,0.10164166024715658,0.06519499154204714,0.08077308858946343,0.09468779774637937,0.11204354732296004,0.10459993602443834,0.0958100846137181,0.10208638240593615,0.09631095446889723,0.08747790880913253,0.107648804213533,0.08453112984587675,0.11546585577367706,0.10688121891772048,0.11860903762648042,0.0968231924291777,0.11939123275362623,0.09100402315106651,0.08148394342690503,0.07093102842021903,0.13534625138696474,0.09425927747823312,0.08771448377879851,0.10215579783393436,0.11439988265304978,0.09137498391678091,0.08040752080083914,0.12194367375773178,0.0899060427268142,0.10958521829618866,0.08771962881134082,0.11409153902433045,0.09416516738383728,0.09927004713344939,0.1049075288949441,0.10080641826863178,0.06728726239320756,0.10631620355201529,0.10234798186772788,0.12122326369945594,0.11027690498443073,0.08843759705713837,0.1019918383736649,0.08200622707962021,0.07963631991925119,0.09710784698410627,0.10133535667756753,0.08022954975973307,0.11061909139368223,0.11158535249378314,0.10593020923990747,0.10730640225570036,0.1038823347150028,0.08575298006086367,0.09394039197667736,0.10453917076146721,0.10741238864240653,0.09030864060325562,0.07510078617468453,0.11492502480603833,0.08669222169578886,0.09623436419694499,0.11248413643323771,0.05616217945300605,0.08591772103032148,0.11878201072465373,0.09147606387335501,0.0832017546327412,0.12174789915591011,0.08298221193672844,0.11172548624274177,0.10741676881728218,0.12765223705178527,0.09789506631163511,0.10039648532240347,0.09662270575091177,0.0835542506662546,0.07074409314707844
IFNGR2g2,0.06882165391830916,0.061678372070347,0.08297396843502983,0.06955986549554417,0.07594080418736762,0.0,0.08514592531948167,0.05686184916420554,0.07152663836648666,0.07611309251604623,0.07700038303441253,0.08782516527659333,0.08548912985784249,0.08232498617028294,0.08493922670305225,0.07837028219003435,0.08125194633659547,0.0776560185120468,0.08250769154565527,0.08904869059060042,0.07275423914013011,0.06426449249920817,0.08372289110291006,0.0880523077754935,0.06582881150724046,0.05334495714920659,0.08562498418144644,0.08849431339888693,0.060363871496255536,0.09165634837165856,0.08729479572397332,0.07351168211996538,0.07605551799882891,0.0987581926822923,0.08359184400506131,0.06895895251502425,0.08644814074770177,0.07215507621190002,0.07303474092103485,0.09556396394698832,0.06975645509969636,0.0846647421446146,0.059458484289713696,0.09564421527854527,0.08173623568382929,0.09336900736611817,0.08477065341450726,0.06703975680447054,0.08413232718679903,0.05773819404642637,0.05737933294485219,0.07708748194550114,0.07442586396919579,0.06267630665445488,0.08873558769438858,0.066684887512807,0.07709772440645804,0.07839001480898783,0.06602747025016187,0.06928412237074115,0.07142528728952546,0.07172514104777968,0.07375608208265788,0.07287306581750536,0.04908114144793019,0.0671724787760937,0.05679831874934402,0.09619733185122271,0.07879850862093637,0.05455443207147135,0.09902866822390613,0.08245809165971799,0.08466529187789024,0.0656418843914649,0.08686472156144218,0.07380824772007416,0.06803267652585121,0.07459827479482434,0.0821980420801514,0.06952888132647125,0.06423247890243666,0.07757693755972922,0.07069881728322802,0.050577589260699496
POU2F2g1,0.10362392105803728,0.0796635898618152,0.11304053226675433,0.0953876465339199,0.10164166024715658,0.08514592531948167,0.0,0.06150390741255277,0.07556219076691524,0.08294410240689627,0.0920410304606734,0.11066610277984777,0.09996237531949777,0.1026832456994509,0.11444097527041455,0.08902749066676763,0.09703130325362525,0.07685289425043557,0.09949569675570476,0.10746969109758267,0.10853388186340249,0.0673178466058942,0.1085070728619794,0.10226454317252973,0.06623951412472973,0.06604124209098527,0.11425704687133198,0.09224572600868328,0.07192956756168034,0.09555850353244613,0.09048562713678657,0.10234546105809816,0.06745638291640511,0.1150000494740657,0.10420873744757753,0.10570755115811097,0.09409559238484735,0.1089700292870083,0.07324765445220194,0.08619658073624455,0.08911591579263506,0.07760694518103099,0.05705923578476965,0.08512099658980218,0.11197017277219946,0.1065761625602289,0.10248487220772912,0.08792107576573151,0.09171589820905789,0.06570140143017467,0.093666015705757,0.09274677416262281,0.0870339259262312,0.07440832019117861,0.10042114789710611,0.10062287913782694,0.09711086812858304,0.10558018486144123,0.1019549010641998,0.09554518947807084,0.10775639673137309,0.11540079325233579,0.09528006530795587,0.07758382752499868,0.0739598624680141,0.09547402419450525,0.09254099285186282,0.09707703542704131,0.08938891479819627,0.05526695221130418,0.10098288920024537,0.11542144252885282,0.1172151415320095,0.07851360085935445,0.10067985828632717,0.09736972720442312,0.10369320146125696,0.10659177286590389,0.10692542824163268,0.09219430498590298,0.09939050938658471,0.0886465811170009,0.06926798440564225,0.0771188276004653
JAK2g2,0.06050373831357409,0.045952878346773654,0.07019707810815587,0.049345310770008574,0.06519499154204714,0.05686184916420554,0.06150390741255277,0.0,0.054746098414564494,0.059955312295129126,0.06394534827964483,0.07628682403138376,0.06587356946444012,0.07636845734780022,0.0798517291033953,0.06003142775731302,0.07375131727186901,0.07269675572922529,0.06485237942671374,0.07894915775295921,0.07100285167514248,0.041918044694034096,0.07793209673775164,0.06263544515943126,0.05436185188413202,0.04226557441904535,0.07007525012574944,0.08462655143787473,0.04948459648653655,0.0733434973165873,0.06695222108480622,0.06480892312275555,0.05683189225840695,0.06387074819722802,0.07934567445628524,0.06024313352244169,0.07796382551676673,0.06811134693605292,0.06746589529077819,0.08893548400984833,0.06522533956566456,0.07273799918958165,0.04340780104727622,0.07955612989437837,0.07184704613486691,0.07625500235820418,0.07306001315436127,0.06423799282188734,0.05730403622750313,0.046861431259649096,0.0570736816160365,0.07064212091611921,0.06140306141898771,0.050718628327271,0.06935108399752622,0.05054321300848351,0.06116645100584105,0.06609758202294368,0.07629107174910478,0.06368731814544856,0.061280722204273025,0.0707542440034875,0.06848920720926933,0.06662826664665189,0.04001578501083331,0.05963741584586241,0.06931970952701973,0.07718252278157356,0.07031889096226339,0.03296346565139301,0.07701637640335272,0.06760887350669542,0.07684168710829598,0.05269527224869058,0.07794864594799558,0.0751220270624877,0.06511896179957082,0.07535410445685087,0.07794699337616683,0.07215859180025463,0.04997319859092869,0.06958306114312152,0.06493632417111739,0.04200762336233277
IFNGR1g2,0.07588225106160616,0.06029397381227202,0.07069091166301418,0.06746777094571195,0.08077308858946343,0.07152663836648666,0.07556219076691524,0.054746098414564494,0.0,0.08216892080450594,0.08248264241268778,0.07811900635802305,0.08899422910568175,0.08447901641614626,0.08941202076099242,0.08523661954659459,0.0719269834960136,0.07673365586855455,0.0719998009965796,0.098280331093452,0.08145402414153365,0.05681256834771457,0.08062875218214789,0.061450537997410376,0.06542011379619811,0.060985037970121544,0.08645795039329078,0.07563824592183388,0.05977178194719519,0.08604903818419253,0.0727471408645199,0.0719333847006445,0.0702293968132272,0.08978374707078188,0.08196912552924204,0.08435000817415722,0.0716989833788129,0.07305465397996556,0.07758375182075133,0.08828706406449677,0.0691143140589627,0.08620085303250088,0.05617759248574904,0.07691240856906281,0.08320917210741856,0.08836589190507535,0.08344985437452128,0.10399093305919627,0.0662000359841462,0.05855297230832891,0.07642156538611018,0.060021674205166686,0.07402993617916288,0.06175932890126458,0.08701475340356093,0.06380374141909449,0.0864390535645003,0.07909919617214549,0.07816725704179062,0.07941551496761898,0.07850261169100181,0.09244662681421537,0.09372488090470156,0.08016455392337837,0.05207560297254569,0.06939751340775796,0.06997117432861658,0.07906406704200768,0.08949291889824006,0.04995969883216182,0.07914651283977663,0.07298697997837968,0.08914227433032726,0.06026158392701975,0.09284089392290916,0.09539255341529626,0.08165699719559273,0.0861929906558755,0.07780911107554117,0.06480142395691642,0.05756242589691653,0.074164393032839,0.07086703410590828,0.051401155172897825
TNFRSF14g1,0.09250368986467852,0.08410442279600973,0.08981357140938563,0.07486415400687005,0.09468779774637937,0.07611309251604623,0.08294410240689627,0.059955312295129126,0.08216892080450594,0.0,0.09861362897263266,0.10353191620380064,0.10523291617076869,0.09635551550737206,0.08624702793877376,0.0813984926849427,0.08881015115116173,0.07275990989389983,0.093192330601276,0.0970691875332315,0.10075895360509529,0.09343059782601554,0.10629671782239192,0.08262910674351921,0.09997147272369158,0.06107584710361357,0.08697809316834004,0.07843458261287513,0.07474914541990792,0.08217363789153151,0.09175830165814344,0.07058289545107713,0.07747860174296561,0.09612863317969211,0.0889411985645685,0.09089277628054769,0.076519794076342,0.08017196724255586,0.08199486784019061,0.08114918588152696,0.09906940706785598,0.07255963211924764,0.061272654805125865,0.07855955980532348,0.09012383240795689,0.10893335086115553,0.08318937366348753,0.08521406071262784,0.07599647558312925,0.06760209740499816,0.07553273374472258,0.06920055556550692,0.08744689463587153,0.0729305425217553,0.0914790865562688,0.07282368171677897,0.08845469997362711,0.0888742858971734,0.09700917833938194,0.06750050966595594,0.0767968986836399,0.07404341657298961,0.09436758932653519,0.07959230163727941,0.07664981070457169,0.09322957626640252,0.08073536138044599,0.08670412957309057,0.07919413481079471,0.0529294061687871,0.09115915786390374,0.0799977292269906,0.08689059994319406,0.09938335679349355,0.09101334047493288,0.06474189035938795,0.09659574863298469,0.0845836527288687,0.09332905521628744,0.06833034042893249,0.10008763882265471,0.09670295592325893,0.08012039619364128,0.07742448514988222
