,TTBK2,INSR,NOP56,control,RRAS2,JPH3,GLIS3,CDC42EP3,RUNX1T1,IGF1R,ARID1B,BCL2L1,CASP3,P4HB,TUSC1,GBX2,CH25H,TSEN15,HDAC9,NR2F2,PRNP,PRRC2C,NUAK1,HMGA2,PCDHA3,KSR2,EFNA5,MEGF6,YAP1,GABRG3,PPP2R2B,SHC1,FRMD4A,HNRNPA2B1,GSX2,CCDC85C,EPC2,SOX5,SPAST,GPR156,BMPER,SERAC1,GRID2,BCL2,XIAP,HECW1,NOS3,CCR5,EGR2,ATP5C1,SETX,FGD4,C6orf203,ACHE,ATM,SEMA3C,PICALM,ARHGAP20,LTF,LOXHD1,BDNF,CDC5L,CLRN2,TNS3,MAOA,PPARGC1A,GDI1,GSTP1,CSMD1,WNT3,FMNL1,MEF2C,ATXN7,PPP1R3B,FEZF2,SLC2A3,SMEK1,MEGF10,FAM171A2,GIGYF2,RBMS1,BDH1,POU4F1,CPS1,TMSB4X,NOS1,NTRK1,ADAMTS20,TFAM,NQO1,TP53,CYCS,ACE,PDGFA,SNCB,DAPL1,DDIT4,CIC
TTBK2,0.0,0.04493348820535675,0.05070250818794747,0.05171205521313493,0.04851191105971588,0.050465052841899685,0.05293742980481923,0.050312539485587796,0.0449284634779826,0.04913412528354695,0.050067862404488045,0.04162175933208535,0.05250189909048727,0.05847681901189378,0.05545505540546415,0.04476839198483995,0.05060287053240781,0.05207772543230623,0.0472529962987325,0.046997506985106845,0.050808386287669545,0.05687447164428665,0.04930209495958604,0.04391504727643831,0.05067848094813751,0.05448663076780957,0.04008047695502355,0.05084670235825528,0.0489812950257905,0.04536268355612731,0.04572310993013496,0.051503802795362805,0.0586664871303003,0.054128892677954676,0.030488884125756253,0.04810455656464235,0.047646321512970595,0.04281280759217977,0.05497082159450497,0.05200404353515577,0.04913238394902226,0.054000992019042016,0.04776751815318369,0.05542127521027088,0.05630601146260188,0.038680395404177115,0.04890346612071835,0.05286301262949016,0.05821522003081488,0.049442277481751826,0.052868614818671646,0.052589940626582496,0.04391880248162234,0.04654528385445112,0.054674949539979444,0.049097719117293964,0.04709357881776748,0.043842462508122196,0.04499292180066151,0.04427347443682874,0.052557783823955644,0.0498114942160959,0.04643180650787908,0.048448839151360286,0.05584898383373828,0.048739205060751314,0.05129145729575796,0.05381897920665114,0.050286870491933235,0.049427096130018895,0.05545132974150661,0.04917385571082386,0.05175138990434883,0.04959766496705313,0.04451053060751409,0.04515264304143653,0.04780710841775552,0.044242541115084966,0.05766778132484003,0.05315817182527818,0.043474492945536965,0.051741266420739764,0.04924310313148916,0.04668527992209229,0.05821573573785638,0.049711248584198134,0.048854000871577825,0.05886471803042882,0.048759335759735414,0.05325561103606437,0.04957018125533803,0.05655272369156735,0.051183254423362426,0.04687652617794548,0.048061456422206786,0.04683560899566626,0.041696283385407415,0.04368937801417074
INSR,0.04493348820535675,0.0,0.04885836630200236,0.047907659638408887,0.051467641159278994,0.056145259427984956,0.05837610208664152,0.05491799251027493,0.05545490838304054,0.052116521053646406,0.0533016750357044,0.051723048970239355,0.057429798295951934,0.05599620662120322,0.05673653359587226,0.03771479015575349,0.04832357065020231,0.046612678742286764,0.05257452890804691,0.054826287971558724,0.04673222904997029,0.053966771139311726,0.056996024468899016,0.048723294124480024,0.055616489328127676,0.06115678721311596,0.045587639795004783,0.049500825714928434,0.05034008175135648,0.05777974930939449,0.05111794341576849,0.05133207308320563,0.0559509815265507,0.0505743602647686,0.04266235773982051,0.04925491905654643,0.04788470670526262,0.053088710517018224,0.055274393010103326,0.05434711157132997,0.05058014697189142,0.054835888691558504,0.05431099033080853,0.0611438976879577,0.05502783399207475,0.041972499535319,0.05161872754497997,0.04897214297724973,0.055711892230367606,0.05219652566496833,0.05750250773185308,0.0517623033433665,0.053216125832314554,0.04896916325218245,0.04894269385627335,0.04920575967481907,0.047916269550464775,0.0512029327036332,0.051684809776742585,0.04759189777308363,0.05341801055941832,0.04698023560709812,0.051049478455956476,0.051323111136174604,0.05268274749860375,0.05247352947369105,0.056563707839187315,0.0506482581651954,0.04981640718225357,0.05132800393904335,0.05464189792376191,0.04941706058430555,0.054503770716942096,0.05446031957968999,0.04055241959196211,0.05038860377061359,0.05088286464829715,0.05051514592964877,0.05267825561401518,0.05665787454863894,0.04372754124519651,0.05725552381130612,0.057043565834920706,0.052276405421597893,0.050262066743035974,0.05840180918375264,0.05072726783599241,0.049673950171445325,0.05487894331942613,0.0506855768090542,0.048167973552903864,0.051693471965640496,0.050423054898068705,0.045460835873573316,0.050539781492512884,0.046841847559584406,0.053738724457890005,0.04922866565295782
NOP56,0.05070250818794747,0.04885836630200236,0.0,0.08238368115641728,0.06677025503661126,0.0934275597431084,0.07174900575998037,0.0734180520225482,0.07955845671002502,0.05743372019420011,0.0793378823196457,0.08430326288568651,0.06934306249274959,0.07340544220383925,0.08794775617552247,0.04083844825390965,0.0732713144095677,0.07477390277285531,0.08027379775051571,0.06816683887070434,0.08402462823844956,0.05038886011887657,0.07375990634740708,0.08286907351482999,0.06026968614136049,0.05037734610074874,0.05460803594438868,0.056555502851268105,0.05520483964335511,0.054179057395171405,0.06022356718292392,0.04725387671391593,0.057743948079775266,0.06873830904373679,0.04003932039030987,0.07410151852852252,0.07490900142723378,0.06694837881385564,0.06662705945246017,0.06376600128304462,0.05317846756088218,0.06598301441193247,0.0618463896648547,0.07082348862907017,0.07061634389172255,0.04494204678677836,0.07181176266214459,0.08983365516527138,0.0935622637628606,0.04629198731531435,0.06547567043103951,0.06811378852197607,0.07800859594820925,0.0635755873169444,0.08461980470410216,0.06978135186239946,0.07548051217795837,0.07933545378197092,0.056444702344050524,0.07502093405338876,0.05398583157363705,0.052560990353820204,0.0799139955668479,0.06432021920713418,0.06344904047440851,0.06688362460832883,0.07721046055923876,0.07064219036619454,0.08230240772879918,0.07369711638712224,0.0774133376955049,0.06818996696919077,0.07106596780232388,0.07094209795752635,0.05298038781831248,0.06705820262773433,0.07057602985786622,0.06349346793921622,0.05072997851947118,0.055447821155711105,0.07235416288916847,0.07508309781555102,0.06677172751563001,0.06107946966601625,0.08798328966892918,0.05999434205129632,0.05731166905477722,0.06418697932892643,0.055965679776406325,0.06726913896628196,0.08914527659247774,0.07937897901148692,0.05946267408128035,0.07375711896735748,0.08521279089634759,0.09257830380403846,0.06824257487375103,0.07252486814773572
control,0.05171205521313493,0.047907659638408887,0.08238368115641728,0.0,0.07694992805891852,0.08588271127289798,0.0770433270462792,0.08851296264971252,0.1082000434961419,0.05836607036736479,0.10262810738763081,0.10848413047937754,0.08190279010107704,0.06350385223161685,0.09141448802493542,0.04208215479171888,0.0761270810971507,0.07908042708886275,0.07540702531851796,0.07862604679254892,0.08776463529392987,0.06496926932536687,0.0821695843864296,0.07575270263311916,0.07843228247627873,0.050322735231171714,0.0648324394951975,0.06524126570689254,0.05967069733170927,0.05490875874934755,0.06242282053697055,0.06406327382625682,0.07001775994916164,0.08920277849157475,0.04418878373152125,0.07787582836034569,0.07293220348111847,0.061908578127428796,0.08842957244933536,0.059179091058138344,0.06283976338346693,0.07381176775101313,0.06677659974769938,0.07939603127466817,0.08279427799831894,0.05113483616487982,0.09597522400501837,0.09714084656650056,0.09135089844814615,0.05122699248136981,0.06084060620445025,0.06315500460060461,0.07492456544023057,0.08232971297491734,0.08960895927458519,0.08800685738611967,0.09042031039900018,0.10569192556295288,0.06414052953497311,0.1079506351078477,0.06201749014681727,0.06011670081274943,0.06879583217989646,0.06237501573000756,0.057269009484867565,0.06084009628432741,0.06889087459448047,0.06734603585448942,0.09224219399954672,0.0885820607148507,0.08382811577281651,0.0816713178330572,0.06364895084303694,0.06904005456367875,0.05615977977038497,0.08810404891562724,0.06408792479779503,0.06931732251428241,0.058151438915937645,0.051519265969427144,0.07198254355499517,0.0841774018899717,0.08241783674020244,0.062167686067846846,0.07928007521064202,0.06093234855124121,0.07148469319051057,0.0853824467160857,0.06104453085700446,0.06284222407808684,0.07977679268078344,0.07445322522014834,0.054403895629957906,0.09083979598212333,0.08144550617242148,0.10515537647715478,0.08965340957950402,0.06712540604014221
RRAS2,0.04851191105971588,0.051467641159278994,0.06677025503661126,0.07694992805891852,0.0,0.08330190041252343,0.07473812764389019,0.06468026777181472,0.09739529742476286,0.05969325211445192,0.08892943384469508,0.09180080350103693,0.06667893280362693,0.0538350813794603,0.10220068226044986,0.04149064694603132,0.074196164755401,0.10179144961011052,0.06579453605450578,0.06862933865725197,0.07859897557708523,0.06412893692635284,0.07319174128488977,0.07405086942812238,0.07777742793873582,0.05208254245020619,0.053752028173818994,0.0581856813197359,0.04846293682855215,0.06330846182314422,0.06872857078755587,0.0482110710379461,0.05791677297972406,0.08402630452391924,0.04423088619028594,0.07583777012684052,0.0820152053282174,0.05547164978920853,0.0728570052295164,0.0664268885778236,0.06411975864578759,0.07087160758269616,0.06070238171956278,0.08689883959005056,0.0633453080559696,0.05109115319746426,0.09946887576987298,0.07346674577726806,0.0675289133827789,0.044440546938036105,0.06501191013808405,0.07351090238251734,0.07424922165672809,0.06622512843569708,0.06337555706336799,0.09493057969200759,0.09104614909697006,0.06955866927698807,0.0541328776614285,0.07466807855068484,0.05658223047045044,0.052452496307163185,0.06982796728784345,0.05204104680288919,0.06226788110097731,0.05410079206814082,0.07178929639299571,0.06913038162076256,0.0764997160778876,0.07478978016227687,0.07547208856082155,0.06961445278554894,0.06985518738994881,0.09938417319822299,0.05660739602103629,0.06596369160724118,0.05490285627264142,0.06870881278015765,0.06675202553205598,0.04775629246575634,0.06890170634015348,0.08654080554419506,0.07046365897366319,0.06378241566720035,0.07900489031912969,0.08025305693910403,0.06931497251810884,0.08286180160659119,0.05067057037951941,0.07156366148219451,0.06968728739644003,0.058904975747546454,0.05572224414805359,0.09449323516774019,0.07741625306221728,0.08513755357304614,0.08196152863759398,0.060618258948117655
JPH3,0.050465052841899685,0.056145259427984956,0.0934275597431084,0.08588271127289798,0.08330190041252343,0.0,0.07924293645683617,0.06436491607002066,0.11723745334026346,0.061666759663715695,0.0887944531119411,0.11017605165645879,0.07861637229312442,0.058457245982074094,0.0876795427412723,0.04856500848438742,0.116950641035091,0.0826401666781071,0.06462804377402925,0.06822078376703744,0.08680167282233636,0.056942518098303675,0.07064534247465576,0.08349895073239347,0.08785804402726011,0.0598879917843875,0.07144878453157512,0.07445518684422722,0.055606410947960316,0.06500965016819177,0.06399724774596598,0.0579832474725311,0.06649714079629913,0.10361302427719729,0.049347273572153745,0.0914715516646549,0.07808188564837491,0.0765090284052747,0.09956560101107359,0.06626275165983495,0.07350564989066427,0.08045183561874078,0.0736174084616463,0.09040044542724662,0.08519896516034028,0.05245688419189596,0.10170516433425293,0.07896827795816055,0.07949814190234517,0.05526328489112538,0.0793266540226099,0.06547475685327737,0.07499103344692651,0.060424326573476336,0.07255495773560641,0.0725240896093021,0.09269176225703206,0.09249522207577845,0.06330216000352624,0.08880500753477064,0.06562759888495517,0.05830521042889091,0.07231814443111848,0.058537107089580015,0.0683318353862913,0.06621484515926206,0.07344227024904905,0.08409219527026714,0.08398375017099882,0.08660939009597751,0.0797409656691023,0.08866545097256771,0.06982728735115978,0.08042026688692952,0.0565986571993963,0.07159826843317131,0.06648589740980028,0.07079114234515108,0.05868707840472119,0.058533271915117015,0.07787622155540107,0.10481022896847593,0.0836181711644219,0.06699196982973506,0.08269865565367257,0.06548160463460924,0.0841835436738052,0.08981567128862344,0.05864128469717859,0.06544543484371876,0.08084074243104793,0.08901138763275598,0.06509808849373665,0.08175201971649693,0.0862738745133835,0.09038469608199592,0.07029271467006754,0.060829546473696816
GLIS3,0.05293742980481923,0.05837610208664152,0.07174900575998037,0.0770433270462792,0.07473812764389019,0.07924293645683617,0.0,0.061769182065683055,0.08476920551116089,0.06299577397354056,0.07707511779307226,0.0771682460133054,0.07924597881920253,0.05441417825342956,0.08012506319835253,0.04337948181733303,0.07524616066672132,0.06653135027053861,0.06190010370943791,0.0804823476861881,0.07134372775735001,0.056134114061533,0.06309760883256273,0.06867163630910243,0.07120161479390315,0.05274913897714155,0.06575697364969955,0.06683175594051993,0.06486315894567211,0.06860950661799413,0.06509260612124967,0.054640075053135485,0.06285768921306364,0.07797892974557352,0.04881035921520302,0.06356289644451554,0.07533896598647699,0.05527734428016917,0.05972012605842181,0.0654802024499258,0.06310875563958723,0.05510336522498668,0.06930075772906526,0.06962011929539835,0.06539021660120824,0.05317066469131697,0.07909506249078188,0.0718369380052723,0.06472946967406513,0.05965571467391431,0.0670811811480683,0.062043263455177536,0.07229226922372649,0.053128508961222315,0.06274731939289169,0.06484552232804972,0.06914480448786363,0.06945750738858833,0.060029906093619675,0.07144465813404348,0.061138876236128556,0.049092224339807325,0.060555317413846906,0.05795902989864522,0.06461612382215191,0.052585372393843755,0.07953844926428541,0.08228959359995638,0.06875762974214499,0.06496581864293599,0.074931270798137,0.06735201899053295,0.0748988399156596,0.08374291034141651,0.05380888328659551,0.05472326352233906,0.06902032975121757,0.06044271344551422,0.05949999643842175,0.05756543713214292,0.06609794995782972,0.08097115805170227,0.05601191848535597,0.05353464478886959,0.06484442270258174,0.06464236423294993,0.05451106038426562,0.06847032431495538,0.052546921233811314,0.0599824072874188,0.07230117522942217,0.07241153060890793,0.05555985024498188,0.07735865855638682,0.0738822901215267,0.07553301822353024,0.07616003794166565,0.0675122424501369
CDC42EP3,0.050312539485587796,0.05491799251027493,0.0734180520225482,0.08851296264971252,0.06468026777181472,0.06436491607002066,0.061769182065683055,0.0,0.0813289213560859,0.0692187154089236,0.07881232396101866,0.07466056913091113,0.06559692338211225,0.06580618080134602,0.0797513743487216,0.045737911865294766,0.06175298707780883,0.07144712891031092,0.06598031444644617,0.0686303849148875,0.08304670538358323,0.07114834847802684,0.089201239442735,0.07312863080845762,0.0643281494696169,0.05390966667237726,0.058408210998827696,0.05851429470069052,0.06881145564866115,0.07085585492862004,0.06000445451562583,0.07695542311980699,0.0669117873303672,0.06529193066453325,0.048598546808305144,0.07185902694188753,0.07335351919248503,0.06958075839727265,0.07782547584585683,0.05090804717759861,0.05987350256012193,0.0808037681813715,0.06387915858105202,0.07017315664648338,0.07077669316593276,0.061475224982472994,0.05755013040137032,0.08267347549669336,0.07622031836401437,0.057244667855306734,0.06953860532634022,0.06685295254480739,0.07215644897957875,0.07034157848768877,0.06673877855563139,0.07461154060153108,0.0768775244790379,0.08146841845028908,0.06117721685088095,0.07957307608809316,0.07863885594761752,0.06815458303293825,0.08419753943607908,0.07659998613696586,0.06896861050099774,0.048737705769583486,0.06349537810436606,0.06407562100414389,0.07693861532144791,0.0645759393838016,0.07397335603052316,0.06614436294663134,0.07428597438092618,0.08867955530524602,0.07136854716517627,0.06104363808582927,0.06353295338682201,0.061035909001404876,0.058077305066545556,0.0503435274878264,0.07648150916527155,0.06928122366645656,0.07253172583940748,0.05791109716054447,0.07119951295822576,0.0668765667886522,0.06041995266155629,0.07486702807069384,0.06553954834827283,0.07288176117215679,0.06964530936513375,0.06833797170455556,0.04921465665412191,0.07796857117696718,0.06687670817503655,0.08386519298187976,0.07675028782213617,0.07479932629600411
RUNX1T1,0.0449284634779826,0.05545490838304054,0.07955845671002502,0.1082000434961419,0.09739529742476286,0.11723745334026346,0.08476920551116089,0.0813289213560859,0.0,0.05744995259718509,0.09727297151484983,0.12056392203218473,0.0925454244685239,0.06621613071762888,0.1267834501270334,0.044790197286739976,0.09845031087966624,0.08577004937985892,0.08924497928743834,0.0829605097913521,0.11242443277181977,0.06867649994305489,0.07877655795917238,0.09645636354728128,0.07113719153475681,0.055106828464172246,0.07588980465371087,0.07005652723645825,0.06037231557188073,0.07231990076805267,0.0703820971308381,0.06580674328135898,0.07322485291797655,0.08330219621214877,0.04499237250026958,0.08534942716430498,0.0895283826371552,0.06548766960123234,0.10329061182470137,0.06359372829777436,0.07281250221467625,0.08593002126672865,0.07507667718744812,0.08496811456942255,0.06795639635675668,0.04665283658478084,0.09393650712234589,0.08644495208652492,0.09080548022467586,0.0504100653260065,0.07955479845908359,0.06648195509376373,0.10459868863785386,0.0760763114571527,0.08008962569682121,0.10355614027038679,0.07808029670855526,0.13434521628431034,0.06654122502547136,0.12048207058504568,0.0696819974942336,0.06336125689326719,0.07944742107679002,0.05964954183191905,0.07363535135545167,0.0645603797502808,0.07481044218704118,0.0757357035122564,0.10663210065268114,0.0812031990817256,0.08212343123408694,0.07337960424475344,0.08033019572986426,0.08860305151986549,0.06528363823879645,0.07674987785258582,0.06855375053489962,0.08914857232834522,0.05698865306934989,0.05512556021941168,0.08611172809409075,0.09500305649389085,0.08227690944353368,0.06579889709467407,0.0848875363993941,0.06941728302114418,0.08728307665054075,0.08244799117687072,0.06208209823258239,0.06815765019003647,0.09172793958965605,0.06914309240322536,0.06344756136556036,0.09956925359529938,0.09322695294701093,0.10601599186824616,0.1203064994912702,0.07378055584949805
IGF1R,0.04913412528354695,0.052116521053646406,0.05743372019420011,0.05836607036736479,0.05969325211445192,0.061666759663715695,0.06299577397354056,0.0692187154089236,0.05744995259718509,0.0,0.056183755646067216,0.06940246063566255,0.0714914492627287,0.06794911527142254,0.06739952215029794,0.04311137004859831,0.057906761682258695,0.0590266385432512,0.059189501925658757,0.0650161496769038,0.06105173562504913,0.05587362937081587,0.07454239616283595,0.05901443427332813,0.06242385243112926,0.05040560526547441,0.05192514556331029,0.05275879340608301,0.06195500353532953,0.04515725006847625,0.052167511425617125,0.05868519916148199,0.059684856868143184,0.06050009252457205,0.04652387631149944,0.056537180496569965,0.06757869043332204,0.06838061728923081,0.07034972338956055,0.05660645671992754,0.06093619621342246,0.07506978814442124,0.053544291525257054,0.0593029822016441,0.05064466969185928,0.05159001704470089,0.06758330670914166,0.07055536798189867,0.0705865678567767,0.0497956644164466,0.06383161563198222,0.05229610110875828,0.06834020170931009,0.05592658849896176,0.062015752961069315,0.061087979138292815,0.06012837962679698,0.060488497496686805,0.048816400017163065,0.06141379802484992,0.061137816535255574,0.07396525382453245,0.05713884517871401,0.04820814839148102,0.05235933749014971,0.04742441887115419,0.056438018992792834,0.06342517045760004,0.07026119562476899,0.05997139881254919,0.06191750286241184,0.0635193843087538,0.05638600093902443,0.07423352348921144,0.06112018037693355,0.05708155780091263,0.05919749563200716,0.05890335330411686,0.05083977380252743,0.05002360782515787,0.0537278633094146,0.06310711390795198,0.05563086534306928,0.05167421731134122,0.07664720069907191,0.062365914335839864,0.054978460000960835,0.050948998316845386,0.060794411233048955,0.05930545211234424,0.050165697549721514,0.05644319194525392,0.054265150420895955,0.06178217341440715,0.06316493494362484,0.0637985661508608,0.04981072352624514,0.04740013493203296
