perturbation,MAT2A,control,UBA1,UBA1_MAT2A,RAB7A,MAP3K12,RAB7A_MAT2A,MAP3K12_MAT2A,RFK,MMAB,PPP2R1A,HACD2,MMAB_MAT2A,RFK_MAT2A,UQCRQ,MAP3K12_UBA1_MAT2A,PPP2R1A_MAT2A,PPCDC,MAP3K12_UBA1,UROD,HACD2_MAT2A,MVK,UBA1_RAB7A,PPCDC_MAT2A,UQCRQ_MAT2A,UBA1_RFK_MAT2A,UBA1_RFK,UBA1_RAB7A_MAT2A
MAT2A,0.0,20.976047935639087,42.7157108319862,15.718901875076881,19.769612327103005,35.33792818129143,33.08397294472661,6.652249528791231,33.12462173556878,44.3155279676883,42.15261783335404,29.54513860052822,7.117655768290376,10.635055031387083,28.225129366783676,33.646907051215805,9.957528942889383,40.27113441812912,18.796802934514062,18.41871124276605,37.796519562691,23.125096186117162,19.781605039474186,10.42196827064646,12.03359594862701,13.327653641438246,11.026315390573927,18.98279292704717
control,20.976047935639087,0.0,30.421241371215842,10.31384974710619,7.435446258514105,11.686194891699245,28.173968345946435,14.69434135040882,15.580738241201118,30.62045155655187,24.2688196869571,11.864060707236945,16.334380086435658,19.239973901981386,9.776250340628565,29.125315618319405,14.501975007603619,14.138392145222099,15.81200692092051,11.423655025203516,32.840231902747064,10.092914982459263,16.251635952697598,32.731423762946974,18.507317374956187,28.638073614577877,23.6854413394571,50.9102577383789
UBA1,42.7157108319862,30.421241371215842,0.0,19.41009496102737,35.8095071511197,15.776723029524703,13.865162066883101,36.30017880531426,21.9824561140602,8.479320315946666,13.628272626554747,15.819425214717626,28.324089448605264,23.131028069758543,24.007114255920726,9.128325307339537,32.37297569455893,14.299931163516192,16.129776378107806,19.875094428859256,13.999752403207935,14.639188447733261,15.867958687921487,40.69808713710745,20.15888386911297,29.185017810281067,21.20195359223527,81.44601727909372
UBA1_MAT2A,15.718901875076881,10.31384974710619,19.41009496102737,0.0,10.66966155087789,11.903254345108508,17.152105791541544,10.366475908696884,11.607272598504665,20.412723067172408,24.487931976939763,9.311552796728904,9.934017419807617,9.810555443929388,14.448956297994755,19.08613422700836,9.467610556140414,12.796576655597164,10.110193655471903,11.889128424176704,22.7545558826601,7.2703584500649185,7.891373115117233,18.990944992080074,8.819326513774456,13.245400990117332,11.04110049543499,38.79471942714929
RAB7A,19.769612327103005,7.435446258514105,35.8095071511197,10.66966155087789,0.0,13.415135983282084,29.65421046869176,12.140147400379647,14.073247939971111,32.983884974878094,27.179230165893614,12.038163675328462,16.967772257254012,20.29771865388443,12.060256967787836,32.39891639258809,11.83591743044309,17.20071358901248,17.131157523646152,15.37669144305056,36.46895793628681,10.553162039613426,16.566201008339306,32.34808675059452,18.193107228427436,28.756088763926073,24.893982894070177,46.99377658580784
MAP3K12,35.33792818129143,11.686194891699245,15.776723029524703,11.903254345108508,13.415135983282084,0.0,19.37276247627244,24.46718882073708,8.580954972366499,15.505228029924467,15.240182836570625,5.583749935871708,26.40480485070151,22.662239644548663,13.917874667653223,20.875932175958894,20.800122726059783,5.792417713523037,17.327006465670138,14.976664878124723,24.609222381477082,5.15612233820184,13.499608794188987,43.15649162969231,19.157523752858026,32.54505958337245,25.779045647998487,72.45620512582809
RAB7A_MAT2A,33.08397294472661,28.173968345946435,13.865162066883101,17.152105791541544,29.65421046869176,19.37276247627244,0.0,24.552125758458942,16.6593083881653,9.843769905224974,20.697668695821335,18.31633447047858,24.762487551504876,12.64835410849355,28.9704405791382,15.231224636996501,19.22527714575898,20.101746899696536,12.0336183829005,21.02851209890565,11.111665732800645,11.25156645665379,14.549564341973962,28.0470438302238,12.428369931487794,17.767363119764354,14.301932005274693,56.09584562784346
MAP3K12_MAT2A,6.652249528791231,14.69434135040882,36.30017880531426,10.366475908696884,12.140147400379647,24.46718882073708,24.552125758458942,0.0,22.74959096381633,35.584230471904846,35.920325550990356,20.421029454319125,6.800069232558656,7.1854740194607984,21.61426959662481,31.539548811595466,5.112294002976853,29.6090400185401,14.661677107728451,15.581795427746727,32.19960427101165,15.161805351798307,16.414138908465077,10.379646297694137,9.674293938158769,11.263884271425582,9.763385096172783,19.702356714015195
RFK,33.12462173556878,15.580738241201118,21.9824561140602,11.607272598504665,14.073247939971111,8.580954972366499,16.6593083881653,22.74959096381633,0.0,18.825454905064532,18.545936840726995,10.839872350803091,27.011923925514168,21.23767195743551,18.83126374868482,23.009130350005364,18.909775157041338,10.307948849824129,17.727157935755258,15.86126081398612,21.774139254348086,6.977992887990013,12.862999811967995,42.16534009358821,18.401797140396127,32.088583137713954,24.21398543176508,66.52624848642438
MMAB,44.3155279676883,30.62045155655187,8.479320315946666,20.412723067172408,32.983884974878094,15.505228029924467,9.843769905224974,35.584230471904846,18.825454905064532,0.0,12.538505702886198,11.221594659046332,30.980956527277954,24.764269923875133,23.043643094759148,12.292947877084998,33.24519378216746,13.584688772752486,15.449907524338471,23.594296315684005,15.052958284351575,13.51111942356016,13.731754225165105,43.88944404903441,20.141789539438378,30.421535821615578,22.842949206970673,83.05679717489858
