perturbation,TTBK2,INSR,NOP56,control,RRAS2,JPH3,GLIS3,CDC42EP3,RUNX1T1,IGF1R,ARID1B,BCL2L1,CASP3,P4HB,TUSC1,GBX2,CH25H,TSEN15,HDAC9,NR2F2,PRNP,PRRC2C,NUAK1,HMGA2,PCDHA3,KSR2,EFNA5,MEGF6,YAP1,GABRG3,PPP2R2B,SHC1,FRMD4A,HNRNPA2B1,GSX2,CCDC85C,EPC2,SOX5,SPAST,GPR156,BMPER,SERAC1,GRID2,BCL2,XIAP,HECW1,NOS3,CCR5,EGR2,ATP5C1,SETX,FGD4,C6orf203,ACHE,ATM,SEMA3C,PICALM,ARHGAP20,LTF,LOXHD1,BDNF,CDC5L,CLRN2,TNS3,MAOA,PPARGC1A,GDI1,GSTP1,CSMD1,WNT3,FMNL1,MEF2C,ATXN7,PPP1R3B,FEZF2,SLC2A3,SMEK1,MEGF10,FAM171A2,GIGYF2,RBMS1,BDH1,POU4F1,CPS1,TMSB4X,NOS1,NTRK1,ADAMTS20,TFAM,NQO1,TP53,CYCS,ACE,PDGFA,SNCB,DAPL1,DDIT4,CIC
TTBK2,0.0,29.00919972165059,94.91398957627854,95.41225936618633,98.04005486515422,79.27715196830064,61.60700438005614,90.06317762462487,87.3568592161227,86.65810063362329,96.95209106897886,89.78366523218068,94.18010042381252,84.79704916249369,87.82695487755615,32.52083340483085,93.80823414239319,106.6311623677098,70.09544676889573,68.81548539784495,78.69353652849782,100.53363491106512,69.39724739737784,90.65157320099661,102.42423325913347,92.32274761357411,86.95356118555071,90.21379851940009,92.17358175702356,87.13503319945409,98.00525892736391,96.59184979106482,78.29093383569153,91.86779478983266,35.47662814133474,93.54160048498619,66.555415558515,54.17115716914526,67.71631906610412,41.78052590907231,98.54238724815417,83.86420287529893,94.26778860246054,83.5675846194136,81.06790329915992,28.889285445300658,95.65537623411575,90.18899599595687,74.39671624828753,42.04723962769913,72.92282158341982,87.17828813327918,81.72475863356271,86.17027447973578,94.20484629212507,73.49930825976008,98.40609772278702,87.05825510873973,88.74335053480098,100.80462716735565,98.24067664581202,101.824444632846,107.0111026375053,79.12200065169009,86.05224900966323,113.75809477453367,103.79372244476355,74.91331499905783,88.10539368230917,65.5997954227393,77.89891337808643,94.82928027895838,67.66357856881433,81.20688996720935,39.33216956270576,73.29234497069234,87.96124766510746,82.5341567750284,103.84757782712478,109.18407547432304,96.47783336060564,93.37625679503117,90.74672134249721,56.00130816638608,71.31361818592899,80.63594937883141,82.92891300056203,72.44681591332983,79.22532047949596,91.29549496488022,100.97358466934469,98.9574192200518,46.71406414125903,106.53053111804564,72.14691177834283,87.55870819937695,90.95037398675163,71.15634672445975
INSR,29.00919972165059,0.0,59.25344729948563,61.60538082032872,63.43012327021552,50.61098509671069,34.40502955474369,52.63495747241666,57.539209396253455,57.58326013412341,60.30061590880575,53.555896562130215,57.68520953271849,52.10852873872648,55.77682850523365,15.719019185254183,60.98026680616334,69.73554374906462,41.89844038314544,42.75334003912474,49.26183092822157,61.58697394753801,31.09701130299902,58.075833769948815,64.07942688451146,54.907745739892505,52.21159258262014,52.36715339617513,56.355972760904365,49.71156368498134,62.38588175950116,63.37374386703675,49.78941174727572,59.011979170225516,22.140571030300748,61.17245923844945,41.00686250810901,21.246656034013654,34.195437409554586,19.3899535617702,60.37370279577908,52.36311322379248,60.82405287424416,50.04812540960006,48.476709365437614,19.012719814591378,63.23794452988113,55.5140499154586,44.820947330411514,12.830966580068264,47.891244766281375,54.254637172481125,50.80553742970699,54.89814161934618,56.9768761051609,42.16852559199816,67.043845585351,56.20463710703609,55.15909792166576,66.5763404641691,65.69640715523713,66.0722870290981,68.84577213632878,46.98375217125306,50.71789486563216,71.15821880617438,69.53903597454581,43.09448771538541,55.065094285662326,34.50635536563607,45.78353695929934,59.21552906440252,28.84100162918446,50.53230203518268,13.77620860915448,37.97381007199681,59.4622931519263,52.34332320391786,67.05475187169418,71.35725650299082,59.67432856242635,58.00345233066258,60.758842216786775,24.31327236241202,36.52439789156563,50.56492421696976,44.248882080101225,39.422776688541205,47.697180882076225,53.55469105852319,70.96350308283877,62.75116597093836,25.881659973300202,71.56676401463505,42.95172606631769,59.23294140911685,58.914660793027224,35.04975893804772
NOP56,94.91398957627851,59.25344729948566,0.0,3.2659326033679292,4.170955185537281,7.591079974833988,11.109957972315101,10.670346555925505,4.919574761032862,9.14203881561852,6.101034761874217,5.235642919650047,4.4876424354131785,4.063747566538893,5.181549265671066,86.83280149991191,4.479029277086298,5.825074752616871,7.108217264171657,11.022039735484242,5.532347518687288,6.888465304616233,13.112541444713997,3.87820550475287,5.999048627892989,12.652925655495466,4.314708185508948,7.144659407124095,9.158430995348397,6.754139556697169,3.243934354774396,7.169319247911659,3.5947430108183767,5.041844119622084,87.72402008032208,2.931557448828059,8.965185736065706,29.346417014882775,13.764955260617597,28.09367550746714,4.173760745806987,5.9322579384032395,3.7614099692094243,5.4249949306025655,5.646869583353578,64.37164819195647,6.683713002293729,3.7359993333369914,7.442971899568647,37.768135610408564,11.568258222543278,3.865909063064862,5.904510033305343,3.676121855906999,3.9999459140421862,5.362810224770811,3.814887844714363,3.6137320921181697,3.657249877893605,6.577873995893981,4.651833333230144,5.815169816383531,6.011324367817721,5.563461450840549,11.55396583023591,8.069297038255868,6.551096819399731,8.689517522137578,3.8016614334410974,15.456779364760564,5.8999410688774105,4.706851439748334,12.481949363060409,6.07725603203113,29.788469300623063,7.947850866863661,6.2376169980850875,7.528501802970823,5.549317919611127,16.886593778773545,9.078798287421023,2.626207402838034,7.298900523640668,15.735245754267794,11.2504305817003,5.042803139966168,5.79172325905607,6.2570091430242485,8.98821325516397,73.30047865872501,7.012908170748332,4.53357087847661,20.64995028281956,5.866925437539223,5.615966190500615,4.010694165553005,5.8651132409471955,10.317202540754664
control,95.41225936618636,61.60538082032869,3.2659326033679292,0.0,5.029297896887982,8.45579161764833,12.294009091919634,14.451700873751633,5.07653971965226,10.287608065009152,4.025268339344279,6.916922113861915,5.539735589990485,6.876844316313765,5.760574859681782,92.72267056001004,4.40833089939882,5.793061768219161,5.6250541070163536,15.70706342836894,3.822304026998154,8.460242645047487,18.17851042935979,5.099670205044518,8.036036436736993,16.323129496906432,4.975254627877121,10.93014207551127,10.31590774984528,8.29365603659059,3.5793016716682047,8.60022295130824,4.531783824861975,5.113101615301929,93.3297334344038,3.1051329781908663,9.15819953938697,31.673459713118405,17.325774281893842,29.26626897848007,5.148986063515423,6.043755497192336,4.509326484492377,7.3509142564418255,5.96547158209728,66.23872181305262,6.3833558936767645,3.2426915724905143,8.922453311665095,40.9557988129184,12.270216408404025,6.6778824833305634,5.037168575625827,5.261739857899457,5.234636848043706,5.13048705909344,3.776071913691638,3.542475639726206,3.6006037353709814,5.83127095311994,4.959086189872011,7.185226399642033,4.770062742562644,6.462825408429836,14.480287785436389,7.693859589486564,7.944168467286431,10.929742671022382,4.183852607530184,17.116731629612843,7.169536449020853,6.887506702822407,13.401046033762924,6.300059400339478,33.40820978940158,8.825614347842333,5.140550387989748,7.516850412258208,8.18340689489284,19.932758374926493,10.37396725190294,4.536501927897902,10.04361306108214,18.73957044591276,11.90252885633322,7.065455843729893,5.854467751347997,8.059257783726821,8.431544147069161,85.02686409523983,6.939368696057969,4.5483546680988525,21.536631385391644,5.7057886354299825,6.607030385996836,2.4611810081545826,4.805139742011946,11.423737372831312
RRAS2,98.04005486515425,63.43012327021549,4.170955185537281,5.029297896887982,0.0,7.718740872940273,11.960972892586256,9.396674634254225,4.330621134422103,9.37561686331324,4.7718001568104,4.150588686020598,3.1953151101269697,4.501077746720227,3.8449303203768466,90.06163234900049,3.173565432496801,4.986543726156128,7.15468979333977,10.400148671677613,4.858098815314605,6.873326959106038,15.820294913648127,1.7006106597561796,5.446012177877094,13.709258451553893,3.5585601060686827,7.73802629501148,7.469605789962316,7.418477453883554,3.1665495746285472,4.445628022422142,5.418551167310625,3.5036808355566507,91.67478080812566,4.457151959897871,7.294763795612795,31.251516994015617,13.953583885273446,26.958327578435217,4.252824867219829,5.40913380116146,3.0652110003942568,7.926671624140113,7.097804342970335,63.82434861778597,5.359423141044516,5.828178386255871,5.802441384066611,40.63183590885936,11.227294023912606,4.415530133824404,4.846472457657995,3.0872185942395305,3.4509597984288263,5.9507548655275,3.6675031732220162,4.193592016888772,3.7891323081870496,3.5253824100325915,4.33031725998157,4.802298145122165,3.416729664364695,4.464487233631502,10.446057018278196,8.114082731688072,5.538298834645872,8.818358284613623,2.0415561990380695,13.20406600619782,5.831978566149417,5.063126572933896,11.331566619599613,4.923982413308607,35.043993735371345,8.730270064145941,5.49088749919386,5.75394023273401,5.538052914783179,16.064767398627623,6.369718476064207,3.6548738267816674,8.68394194009386,17.759561676791748,12.1189989585734,3.547316500586959,6.230694953975856,7.11696018258354,10.344739480970787,80.72227738979268,5.460918067100394,3.6692316064026045,20.224394577174763,3.4292482019257733,6.76624437240568,4.895925550965856,4.20446608754294,9.944448902443384
JPH3,79.27715196830063,50.61098509671068,7.591079974833988,8.45579161764833,7.718740872940273,0.0,8.43217314158916,10.957441844255655,6.661920789690285,8.999409336649066,8.782251295352964,9.322985829337554,6.338236799904948,5.334341722370979,6.246577333195759,78.36067293227303,8.599224861140144,7.449295494994445,4.945424714508633,7.470061756629363,5.96641655379004,9.119969162989648,12.509650814096872,7.045069715837812,8.540186692179347,10.224736791779193,6.345115000790869,7.039603931011882,8.30182493323072,5.119149479311389,7.95735442510356,8.330418008117405,6.028667550293747,6.22532334573593,76.46599159007793,7.709185097556414,6.53125139962269,25.8780776725347,14.303740326568558,19.921218635784854,7.642357574845121,5.289085671800635,7.123462532641085,4.920527879819716,5.614230935925107,49.4231374059063,7.266939769447916,6.422122319132356,5.848378222528098,33.356682373062014,7.790937474772065,6.1423418119420745,7.284305932325353,6.274125185403861,5.940986995251748,7.363846531138833,8.306623967242828,6.15077887962785,5.564027624845707,10.554266285267133,8.38022744325231,9.059126435481048,10.20303073339879,7.07159700545877,8.41947626077193,12.139659985960563,9.470197196921944,9.498061584638563,6.508180802346075,14.684221121223302,6.087360551434827,6.024928452670011,12.04072933024041,3.9508433119588773,26.558314817402888,11.465314356583221,6.492924082578369,11.81825883047749,8.148919882582945,11.381500496524225,9.7777837759849,6.407680031696813,7.387247303434563,16.033936582018057,10.621964838542183,5.871327864617754,9.528674958479584,6.514474434594874,8.893238581457908,75.2894365468389,8.993073880027154,6.6894680920405705,17.374600456849166,8.510625734610741,6.425293027303425,7.282254921805858,12.549549184148404,8.256443093854486
GLIS3,61.60700438005617,34.40502955474372,11.109957972315101,12.294009091919634,11.960972892586256,8.432173141589175,0.0,11.071255664258103,12.00705849239273,7.318161592467021,10.69595306006073,13.840775497545394,9.006929962583655,7.442758815650706,6.861153495351516,59.09580660184912,9.909498594668634,11.441873252332982,5.706014285172756,8.614889136591927,6.6977533724761145,9.429883076365996,9.510773577697421,10.227371354382143,9.439971152038737,10.149533761493018,8.219975709535078,7.600085893860751,9.176952825869762,7.339778508992026,10.714497988870704,9.6591676326793,6.073894802452173,8.96859903382088,60.51533867897376,9.442680507609765,5.8954653444921234,16.80340124741133,11.845708775939187,11.315393846179688,9.957728448801845,7.068419118901744,8.659360844057034,6.0418719466281345,5.912210404537177,36.48265931694772,10.86830523636678,8.283409749749922,7.311443125020901,21.538125621551814,6.279171454443912,7.135133263989246,8.20614981381928,8.072296346216518,8.629087188953775,5.488343097687192,11.351754258529098,9.23580719091774,7.898521455964072,17.485292090998968,9.7721093216511,11.270750230874143,13.156430478945055,7.485759110857742,8.713248291666645,16.39719507228571,11.783231925705962,6.549600678046602,9.109462890429967,12.115229386976523,5.223046009532823,7.3645837876122755,6.988851230837412,6.873122841818002,17.376789599883438,7.58475261132142,9.256222477908153,9.527212176547266,10.67460998626629,16.000010493129594,16.96714457987926,8.579891178522388,12.853567238775724,8.189352013533778,7.700517388408741,6.473539420177133,7.2569642289926435,5.361308267842929,6.450112004274246,66.19772650980104,11.344034202139909,10.187553913411818,11.14418763210952,13.826245124237943,5.830257248663003,12.536380445995832,12.29587487007413,8.89342526142471
CDC42EP3,90.0631776246249,52.63495747241663,10.670346555925505,14.451700873751633,9.396674634254225,10.95744184425567,11.071255664258103,0.0,14.713785236229342,8.65127082675545,9.701738094790755,11.739047567942237,6.854360925941791,4.327887202217454,7.65611193715614,78.79973591781498,10.230957162549345,9.427408790011668,10.734442657271217,11.651283035328532,10.338339444301454,5.317423628828379,7.816861058805614,8.115654255174178,5.850599713488265,7.1774983549366596,9.06823115158167,6.657901210352463,6.321655369976895,5.061809386138748,9.010704935868517,6.313550735640803,10.514488801507412,6.967437546606192,79.79286146887915,11.60520994777957,11.723108791323313,25.452116127951626,13.54803487123823,18.20402492582042,6.804580007487175,8.787875459003345,8.850207326731521,9.069820245208462,6.722251868929959,57.25259007758524,9.806899162059892,11.173197123312775,8.162619874460859,33.492042817389034,11.166991280444194,5.3750751812128215,10.353744441180055,10.292033734451337,6.2042637259339415,9.28909969134051,13.214835106683182,13.665167392297633,9.696545793397178,13.288038978334583,9.385040526631656,7.594044873062813,9.023018430591918,8.51571765202928,4.636333630605208,10.66379725781158,8.5940286447848,9.568588173191813,8.35606929126331,10.165797367692335,8.72413470529699,8.487449811801412,13.705992525994617,8.214328240273602,32.35675329676192,12.659598820612217,11.529660365717092,13.367248344771212,6.954928330590036,9.148449613955506,10.615081882240617,7.0188839187589736,10.838168872331437,15.510219543212145,8.637299395761318,5.805669963652406,9.382359268336842,9.690395513946982,13.129197696394925,76.38597363288068,11.436735661108429,8.408019900069178,23.195990455882594,12.003780849288233,9.895440935506798,15.89501921138097,15.49678491480367,8.883319589910087
RUNX1T1,87.35685921612273,57.539209396253426,4.919574761032862,5.07653971965226,4.330621134422103,6.661920789690285,12.00705849239273,14.713785236229342,0.0,12.087807812744046,6.634505239087446,4.640791281610916,4.613536284316112,6.599792170862429,5.0070275376454845,85.75020698199751,4.792730341844404,6.781351188807463,6.330198815457862,9.645791956315549,3.9292408272547448,11.979075036142461,16.598206302253516,4.417563103718734,9.135582136006747,16.40116374366724,3.4597400107756755,10.286707398055682,10.330970664013762,8.548898244064816,5.448399865032471,9.337561785811005,5.419639894662566,6.549823186222369,84.00852141186039,5.212771298711331,5.754295633509315,29.451743723119705,13.25161631600426,26.433802483132354,6.738050890558753,4.924151719942273,5.131150871328927,7.7823224846853805,7.442626316737858,58.32529555989703,5.577664983704267,4.5763458344771095,4.928752157707379,36.22714260477758,9.697611035272558,7.063838155918859,5.066944268905644,3.3540535064510237,5.177901463512896,5.962121958856159,4.915066433596635,2.4530837398500296,4.3651121200490195,5.465975732316167,5.997642401155218,8.966365841053573,6.674107569440267,5.185542459436675,12.773280759433618,11.022472696117902,8.98238726424168,9.31992027556413,3.5617019448871474,15.301180027551595,5.413877794528645,6.439434028812997,12.101708331423339,4.77745659359843,28.269629545095114,7.887390878744668,5.5181236194517,7.255424764002186,9.48412814593459,18.731299735300013,7.1220253723577684,6.356275194192861,9.835073502155694,17.948350612911838,11.82576214231915,6.030612670252452,8.311415930305387,6.962264544272301,9.057239694549168,79.38313929859845,6.669181067538929,6.00412137868318,17.713705678861203,4.8652469230201945,6.700456530411884,3.2890217949782112,4.974891370166503,9.449369679887894
IGF1R,86.65810063362329,57.58326013412341,9.14203881561852,10.287608065009152,9.37561686331324,8.99940933664908,7.318161592467021,8.65127082675545,12.087807812744046,0.0,7.574441000643816,15.22726734311479,7.127491431046394,4.951124711599505,6.314115113677616,88.34838683718223,8.213861762731597,6.376536180171826,7.690999095119139,14.61128833760199,5.481567059320923,3.82647910633807,15.186213095348108,9.418132764045538,4.721229860520907,5.308045255291518,8.708810127363222,5.763815990139818,3.50808978432039,7.713467086011093,5.627053552873633,4.57366020454657,5.9657243722606665,5.327759628063575,91.0707659381168,7.9769589699509424,11.345635580394116,31.104880865120066,19.49044836446768,21.25613735780817,4.624915280654847,6.840227486175252,5.15731872522548,6.521385292846759,3.4558158960889784,59.87153095624282,8.378354325932065,7.209172565157104,9.421665568008365,39.80600124528655,5.611804490252723,4.940147452826153,7.551621890345984,8.404197978569584,5.717283196264191,8.208128613292445,8.632393754425266,11.092557555487161,5.559328643560491,13.015364298602606,4.904238067277134,4.84185638230241,8.528702766317622,7.556477988705069,5.639462687663126,8.734066031276313,4.808017856621689,7.603290304455271,8.31434853415766,17.21154038377935,6.452991172667424,4.218263288458473,14.386552885282299,7.820197041371898,35.72639920301367,13.651713722175316,7.436119543652012,11.892925382917525,4.220164997026927,7.9677920364438535,16.792991988830977,6.615678912087901,8.682257652651543,17.553663725127336,13.292799335861304,6.029613626891688,10.88551304674121,9.39608806245218,6.229668203302765,82.82478611260623,6.802548000186903,6.462471376360128,23.233200679425693,10.166354330166143,7.504639267082098,10.872523476036747,12.937262685611131,11.679570618165826
