,singlePCA,multiPCA,edist,pvalue,significant,pvalue_adj,significant_adj,log10_edist
control,0.0,0.0,0.0,0.0,True,0.0,True,-inf
ACTA2,9.689225309611345,20.230395779233504,9.689225309611343,0.365,False,1.0,False,0.9862890549444084
B2M,11.33295067060476,23.2600144282477,11.33295067060476,0.249,False,1.0,False,1.0543429984004926
A2M,5.045118790506507,14.84846144813173,5.045118790506507,0.911,False,1.0,False,0.7028713964310291
AEBP1,5.996826851079675,13.818466424634664,5.996826851079675,0.829,False,1.0,False,0.7779215094503789
CD59,5.306522550556394,16.360127000126795,5.306522550556394,0.873,False,1.0,False,0.7248100141440469
CD274,6.827970454294274,17.29325587203499,6.827970454294274,0.656,False,1.0,False,0.8342916331859996
CTSD,11.09899533816727,19.873576692618997,11.09899533816727,0.197,False,1.0,False,1.0452836689815257
IFNGR2,36.36599292308688,48.85978792832287,36.36599292308688,0.0,True,0.0,True,1.5606954498788703
CSPG4,3.7733839673109344,10.65192098403196,3.7733839673109344,0.996,False,1.0,False,0.5767309998471297
CD44,14.748052744647737,21.782549957606875,14.748052744647737,0.094,False,0.9999999970588896,False,1.1687346821391575
FGFR1,9.544327217272041,20.26368863853321,9.54432721727204,0.368,False,1.0,False,0.9797453202494166
CDH19,11.213688395272897,21.925825507429522,11.213688395272897,0.235,False,1.0,False,1.0497484838033406
CD58,7.7374494523947135,17.851758690304962,7.7374494523947135,0.575,False,1.0,False,0.8885978248562512
APOC2,4.7617934240890065,15.704105907673863,4.761793424089007,0.924,False,1.0,False,0.6777705509335793
APOE,9.06210295650078,19.593588103299908,9.06210295650078,0.417,False,1.0,False,0.9572289919842136
C19orf48,8.529779102632887,17.066373784419966,8.529779102632887,0.468,False,1.0,False,0.9309377843035358
ATP1B1,7.624831300549118,17.04688604812344,7.624831300549118,0.612,False,1.0,False,0.8822302393563829
JAK2,41.703363452832434,55.253344860482116,41.703363452832434,0.0,True,0.0,True,1.6201710830336724
AGA,10.060076504640477,18.74903876158669,10.060076504640476,0.336,False,1.0,False,1.002601283445243
APOD,8.126102121875022,18.83701673854324,8.126102121875022,0.521,False,1.0,False,0.9098822758648846
CITED1,12.187263452475293,19.985628078213722,12.187263452475293,0.14,False,0.9999999999995828,False,1.0859061993911752
CTSB,8.94332112702142,23.042666901252062,8.94332112702142,0.473,False,1.0,False,0.9514988252048828
AHNAK,9.311524298961785,18.449940717536208,9.311524298961784,0.337,False,1.0,False,0.9690207809212537
CDKN1A,5.2063198104594335,16.34558779757799,5.2063198104594335,0.869,False,1.0,False,0.7165308421542806
CTSO,15.090302581370736,29.157955596324143,15.090302581370736,0.069,False,0.999999719209321,False,1.1786979480659914
FSTL3,7.975998716279918,20.54745379552395,7.975998716279918,0.604,False,1.0,False,0.9017850754048288
FBXO32,6.49460831106822,16.747037087002923,6.49460831106822,0.75,False,1.0,False,0.812552963958516
CD47,12.52750362563205,22.230459402016606,12.52750362563205,0.138,False,0.9999999999995192,False,1.0978645371053355
HLA-DRB5,10.767588338574996,23.273024293175183,10.767588338574996,0.235,False,1.0,False,1.0321184434528206
JAK1,52.10438024074506,64.21421752844242,52.10438024074506,0.0,True,0.0,True,1.7168742345168402
CHCHD2,9.73620580070994,22.746352745668673,9.73620580070994,0.354,False,1.0,False,0.9883897452926812
CCND2,12.242972743636585,21.57423252691939,12.242972743636583,0.174,False,0.9999999999999992,False,1.0878868826301216
FMN1,7.721002636904728,16.116642961036973,7.721002636904728,0.634,False,1.0,False,0.887673700776294
C6orf226,8.519022942912557,19.635033017054525,8.519022942912557,0.488,False,1.0,False,0.9303897878612843
CD151,6.2739901678927765,16.847466625797892,6.2739901678927765,0.811,False,1.0,False,0.7975438337698776
CMSS1,5.187276976935664,16.158240698304496,5.187276976935664,0.909,False,1.0,False,0.7149394379575833
CCR10,11.589841913865001,24.08536486704611,11.589841913865,0.194,False,1.0,False,1.0640775122013588
MFGE8,6.393131269141804,17.196561447017984,6.393131269141804,0.75,False,1.0,False,0.8057136218245484
CDKN2B,7.313375428367351,19.812333420489267,7.313375428367351,0.581,False,1.0,False,0.8641178682804305
HLA-A,9.090202354239864,22.18349021788123,9.090202354239864,0.388,False,1.0,False,0.9585735510274246
BZW2,6.344609770065915,18.617002053451188,6.344609770065915,0.755,False,1.0,False,0.802404915647623
CKS1B,8.47065717681997,17.41855772896122,8.47065717681997,0.527,False,1.0,False,0.9279171053950378
IDH2,13.083276729703812,22.990541881549007,13.083276729703812,0.138,False,0.9999999999995192,False,1.1167165274293438
GSN,10.15964062611593,20.19709321226628,10.15964062611593,0.318,False,1.0,False,1.0068783460527095
CTSA,7.505572221274093,16.6681807328701,7.505572221274093,0.618,False,1.0,False,0.875383808247282
CYP27A1,6.66833963528876,15.920297000913479,6.66833963528876,0.725,False,1.0,False,0.8240177114282213
EMP1,13.762934844128552,27.441537516991673,13.762934844128552,0.102,False,0.9999999994393204,False,1.138711053863339
CTSL,6.732643248305493,18.074418194998543,6.732643248305493,0.706,False,1.0,False,0.8281856025271843
JMJD7,7.568206403318442,19.245953845906854,7.568206403318442,0.604,False,1.0,False,0.8789929678176115
IFNGR1,31.910551117552814,45.819202156089716,31.910551117552814,0.0,True,0.0,True,1.5039343048279576
ARMC6,6.588059409839872,16.673451625789255,6.588059409839872,0.702,False,1.0,False,0.8187575068986412
DLL3,8.710880952201535,19.014422577805703,8.710880952201535,0.44,False,1.0,False,0.9400620784672544
NT5E,9.016832758857305,20.183947199215538,9.016832758857303,0.471,False,1.0,False,0.9550540146036124
CORO1A,12.162501996415614,20.9557046811629,12.162501996415614,0.164,False,0.9999999999999966,False,1.0850229245637435
GAA,5.4520144485757385,16.906738079126796,5.4520144485757385,0.853,False,1.0,False,0.7365569981032816
DDR1,6.250316020707999,14.478220487241913,6.250316020707999,0.789,False,1.0,False,0.7959019761568689
CDKN2A,7.920058906043266,19.805909949410022,7.920058906043266,0.605,False,1.0,False,0.8987284116998981
HLA-F,6.940715551410392,14.926133793274971,6.940715551410392,0.687,False,1.0,False,0.8414042462487505
LCP1,13.568351660260873,23.46450119835265,13.568351660260872,0.103,False,0.9999999994986845,False,1.132527090965974
GAS5,9.007660123265907,18.650501477351042,9.007660123265907,0.39,False,1.0,False,0.9546119910313772
CD63,5.97091689878917,19.950208748439593,5.97091689878917,0.762,False,1.0,False,0.7760410268594806
LEF1-AS1,3.473888014738236,13.614261012163695,3.473888014738236,0.996,False,1.0,False,0.5408158142938291
SLC22A18,8.982521199243394,17.60022554078421,8.982521199243394,0.394,False,1.0,False,0.9533982508367276
HLA-H,5.729890028206398,15.573159396326048,5.729890028206398,0.857,False,1.0,False,0.7581462867838917
DAG1,5.429148694145823,14.164705829622108,5.429148694145823,0.882,False,1.0,False,0.7347317363255439
ENPP1,12.338750123659736,21.296903293972605,12.338750123659736,0.171,False,0.999999999999999,False,1.0912711692685844
CXCR4,10.33935411935957,19.33092877888123,10.33935411935957,0.289,False,1.0,False,1.0144934100191263
LAMP2,6.069830939814096,19.19063635592289,6.069830939814096,0.81,False,1.0,False,0.7831765950409362
PSAP,9.345567531295814,17.625848191579905,9.345567531295814,0.379,False,1.0,False,0.9706056800568544
KDR,6.537442966415341,15.739954075345281,6.537442966415341,0.776,False,1.0,False,0.8154079130448686
CDK4,14.446667566886248,23.95701803697051,14.446667566886248,0.089,False,0.9999999944824166,False,1.1597676793264615
LINC00518,4.336112894138921,14.435631594198128,4.336112894138921,0.978,False,1.0,False,0.6371005808788796
IDI2-AS1,14.040097977663123,24.210368891287374,14.040097977663123,0.086,False,0.9999999909860257,False,1.1473701384925026
RTP4,6.2673869087707885,17.24822346879961,6.2673869087707885,0.8,False,1.0,False,0.797086506118101
KCNN4,6.611819608757344,18.023967908010775,6.611819608757344,0.754,False,1.0,False,0.8203209961410947
EVA1A,16.873493247992286,28.399993154419406,16.873493247992286,0.052,False,0.9999907229648448,False,1.2272050020483372
NPC1,6.5247571727187506,18.849984400439837,6.524757172718751,0.654,False,1.0,False,0.8145643534799483
GPNMB,11.181072822104653,21.24353147063306,11.181072822104651,0.222,False,1.0,False,1.0484834760340265
IRF3,9.133800811611508,16.92798961361359,9.133800811611508,0.412,False,1.0,False,0.9606515363533956
GRN,6.466801922426413,16.106180223291233,6.466801922426413,0.742,False,1.0,False,0.8106895587490902
LRPAP1,11.851524655845225,22.193262535516226,11.851524655845225,0.188,False,1.0,False,1.073774224356838
LY96,5.674940616970616,17.15593479215903,5.674940616970616,0.874,False,1.0,False,0.7539613213969819
RB1,12.306820099016733,24.42670845023264,12.306820099016733,0.119,False,0.9999999999788493,False,1.0901458521310377
EIF3K,13.714497639874082,25.05044355792222,13.714497639874082,0.086,False,0.9999999909860257,False,1.1371799040859092
ITGA3,5.811991241616056,16.409429231053252,5.811991241616056,0.834,False,1.0,False,0.7643249511661279
CGAS,5.2068450072754615,12.384287944212701,5.2068450072754615,0.91,False,1.0,False,0.7165746501767791
DDX17,9.44303712599256,18.26272596392124,9.44303712599256,0.422,False,1.0,False,0.9751116971501036
EEA1,9.904943503558627,19.998086918269564,9.904943503558629,0.335,False,1.0,False,0.9958520027253775
HLA-E,7.260037332452242,19.00839200402754,7.260037332452242,0.645,False,1.0,False,0.8609388539282368
NMRK1,7.244273776080803,18.089480998891474,7.244273776080803,0.608,False,1.0,False,0.8599948548383782
SDC3,6.355726319919967,18.728843024933838,6.355726319919967,0.83,False,1.0,False,0.8031651880464246
MIA,13.606804254131987,24.461860876006085,13.606804254131989,0.09,False,0.9999999951537856,False,1.13375613712351
