,singlePCA,multiPCA,edist,pvalue,significant,pvalue_adj,significant_adj,log10_edist
MAT2A,14.444488739332314,34.48988688052464,14.44447669204476,1.0,False,1.0,False,1.1597018124402283
control,0.0,0.0,0.0,0.0,True,0.0,True,-inf
UBA1,14.686727109415358,35.748618145717614,14.686743590402614,1.0,False,1.0,False,1.166925512775061
UBA1_MAT2A,37.51176376722327,52.60113826858435,37.51173436653068,1.0,False,1.0,False,1.5741671443533565
RAB7A,7.611356260160903,24.384638776431075,7.611365157266221,1.0,False,1.0,False,0.8814625578343885
MAP3K12,22.48812496566228,38.64766351608375,22.48809763793872,1.0,False,1.0,False,1.351952718206195
RAB7A_MAT2A,22.80139067991115,37.95459608184103,22.801380981664124,1.0,False,1.0,False,1.357961151147548
MAP3K12_MAT2A,24.280007796543657,38.52927838767539,24.27998777631842,1.0,False,1.0,False,1.385248463759118
RFK,9.687706930550235,23.68675044577344,9.68770161270919,1.0,False,1.0,False,0.9862207537983378
MMAB,29.966871940196484,41.96759218932607,29.966877247786957,1.0,False,1.0,False,1.4766414888677557
PPP2R1A,13.781012453855908,31.618462426127167,13.781013334014574,1.0,False,1.0,False,1.1392811529265026
HACD2,16.327438523722662,31.24047518593784,16.327449488992897,1.0,False,1.0,False,1.2129183488905748
MMAB_MAT2A,39.58568424806606,53.34512032661269,39.58565550328001,0.0,True,0.0,True,1.5975378408659882
RFK_MAT2A,29.13201624702117,47.473193566604664,29.13198525267086,0.0,True,0.0,True,1.4643700814317149
UQCRQ,7.501131113066663,21.862232928631443,7.501101559976405,1.0,False,1.0,False,0.8751250455637206
MAP3K12_UBA1_MAT2A,28.23291830353162,42.38791304214499,28.232890867226278,1.0,False,1.0,False,1.4507553493975442
PPP2R1A_MAT2A,20.49139119040683,35.51553789203649,20.491375640109997,1.0,False,1.0,False,1.311571114714264
PPCDC,15.535747142626462,31.695529039446114,15.53575152435593,1.0,False,1.0,False,1.1913322666020307
MAP3K12_UBA1,34.941605179987334,53.08217003029722,34.94157648326075,0.0,True,0.0,True,1.5433424954533126
UROD,16.752767284145136,28.87106098673189,16.752755298774048,1.0,False,1.0,False,1.2240862449636591
HACD2_MAT2A,44.15186893638656,63.17301412406994,44.15183514578348,0.0,True,0.0,True,1.644948759490569
MVK,15.234144149785209,33.36540283990223,15.234141043727902,1.0,False,1.0,False,1.1828179721467695
UBA1_RAB7A,12.812839510256083,26.55819423115588,12.812830430302428,1.0,False,1.0,False,1.1076450785720495
PPCDC_MAT2A,37.17917408048339,47.686063226964734,37.1791604503631,1.0,False,1.0,False,1.5702995786609677
UQCRQ_MAT2A,25.561895456493744,42.6311753847466,25.56189973244102,1.0,False,1.0,False,1.4075931269768676
UBA1_RFK_MAT2A,39.49238602304672,59.113367432960786,39.49233248393841,0.0,True,0.0,True,1.5965127846605425
UBA1_RFK,33.25831714730725,54.694226122646114,33.258292322734064,0.0,True,0.0,True,1.5218999462108276
UBA1_RAB7A_MAT2A,60.52794356236319,62.92222119706889,60.52790698966044,0.0,True,0.0,True,1.781955656589624
