,n,perturbation,edist,pvalue,significant,pvalue_adj,significant_adj,delta,sigma,significant_adj_new
0,2,DOK2_1,2.11256898959887,1.0,False,1.0,False,21.39366673895059,17.42327146281868,False
1,2,DOK2_2,1.275524229084695,1.0,False,1.0,False,18.28575419108933,14.126733273180832,False
2,2,EGR1_1,1.2957133644084209,1.0,False,1.0,False,19.65628231164384,17.40749586765422,False
3,2,EGR1_2,2.23874810486339,0.0,True,0.0,True,20.296806350099597,16.01753024248797,True
4,2,EGR2_1,1.6890962351523484,1.0,False,1.0,False,20.4832135882752,16.334141181049368,False
5,2,EGR2_2,1.3881732623075322,1.0,False,1.0,False,19.758162546795933,16.42534737249451,False
6,2,EGR3_1,0.7137783040594883,1.0,False,1.0,False,19.747898366443785,18.959755960255418,False
7,2,EGR3_2,1.8966086068908368,1.0,False,1.0,False,22.191556063932907,19.82166407786892,False
8,2,EGR4_1,1.233340347258057,1.0,False,1.0,False,22.852373114352257,21.949109816840842,False
9,2,EGR4_2,1.1005172247700585,1.0,False,1.0,False,21.640121965818235,21.02925961485168,False
10,2,FOS_1,2.0214003559799707,1.0,False,1.0,False,19.337359670891228,14.74819408420965,False
11,2,FOS_2,1.301825804609031,1.0,False,1.0,False,25.108182580670583,28.261938350999806,False
12,2,JUND_1,1.2395672845993886,1.0,False,1.0,False,21.456147598575342,19.70231409860091,False
13,2,JUND_2,1.2442802365582395,1.0,False,1.0,False,17.663012916303657,13.167883544469513,False
14,2,JUN_1,1.7148055110408293,1.0,False,1.0,False,20.412166244636566,15.951196041771071,False
15,2,JUN_2,2.9254945100546337,0.0,True,0.0,True,18.81078528893623,10.98508282192131,True
16,2,LAT_1,3.2480540572105383,0.0,True,0.0,True,24.205720210302324,15.820871288633208,True
17,2,LAT_2,3.164130219198789,0.0,True,0.0,True,20.471072053471847,12.242751145146135,True
18,2,LCK_1,2.633077764536928,0.0,True,0.0,True,23.79409184016223,18.696252106897802,True
19,2,LCK_2,2.3684252703124145,0.0,True,0.0,True,22.792712717765802,20.050209936155735,True
20,2,NFAT5_1,1.324834112871521,1.0,False,1.0,False,19.079860656121387,15.518633505553844,False
21,2,NFAT5_2,0.8139685781036405,1.0,False,1.0,False,18.31090291277679,14.988983478365864,False
22,2,NFATC1_1,2.2409679600121564,0.0,True,0.0,True,25.18490650268354,25.699195534885956,True
23,2,NFATC1_2,1.6094217610295374,1.0,False,1.0,False,25.49254549199003,27.378277712676667,False
24,2,NFKB1_1,0.8899266895906521,1.0,False,1.0,False,20.139900311917707,19.51232590757288,False
25,2,NFKB1_2,1.6310823998804267,1.0,False,1.0,False,21.635774650191774,20.74767886037046,False
26,2,NFKB2_1,1.1785160050144867,1.0,False,1.0,False,18.213224794127463,15.52669796040973,False
27,2,NFKB2_2,0.7424477342228855,1.0,False,1.0,False,19.88620405147988,18.799239432065406,False
28,2,NR4A1_1,1.9495278090075914,1.0,False,1.0,False,22.731493428243073,19.921222498809957,False
29,2,NR4A1_2,1.171757490141168,1.0,False,1.0,False,21.16377899902444,21.5588660221689,False
30,2,PTPN6_1,1.6173546705830546,1.0,False,1.0,False,19.629169622586563,15.141241358760745,False
31,2,PTPN6_2,1.807063072931264,1.0,False,1.0,False,23.765697315155375,23.311120377212816,False
32,2,PTPN11_1,2.174678767440689,1.0,False,1.0,False,23.79223656815444,20.128843168324142,False
33,2,PTPN11_2,2.862117495445503,0.0,True,0.0,True,24.240696092308983,21.707610572654243,True
34,2,RELA_1,2.1397244248964142,1.0,False,1.0,False,21.013198360490534,17.08372008699837,False
35,2,RELA_2,1.2413994099524785,1.0,False,1.0,False,17.972685762755066,14.829634813772783,False
36,2,RUNX2_1,1.372775937804441,1.0,False,1.0,False,18.418490944688347,16.147238852901587,False
37,2,RUNX2_2,1.5142643194505396,1.0,False,1.0,False,18.50212887307667,12.614161211573059,False
38,2,ZAP70_1,2.8826830917008976,1.0,False,1.0,False,23.772956671489602,18.033666583355963,False
39,2,ZAP70_2,3.052899205047119,0.0,True,0.0,True,20.525449877319897,12.256698577978563,True
40,2,control,0.0,0.0,True,0.0,control,20.507682166412142,20.507682166412142,control
41,6,DOK2_1,2.112570563217645,1.0,False,1.0,False,39.82590569600965,34.147890750651186,False
42,6,DOK2_2,1.2755240837395618,1.0,False,1.0,False,38.04892058285425,33.260018780133954,False
43,6,EGR1_1,1.295712582578922,1.0,False,1.0,False,36.951309910852665,31.88532397365863,False
44,6,EGR1_2,2.2387503132394357,0.0,True,0.0,True,40.44278341796245,36.289125147792895,True
45,6,EGR2_1,1.689097372517054,1.0,False,1.0,False,39.61824422238875,34.474688701598815,False
46,6,EGR2_2,1.3881750575142178,1.0,False,1.0,False,39.95854156070084,36.86066363813502,False
47,6,EGR3_1,0.7137784212990468,1.0,False,1.0,False,38.62932814430661,36.395838745531414,False
48,6,EGR3_2,1.8966101556275774,1.0,False,1.0,False,41.330398629781385,37.70271513322844,False
49,6,EGR4_1,1.233340370280068,1.0,False,1.0,False,40.18770546812849,36.577828369966674,False
50,6,EGR4_2,1.1005168659784488,1.0,False,1.0,False,41.06333093533381,39.45808647971814,False
51,6,FOS_1,2.0214012565574606,1.0,False,1.0,False,37.88613237371989,32.005606251698076,False
