,n,perturbation,edist,pvalue,significant,pvalue_adj,significant_adj,delta,sigma,significant_adj_new
0,2,ATF2,24.480218585324508,0.0,True,0.0,True,94.30232080794397,95.02522017180313,True
1,2,CAV1,44.363229384912216,0.0,True,0.0,True,133.1167254249603,161.97698480720308,True
2,2,ETV7,11.988869451042433,1.0,False,1.0,False,91.9423808585979,90.93197146153507,False
3,2,IFNGR1,130.42762623909832,0.0,True,0.0,True,163.42150104726235,75.24449878671324,True
4,2,IRF1,28.24234330013013,0.0,True,0.0,True,97.7249597469575,98.23741020294483,True
5,2,IRF7,18.57041272891678,0.0,True,0.0,True,93.50559679206442,91.01062783389001,True
6,2,MARCH8,22.003357271881015,0.0,True,0.0,True,125.10478936718465,151.65483631059635,True
7,2,PDL1,40.974210742461565,0.0,True,0.0,True,120.06707576505006,125.91732890244215,True
8,2,STAT2,25.84572014631661,0.0,True,0.0,True,99.14787384834315,102.98918041937648,True
9,2,control,0.0,0.0,True,0.0,control,92.83074302129437,92.83074302129437,control
10,6,ATF2,24.480218585324508,0.0,True,0.0,True,182.27381243566848,167.98067142966028,True
11,6,CAV1,44.363229384912216,0.0,True,0.0,True,248.6159332994729,254.7714163781162,True
12,6,ETV7,11.988869451042433,1.0,False,1.0,False,157.48683057012516,154.0917561805019,False
13,6,IFNGR1,130.42762623909832,0.0,True,0.0,True,261.37823185412844,157.79824094995783,True
14,6,IRF1,28.24234330013013,0.0,True,0.0,True,167.8076296077808,162.42271264463122,True
15,6,IRF7,18.57041272891678,0.0,True,0.0,True,172.36655718872925,157.39975449631336,True
16,6,MARCH8,22.003357271881015,0.0,True,0.0,True,205.64799087782063,226.97905930228532,True
17,6,PDL1,40.974210742461565,0.0,True,0.0,True,209.62696433631163,200.75745175494745,True
18,6,STAT2,25.84572014631661,0.0,True,0.0,True,194.05419737471578,180.03497764574374,True
19,6,control,0.0,0.0,True,0.0,control,156.20176508890566,156.20176508890566,control
20,13,ATF2,24.480218585324508,0.0,True,0.0,True,254.82520658159464,228.2392572369488,True
21,13,CAV1,44.363229384912216,0.0,True,0.0,True,328.96419799218233,329.0903380410612,True
22,13,ETV7,11.988869451042433,1.0,False,1.0,False,263.2542408007205,289.10838073829615,False
23,13,IFNGR1,130.42762623909832,0.0,True,0.0,True,342.42079355168266,220.59726258386877,True
24,13,IRF1,28.24234330013013,0.0,True,0.0,True,243.49821533438907,230.46833729775622,True
25,13,IRF7,18.57041272891678,0.0,True,0.0,True,242.0006784402804,213.43023227161612,True
