,n,perturbation,edist,pvalue,significant,pvalue_adj,significant_adj,delta,sigma,significant_adj_new
0,2,HACD2,16.32743976566877,1.0,False,1.0,False,748.5214243473235,673.6705819999104,False
1,2,HACD2_MAT2A,44.15182271980552,0.0,True,0.0,True,670.5705061810859,326.26473559775724,True
2,2,MAP3K12,22.488110963067243,1.0,False,1.0,False,820.8285826979131,752.0551944789747,False
3,2,MAP3K12_MAT2A,24.279984572517606,1.0,False,1.0,False,816.5886623731209,753.0763117369095,False
4,2,MAP3K12_UBA1,34.941571510019116,0.0,True,0.0,True,725.0432980215959,484.58525979721026,True
5,2,MAP3K12_UBA1_MAT2A,28.232891728532366,1.0,False,1.0,False,720.9777719687655,526.397862709434,False
6,2,MAT2A,14.444489316940292,1.0,False,1.0,False,755.2921829032115,650.300798231663,False
7,2,MMAB,29.966861814840968,1.0,False,1.0,False,737.8852205183512,565.6675142391935,False
8,2,MMAB_MAT2A,39.58563688759267,0.0,True,0.0,True,723.572864976172,445.97101005468295,True
9,2,MVK,15.234136495779353,1.0,False,1.0,False,772.8817965918574,713.021956389732,False
10,2,PPCDC,15.535749778204774,1.0,False,1.0,False,790.9858929852205,742.0805177886255,False
11,2,PPCDC_MAT2A,37.17915825662732,1.0,False,1.0,False,801.8528920342532,643.4558498578261,False
12,2,PPP2R1A,13.781000392234603,1.0,False,1.0,False,757.6183948954867,671.7251263615946,False
13,2,PPP2R1A_MAT2A,20.491376462011033,1.0,False,1.0,False,764.7259105982482,630.2420624876189,False
14,2,RAB7A,7.611353752492789,1.0,False,1.0,False,811.007232125992,826.3056383821987,False
15,2,RAB7A_MAT2A,22.801354312095953,1.0,False,1.0,False,734.8804314693883,560.9622289441401,False
16,2,RFK,9.687695075027477,1.0,False,1.0,False,849.3010757718638,898.3447298303446,False
17,2,RFK_MAT2A,29.13199852808839,0.0,True,0.0,True,890.7542704942346,874.0444521822853,True
18,2,UBA1,14.686726504920443,1.0,False,1.0,False,758.6764553097696,665.7321413325141,False
19,2,UBA1_MAT2A,37.511732682842535,1.0,False,1.0,False,778.7086430837693,561.4891288002127,False
20,2,UBA1_RAB7A,12.812836563777239,1.0,False,1.0,False,770.3249869630712,690.185441514069,False
21,2,UBA1_RAB7A_MAT2A,60.52786186036286,0.0,True,0.0,True,863.8446725598857,736.7149773802944,True
22,2,UBA1_RFK,33.25828784943491,0.0,True,0.0,True,751.4927636430208,498.6083816432888,True
23,2,UBA1_RFK_MAT2A,39.49235593645625,0.0,True,0.0,True,811.6101960367946,633.0342788750175,True
24,2,UQCRQ,7.501120119995164,1.0,False,1.0,False,842.5460930207703,875.1928968293578,False
25,2,UQCRQ_MAT2A,25.5618878853345,1.0,False,1.0,False,778.6960117870024,664.9284294736386,False
26,2,UROD,16.752771967633407,1.0,False,1.0,False,828.0061974841386,811.209253054537,False
27,2,control,0.0,0.0,True,0.0,control,795.2409616702283,795.2409616702283,control
28,6,HACD2,16.327474884314142,1.0,False,1.0,False,1024.3514234353067,943.1260457206441,False
29,6,HACD2_MAT2A,44.15182925604114,0.0,True,0.0,True,922.402643613632,546.9168537265649,True
30,6,MAP3K12,22.488115022570867,1.0,False,1.0,False,1075.330592190132,980.2095376379466,False
31,6,MAP3K12_MAT2A,24.279991471571748,1.0,False,1.0,False,1074.2939867747748,990.7336506429198,False
32,6,MAP3K12_UBA1,34.9415687277687,0.0,True,0.0,True,1004.5154403044363,763.4170650797965,True
33,6,MAP3K12_UBA1_MAT2A,28.232889720476408,1.0,False,1.0,False,999.2325267977463,804.6685454967875,False
34,6,MAT2A,14.444471731813053,1.0,False,1.0,False,1035.9784116732178,934.0927529157289,False
35,6,MMAB,29.966871416343565,1.0,False,1.0,False,1020.7971996852958,848.8432649048343,False
36,6,MMAB_MAT2A,39.585644664348706,0.0,True,0.0,True,959.2759095410581,636.7053861883786,True
37,6,MVK,15.23414152729822,1.0,False,1.0,False,1068.2393962827052,1010.4312073485089,False
38,6,PPCDC,15.535760845642756,1.0,False,1.0,False,1066.5745942834526,1009.080654529731,False
39,6,PPCDC_MAT2A,37.179148240038444,1.0,False,1.0,False,1046.1607853653293,851.4218151737947,False
