,n,perturbation,edist,pvalue,significant,pvalue_adj,significant_adj,delta,sigma,significant_adj_new
0,2,ACE,14.969996638904803,0.0,True,0.0,True,283.9034527013915,290.8677013028935,True
1,2,ACHE,4.630226903831357,1.0,False,1.0,False,267.0119346400249,269.3728948852223,False
2,2,ADAMTS20,10.285784270546117,1.0,False,1.0,False,249.63597708015385,230.9635130054768,False
3,2,ARHGAP20,3.681081458469521,1.0,False,1.0,False,263.60863384830753,263.9010162512818,False
4,2,ARID1B,5.585952523530523,1.0,False,1.0,False,193.02623703756385,119.83036460150576,False
5,2,ATM,4.101144470195891,1.0,False,1.0,False,240.1971334526489,214.87868465960076,False
6,2,ATP5C1,59.024796002264196,0.0,True,0.0,True,294.74234632656646,265.1451558441424,True
7,2,ATXN7,11.849610665496073,1.0,False,1.0,False,233.5718888758949,202.07466233724625,False
8,2,BCL2,5.1070667511991985,1.0,False,1.0,False,278.209640275736,279.18812946004664,False
9,2,BCL2L1,4.925937377107175,1.0,False,1.0,False,188.9451441484989,102.18073622702465,False
10,2,BDH1,2.9674415478104947,1.0,False,1.0,False,195.9187316700308,123.3897697519521,False
11,2,BDNF,3.097953605225854,1.0,False,1.0,False,242.62633239078033,222.15327637492834,False
12,2,BMPER,4.157832517131084,1.0,False,1.0,False,245.98932856276576,228.13690323313585,False
13,2,C6orf203,3.4782900755758988,1.0,False,1.0,False,218.6131750039909,168.41755004876555,False
14,2,CASP3,2.990716644047751,1.0,False,1.0,False,214.53102248191163,163.92716205036965,False
15,2,CCDC85C,3.6037001322897027,1.0,False,1.0,False,234.54010667510423,205.86848659664628,False
16,2,CCR5,2.808777484240494,1.0,False,1.0,False,261.54037669499934,259.4773847994281,False
17,2,CDC5L,3.7717970041827016,1.0,False,1.0,False,242.49853720950918,219.68081264067573,False
18,2,CDC42EP3,3.9472280110805116,1.0,False,1.0,False,259.67806412710513,256.4923979724133,False
19,2,CH25H,5.600725182565213,1.0,False,1.0,False,293.55757043413996,321.1754681453626,False
20,2,CIC,11.136026143809175,0.0,True,0.0,True,273.4095111924951,271.2273197085631,True
21,2,CLRN2,4.310778785349356,1.0,False,1.0,False,288.55541078038095,308.04296955941396,False
22,2,CPS1,17.33843098366839,0.0,True,0.0,True,287.67420389026273,298.0028507621668,True
23,2,CSMD1,4.763456751993317,1.0,False,1.0,False,222.82950118173557,178.67508895442765,False
24,2,CYCS,4.408226900778573,1.0,False,1.0,False,259.74786308376093,253.89603840886517,False
25,2,DAPL1,4.676121363195733,1.0,False,1.0,False,233.50629924346805,198.4395493838009,False
26,2,DDIT4,8.067164758815437,1.0,False,1.0,False,196.10028540397437,94.40303294049095,False
27,2,EFNA5,7.087707644589159,1.0,False,1.0,False,310.037010142947,342.4318714236558,False
28,2,EGR2,7.093491540404727,1.0,False,1.0,False,259.69372766082,254.64115943333803,False
29,2,EPC2,6.255528024905516,1.0,False,1.0,False,253.9926788748833,243.5749763302451,False
30,2,FAM171A2,2.0819108966728095,1.0,False,1.0,False,232.73400525508802,200.357569630244,False
31,2,FEZF2,28.296544070082007,0.0,True,0.0,True,249.70464821907808,197.0512592367787,True
32,2,FGD4,3.9571815765227427,1.0,False,1.0,False,185.80005015398166,106.47801497003627,False
33,2,FMNL1,8.373679432869494,1.0,False,1.0,False,199.8508527769174,130.94952249911879,False
34,2,FRMD4A,2.43058086678559,1.0,False,1.0,False,248.50303692287534,232.448795805202,False
35,2,GABRG3,6.9139415473802615,1.0,False,1.0,False,238.31317110934788,207.752064359447,False
36,2,GBX2,51.49192040027654,0.0,True,0.0,True,266.9885938756615,217.5214538114349,True
37,2,GDI1,4.5536155942812115,1.0,False,1.0,False,228.19101465077148,181.46501066050544,False
38,2,GIGYF2,4.450676581577596,1.0,False,1.0,False,263.47618850289064,261.903932902242,False
39,2,GLIS3,6.497980568186222,1.0,False,1.0,False,238.45619485988038,210.351836737613,False
40,2,GPR156,23.470696784882506,0.0,True,0.0,True,247.7388636265486,214.53513935314865,True
41,2,GRID2,3.578367357188995,1.0,False,1.0,False,208.26453538299967,153.2255068070665,False
42,2,GSTP1,4.076667908497598,1.0,False,1.0,False,250.5491503111139,237.4780938420245,False
43,2,GSX2,113.95538379211797,0.0,True,0.0,True,320.9241675277682,225.45615737245768,True
44,2,HDAC9,5.072941764826453,1.0,False,1.0,False,216.49709776857384,165.92187432427838,False
45,2,HECW1,43.490815912195956,0.0,True,0.0,True,305.92035297151364,272.49335649213896,True
46,2,HMGA2,3.3087092804293547,1.0,False,1.0,False,235.755974721028,208.01988609734278,False
47,2,HNRNPA2B1,3.7851639614821124,1.0,False,1.0,False,214.80154590213075,166.37382527935318,False
48,2,IGF1R,4.235033727460348,1.0,False,1.0,False,260.872856719081,258.8777632060334,False
49,2,INSR,86.89461598442816,0.0,True,0.0,True,329.55299090680285,303.7291076708791,True
50,2,JPH3,11.655629290999144,1.0,False,1.0,False,230.52393420859875,184.34099308173907,False
51,2,KSR2,12.851650254143749,0.0,True,0.0,True,360.5836538756913,406.09169615582533,True
52,2,LOXHD1,5.67519609071482,1.0,False,1.0,False,207.98319206516533,143.16512305100332,False
53,2,LTF,4.453040485556301,1.0,False,1.0,False,242.96344842541725,222.2428179913546,False
54,2,MAOA,3.231042258877096,1.0,False,1.0,False,248.92962266148982,234.78759901532763,False
55,2,MEF2C,4.914161566296286,1.0,False,1.0,False,207.77772802463892,135.4051974049087,False
56,2,MEGF6,6.6998285857951885,1.0,False,1.0,False,215.2315612382428,164.54319334897608,False
57,2,MEGF10,5.094721700368325,1.0,False,1.0,False,195.1248623808637,105.57335419426148,False
58,2,NOP56,4.600729691688912,1.0,False,1.0,False,233.99456150117348,202.13999163603796,False
59,2,NOS1,2.817908574178432,1.0,False,1.0,False,253.29215405152635,243.95146768570868,False
60,2,NOS3,4.869659015344013,1.0,False,1.0,False,257.877130572253,245.4103213566307,False
61,2,NQO1,146.83694328165916,0.0,True,0.0,True,284.4127316538031,181.5048059475475,True
62,2,NR2F2,14.612627773200785,1.0,False,1.0,False,211.88388991401484,144.83497266740255,False
63,2,NTRK1,10.185144292010335,1.0,False,1.0,False,227.99466231756472,190.39827055665384,False
64,2,NUAK1,14.121697541441392,1.0,False,1.0,False,234.12376689527733,190.15657209060473,False
65,2,P4HB,2.865083061774783,1.0,False,1.0,False,254.22234257669714,243.1550301115684,False
