,edist,pvalue,significant,pvalue_adj,significant_adj,log10_edist
Tcrlibrary_BACH2_1,5.971203562463984,1.0,False,1.0,False,0.776061876833748
Tcrlibrary_BACH2_2,6.822481129705892,1.0,False,1.0,False,0.8339423431288984
Tcrlibrary_BACH2_3,8.426813822558216,1.0,False,1.0,False,0.9256633989611353
Tcrlibrary_DOK2_1,6.705033610701037,1.0,False,1.0,False,0.8264009592055757
Tcrlibrary_DOK2_3,6.431167138095418,1.0,False,1.0,False,0.8082897965069356
Tcrlibrary_EGR1_1,11.858683450825168,0.0,True,0.0,True,1.0740364763992793
Tcrlibrary_EGR1_2,11.897660821193853,1.0,False,1.0,False,1.075461583887691
Tcrlibrary_EGR1_3,7.378895685032376,1.0,False,1.0,False,0.8679913707955484
Tcrlibrary_EGR2_2,6.666799075046612,1.0,False,1.0,False,0.8239173664929771
Tcrlibrary_EGR3_1,5.558616293415355,1.0,False,1.0,False,0.7449666960922
Tcrlibrary_EGR4_2,10.63257790195101,1.0,False,1.0,False,1.026638573353003
Tcrlibrary_FOS_1,9.214273973280996,1.0,False,1.0,False,0.9644611212350006
Tcrlibrary_FOS_2,6.245013460634908,1.0,False,1.0,False,0.7955333787987313
Tcrlibrary_FOS_3,7.703399851460489,1.0,False,1.0,False,0.8866824408673022
Tcrlibrary_JUNB_1,5.46428921951636,1.0,False,1.0,False,0.7375336780665658
Tcrlibrary_JUNB_2,8.271096969288095,1.0,False,1.0,False,0.9175631124685104
Tcrlibrary_JUNB_3,7.645719645785647,1.0,False,1.0,False,0.8834183692100127
Tcrlibrary_JUND_1,6.911330555629945,1.0,False,1.0,False,0.8395616649343761
Tcrlibrary_JUND_2,5.368873536772895,1.0,False,1.0,False,0.7298831743248444
Tcrlibrary_JUND_3,7.921200319536553,1.0,False,1.0,False,0.8987909963183938
Tcrlibrary_JUN_2,5.7539527224467975,1.0,False,1.0,False,0.7599662891732113
Tcrlibrary_JUN_3,10.278044126424163,1.0,False,1.0,False,1.011910477896866
Tcrlibrary_LAT_1,9.226010744771202,1.0,False,1.0,False,0.9650139560593848
Tcrlibrary_NFATC1_1,8.078620860058834,1.0,False,1.0,False,0.9073372266176104
Tcrlibrary_NFATC1_2,5.515439175289487,1.0,False,1.0,False,0.741580099516186
Tcrlibrary_NFATC1_3,8.930817553864813,1.0,False,1.0,False,0.9508912173297627
Tcrlibrary_NFATC3_1,8.564385920879914,1.0,False,1.0,False,0.9326962288620486
Tcrlibrary_NFKB1_1,5.470948768051585,1.0,False,1.0,False,0.7380626479054768
Tcrlibrary_NFKB1_2,8.182072732420323,1.0,False,1.0,False,0.9128633357280367
Tcrlibrary_NFKB1_3,10.932243559185792,1.0,False,1.0,False,1.0387092987645037
Tcrlibrary_NFKB2_1,6.080262590228813,1.0,False,1.0,False,0.7839223356912821
Tcrlibrary_NR4A1_1,5.780427928617314,1.0,False,1.0,False,0.7619599906969639
Tcrlibrary_NR4A1_2,6.693776808041065,1.0,False,1.0,False,0.8256712274940995
Tcrlibrary_NR4A1_3,7.531194142614453,1.0,False,1.0,False,0.8768638431901622
Tcrlibrary_PTPN6_1,6.563747557216857,1.0,False,1.0,False,0.8171518696668617
Tcrlibrary_PTPN6_2,13.19940874593604,1.0,False,1.0,False,1.1205544778627925
Tcrlibrary_PTPN11_2,7.925570517808353,1.0,False,1.0,False,0.8990305344630244
Tcrlibrary_RELA_3,13.172786766187755,1.0,False,1.0,False,1.1196776617612294
Tcrlibrary_RELB_1,5.286446106365702,1.0,False,1.0,False,0.7231638090715373
Tcrlibrary_REL_2,7.604971128435267,1.0,False,1.0,False,0.8810975696335868
Tcrlibrary_RUNX2_1,4.601474252802063,1.0,False,1.0,False,0.6628969963077534
Tcrlibrary_RUNX2_2,3.18776470119019,1.0,False,1.0,False,0.5034862572830305
Tcrlibrary_RUNX2_3,4.666861352192882,1.0,False,1.0,False,0.6690248986198893
Tcrlibrary_ZAP70_2,10.648000640490977,1.0,False,1.0,False,1.0272680685899929
control,0.0,0.0,True,0.0,True,-inf
