,edist,pvalue,significant,pvalue_adj,significant_adj,log10_edist
control,0.0,0.0,True,0.0,True,-inf
p-INTERGENIC216151,22.46351505244988,0.0,True,0.0,True,1.351477714901351
p-INTERGENIC393453,14.867980135491138,0.001,True,0.05543286914108049,False,1.1722519721807272
p-INTERGENIC393453_p-INTERGENIC216151,10.806640410478906,1.0,False,1.0,False,1.0336907006172034
p-INTERGENIC393453_p-sgE2F4-6,13.704291620034127,1.0,False,1.0,False,1.136856591611286
p-INTERGENIC393453_p-sgE2F4-7,13.399373474766577,1.0,False,1.0,False,1.1270844921847432
p-INTERGENIC393453_p-sgELF1-2,16.038669384888863,1.0,False,1.0,False,1.205168335097091
p-INTERGENIC393453_p-sgELF1-4,11.078237365611244,1.0,False,1.0,False,1.044470666233193
p-INTERGENIC393453_p-sgELF1-5,10.258344829033604,1.0,False,1.0,False,1.0110772935627876
p-INTERGENIC393453_p-sgGABPA-1,10.888864821006536,1.0,False,1.0,False,1.0369826063241858
p-INTERGENIC1144056,15.59271165092224,1.0,False,1.0,False,1.1929216477498663
p-INTERGENIC1144056_p-INTERGENIC393453,16.216672540597926,1.0,False,1.0,False,1.2099617471929593
p-INTERGENIC1144056_p-sgELF1-2,10.156909923096663,1.0,False,1.0,False,1.0067616009135922
p-INTERGENIC1144056_p-sgELF1-5,13.831761641763308,1.0,False,1.0,False,1.1408774962752033
p-INTERGENIC1144056_p-sgGABPA-1,16.63618827959192,1.0,False,1.0,False,1.2210538268362667
p-INTERGENIC1216445,19.63374843175646,1.0,False,1.0,False,1.2930032220563477
p-INTERGENIC1216445_p-sgELF1-2,11.010284989531442,1.0,False,1.0,False,1.0417985603685793
p-sgCREB1-2,17.84851685019234,1.0,False,1.0,False,1.2516021335832939
p-sgCREB1-2_p-INTERGENIC393453,6.01309547128875,1.0,False,1.0,False,0.7790980992928177
p-sgCREB1-4,11.185838318355906,1.0,False,1.0,False,1.0486685376854783
p-sgCREB1-4_p-INTERGENIC393453,10.612367415745013,1.0,False,1.0,False,1.0258122774833387
p-sgCREB1-5,15.824576960240336,1.0,False,1.0,False,1.199332108813312
p-sgCREB1-5_p-INTERGENIC216151,16.443202184149754,1.0,False,1.0,False,1.2159863968709679
p-sgCREB1-5_p-INTERGENIC393453,21.406019411383312,0.0,True,0.0,True,1.3305359149171878
p-sgE2F4-6,15.617267612624488,1.0,False,1.0,False,1.1936050522965782
p-sgE2F4-6_p-INTERGENIC216151,14.782618567231651,1.0,False,1.0,False,1.1697513710391754
p-sgE2F4-7,11.723213757503657,1.0,False,1.0,False,1.0690466838513737
p-sgEGR1-2,12.714863907202925,1.0,False,1.0,False,1.1043117160911926
p-sgEGR1-3,15.963408470948707,1.0,False,1.0,False,1.2031256264934367
p-sgEGR1-4,16.963628986852882,1.0,False,1.0,False,1.2295187653955164
p-sgELF1-1,15.083220699372333,1.0,False,1.0,False,1.1784940857393247
p-sgELF1-1_p-INTERGENIC393453,13.840223782572707,1.0,False,1.0,False,1.141143112284811
p-sgELF1-2,15.448645917242004,1.0,False,1.0,False,1.188890419266261
p-sgELF1-2_p-INTERGENIC216151,16.141794077580442,1.0,False,1.0,False,1.2079518026718001
p-sgELF1-4,8.287081812239165,1.0,False,1.0,False,0.9184016263335804
p-sgELF1-5,14.868688092019482,1.0,False,1.0,False,1.1722726511358403
p-sgELF1-5_p-sgELF1-2,13.238983920987806,1.0,False,1.0,False,1.1218546547077939
p-sgELK1-1,17.554954672259726,1.0,False,1.0,False,1.2443997124335038
p-sgELK1-1_p-INTERGENIC393453,9.368513617330848,1.0,False,1.0,False,0.9716706923821928
p-sgELK1-6,9.805523260290784,1.0,False,1.0,False,0.9914707742397374
p-sgELK1-6_p-sgELF1-2,11.122429326187444,1.0,False,1.0,False,1.0461996548476546
p-sgELK1-7,10.406959023226307,1.0,False,1.0,False,1.017323844556751
p-sgETS1-3,12.079835015493785,1.0,False,1.0,False,1.08206100279919
p-sgETS1-3_p-INTERGENIC393453,16.918658749450685,1.0,False,1.0,False,1.228365930759685
p-sgETS1-5,15.547867101574496,1.0,False,1.0,False,1.1916708197583334
p-sgETS1-5_p-INTERGENIC393453,16.886741854302215,1.0,False,1.0,False,1.22754586442037
p-sgGABPA-1,15.034782095796942,1.0,False,1.0,False,1.177097138104727
p-sgGABPA-9,14.845405445808183,1.0,False,1.0,False,1.1715920631966417
p-sgGABPA-9_p-INTERGENIC393453,8.75773108681912,1.0,False,1.0,False,0.94239160569927
p-sgIRF1-2,18.761562009033725,1.0,False,1.0,False,1.2732689930869712
p-sgIRF1-3,16.10519774966218,1.0,False,1.0,False,1.2069660617269506
p-sgNR2C2-2,16.39725846470725,1.0,False,1.0,False,1.21477124236612
p-sgNR2C2-3,6.704626976139906,1.0,False,1.0,False,0.8263746201129549
p-sgNR2C2-5,13.699705090204816,1.0,False,1.0,False,1.1367112183187977
p-sgNR2C2-5_p-INTERGENIC393453,21.085719587881243,1.0,False,1.0,False,1.3239884266794797
p-sgNR2C2-5_p-sgELF1-2,13.807633664406183,1.0,False,1.0,False,1.1401192560914821
p-sgNR2C2-5_p-sgELK1-6,12.851700496283485,1.0,False,1.0,False,1.108960595939002
p-sgYY1-3,17.122359516702915,1.0,False,1.0,False,1.2335636116539597
p-sgYY1-3_p-INTERGENIC393453,16.60461374865642,1.0,False,1.0,False,1.2202287776291847
p-sgYY1-10,8.69196923997606,1.0,False,1.0,False,0.9391181807257651
