perturbation,SMEK1,BCL2L1,ARHGAP20,GRID2,JPH3,TFAM,YAP1,CSMD1,RRAS2,NOP56,ACHE,LTF,CDC5L,DDIT4,P4HB,SERAC1,ATM,SHC1,PICALM,CCR5,DAPL1,control,CCDC85C,CASP3,PPP1R3B,RUNX1T1,FAM171A2,NOS3,PPP2R2B,GDI1,CH25H,PCDHA3,CLRN2,HMGA2,TSEN15,CYCS,PDGFA,BDNF,TP53,PPARGC1A,EFNA5,GIGYF2,LOXHD1,GABRG3,RBMS1,TUSC1,FMNL1,MEF2C,FRMD4A,C6orf203,MEGF10,GSTP1,XIAP,IGF1R,HDAC9,TMSB4X,GSX2,WNT3,FEZF2,ATP5C1,INSR,GBX2,GPR156,TTBK2,HECW1,ACE,SNCB,NUAK1,GLIS3,NQO1,SOX5,CPS1,ATXN7,SPAST,CIC,SLC2A3,CDC42EP3,MEGF6,SETX,NTRK1,HNRNPA2B1,BCL2,NR2F2,SEMA3C,EPC2,KSR2,ADAMTS20,POU4F1,TNS3,EGR2,MAOA,FGD4,NOS1,BMPER,BDH1,PRNP,ARID1B,PRRC2C
SMEK1,1.0,-0.022915833587435222,0.22286337518702823,0.019563888588352493,0.3559166679960902,-0.1312633464042585,-0.049487856437466345,0.08688301066214074,0.24840105137529428,0.04907457676706914,0.0224078023598121,0.08279479593709656,0.05918016214964663,0.2987811238947872,-0.035812310318996995,0.07994725055362348,0.04464276498003007,0.2033468113789184,0.26328473039676237,0.16963059891977947,0.08891820788145276,0.21375579456983207,0.1590817354300768,0.32497668965844045,0.2939550668335926,0.20271884073199214,0.031974763652455426,0.2959167767085727,0.15086890862966837,0.2841595901708885,0.4257819761445183,0.28018209934460364,0.3408608405238437,0.22769832184165406,0.43385608120589864,0.31366278640316575,0.40804102613733495,0.1774635838881439,0.3550899319833995,0.1438954873998544,0.18657701921509318,0.25119854668011793,0.03567382310162374,-0.03509623836054538,0.15420697126009675,-0.046910358449431144,0.12085593758738519,0.02966868961725568,0.12367054619223211,-0.04703006254223226,0.021692297450213716,0.16954985196251054,-0.038699827055517444,-0.1518615012445951,-0.11331478513481326,-0.0746154392188005,-0.34404997361839723,-0.2638171783271659,-0.2049709210736074,-0.35595855816688426,-0.32799139240816544,-0.3298503358388619,-0.044916728233924154,-0.17575284797033994,-0.1543921531660269,-0.21505906460348587,-0.057429599246758806,-0.273972742175123,-0.1317932720522791,-0.4123168258064965,-0.3517627729563451,-0.26727550341434647,-0.13408363935038214,-0.0994853052295008,-0.05748195172421169,-0.2834872011212797,0.11321368428901596,0.11480956468758179,0.21808350044230268,-0.07402557570704972,0.11716935256458404,0.05885395206226142,-0.04478716872710643,0.12850405889755262,-0.10058599550126716,0.1140638284105833,0.012351708500198165,-0.03622784790032186,-0.05987259403422413,0.0038790008433250006,0.03393980247865055,0.3752850229806539,0.0631682440799767,-0.04553036431932713,0.0996427087487005,-0.2704147918053372,0.01639739598933761,-0.18278443440023506
BCL2L1,-0.022915833587435222,1.0,0.190319127382882,0.043528324428330406,0.04703532887828882,0.23855197472182527,0.2908630974389593,0.29247739464408556,0.21882755451861163,0.21306436406458623,-0.08002535237237653,0.1390525781536481,0.28340403327464453,0.24965242654144698,0.03920004812974524,0.22260797256353432,0.12065983041768118,0.11053848926606079,-0.0351622206079506,0.059415045021498476,-0.0025770870504741475,0.236086737713539,0.05262532590459334,0.25995354794329456,0.2600475415451414,0.20210137538342804,0.2749121990933894,0.3821041832227629,0.42835290992650465,0.12305787562537453,0.12484051708085599,0.2508713382493653,0.044619810264619704,0.3700571148971387,0.23454320851342003,0.15764949130080588,0.25087483711807096,-0.02199470174944531,0.00907100435143562,0.13647001924010574,0.3089405815409124,0.12749234700092862,0.09989112279731394,0.3636012396619288,0.28913835968310064,0.27258314330999367,0.14160314025575302,-0.1627357849641764,0.06822932715313197,-0.015365926122766651,-0.3661605534048837,-0.27746131407544905,-0.2329299724920044,-0.2541800981349127,-0.2722249163230804,-0.1532644093239236,-0.15835861531975345,-0.2362224324192843,-0.15358191039877322,-0.21013823818669217,-0.24153839409892952,-0.24186079207106476,-0.259752198579564,-0.34195884095601015,-0.306589568601123,-0.37469075304157856,-0.15464817223269758,0.15924454469944382,-0.26350932889084483,0.16626568023741387,-0.19325740362133725,-0.0035699361703216133,0.020379438839939437,0.0936415328624839,6.718743882256272e-05,-0.10410639349408553,0.21474732516799291,0.16000922267774348,-0.059414174953803904,0.092199402206442,-0.18104385079909358,0.21879960455261954,0.08706609846456957,0.004815227693607597,-0.2863018588584696,-0.07777330174328867,-0.03465536443242504,-0.156792148141273,0.19927060344416336,-0.01839172267304987,-0.06353161220801395,-0.16941926200361762,-0.16228903006761827,0.15386968576123455,-0.1950580514436018,-0.00765839107231641,0.08005541707551297,0.05730289137275562
ARHGAP20,0.22286337518702823,0.190319127382882,1.0,-0.004553028002983075,0.13338110938529987,0.05698592690070004,-0.06725495073826745,0.05301651910927321,0.1643547262415231,0.040820247495546025,0.06405349619154291,0.05462210338688687,0.382159019363192,0.19944721233948068,0.12164985896654473,0.10439706074472757,0.14543811003321203,0.18315304736725446,0.19407135022627983,-0.006418095992934486,-0.13631548469751004,0.30361129960762484,0.24743254411874618,0.1041077026103122,0.348117691173169,0.04663007685030339,0.3118058922346629,0.27216682452033286,0.2531683036985346,0.2725617956601262,0.2622139850507917,0.3167150018445029,0.178866247553423,0.2080299558147074,0.3154469112769041,0.33992903431124527,0.32040531776889886,-0.04157516791498754,0.14345454428720777,0.07210057753652037,0.3164659718052699,0.19952179026760097,0.04305520707583942,0.3116278656536264,0.24774225090526655,-0.02006258322887418,0.1459965290304807,0.10493335578047328,0.25027944077970554,0.1377516090171415,-0.21084478632427286,-0.11014141593791855,-0.14237335429076747,-0.16222025951291008,-0.10693453595499502,-0.1473164127880718,-0.18293800396364246,-0.1908803810025713,-0.12540981795900707,-0.29782018691644196,-0.30073001191092785,-0.3562287465937511,-0.11622003039610207,-0.2943731816857909,-0.24345830354855597,-0.23926059694170632,-0.11237837336128702,-0.11303389122605614,-0.09401458434665004,-0.19238603651382138,-0.15036235561011607,-0.14679877064803826,-0.15944442687667976,-0.22107628336611326,0.10416175432477658,-0.10026764381057586,-0.05622523675697918,0.07594094184046009,0.38782556965113457,0.18449482863310562,-0.27168411716330937,-0.039167012304725475,0.12735036473450376,0.07483931655544096,-0.0498376064545154,-0.11456231719158391,0.14089495638139773,0.12828836275795671,-0.029499168642810193,-0.0035078771744176574,0.06543545682218328,-0.14553458291451965,0.017778948747434672,-0.08492801055831603,0.004792013276475417,-0.21430999969294465,-0.12051926285862354,-0.04165515496836343
GRID2,0.019563888588352493,0.043528324428330406,-0.004553028002983075,1.0,-0.04807475861403741,0.2011249999528999,0.12948862718583895,0.26563789416191136,0.06771875837186032,-0.061119294821055395,0.1718383411116375,0.13867444711141408,0.38116280569951755,0.12517726619077418,0.10931111291542968,0.16211090564242342,0.2594896479112891,0.18170450727567705,0.12890176840171771,0.19405120013673402,0.18896588990549865,0.2533099862726867,0.19891443204743575,0.11606476434390521,0.1393252105907695,0.4349281529923373,0.13416929004435035,0.006313932777093433,0.15379792601390874,0.26685780350235466,0.1336502908887251,0.3237590453423404,0.1559406459002928,0.22926637808034633,0.3538560936858879,0.23498854013594708,0.10875396917023651,0.3001706231034597,0.2802294027968072,0.38942395468710883,0.029644589662436393,0.09357754567947436,0.1660983795120466,0.060315696738862674,0.01751243312019371,0.04840488968373686,0.04962560413193696,0.10125789459689016,0.17974509438907652,0.14992062892280691,-0.06946103533248378,-0.09744252968151636,-0.21152656821093205,-0.16542003158370888,-0.12394521194260416,-0.360686950768565,-0.22210597851172895,-0.32296150205973634,-0.21300148253158202,-0.13271415239306808,-0.2570029373316708,-0.2469543190689679,-0.29214817540361154,-0.20225778088651133,-0.24859494447398073,-0.1207361735442138,-0.22232871110264973,-0.1759661537471908,-0.20315228520598652,0.0022990884570700683,-0.11400106681574411,-0.06800436090031468,-0.13105997933549643,-0.09975144750089272,-0.08984064839908072,0.12246894157197424,-0.01646751200533596,0.0643772142423939,0.14696613244283213,-0.1796773736700734,0.11009927850156036,0.048861565123117234,0.08154983644517708,0.02877092906537004,-0.0020964193488536174,0.04461932069248266,0.06402081294828134,-0.06118086967452667,-0.30510429272051415,-0.020023332790004882,-0.1403715808757786,-0.07230541641617919,-0.009085680246945883,0.06602658680411085,0.0543659220253908,-0.0926534622308082,0.00847533553888333,0.26861947133838276
JPH3,0.3559166679960902,0.04703532887828882,0.13338110938529987,-0.04807475861403741,1.0,0.052601850739755415,0.14427925576677048,0.1369149814822381,0.1451983839557205,0.1306025748769122,0.1611453619434135,0.05492858338160355,0.24731226475976792,0.07085576387493389,0.07855167123172453,0.02428224828809386,0.13527142427709773,0.09471496806820677,0.23190952130920126,0.16593942145395565,0.3587198770591372,0.2036876122858972,0.12511644630780458,0.3008335776008466,0.3202357690218623,0.40181766978258204,0.2835632159303888,0.21231759923291063,0.21818150991904262,0.36360850867317096,0.17261720451307835,0.21932173368731653,0.39259007516544847,0.40536089018840016,0.24868506030461163,0.22014183779831334,0.39905029319355845,0.12540009161308613,0.24233613546452612,0.25570717964522266,0.27967433054661345,0.1315953054840577,0.3656352710424589,0.12631690508717033,0.2946850594744245,0.16456793061651992,0.026069267687589315,-0.09973701552558817,0.08633801227696941,-0.05435830405842179,-0.4028339414310749,-0.1463727635787415,-0.23163030893975894,-0.22046168967029814,-0.11214067550116942,-0.23162643768786742,-0.2301903778459884,-0.1507574921690024,-0.23116510419738512,-0.2240529136972144,-0.28027848374213504,-0.36495780786963067,-0.18399185864089748,-0.23060262604102993,-0.22086263073165732,-0.09991569861568043,-0.08986602134188418,-0.07500316914114036,-0.16601916551043744,-0.20849154093540706,-0.16376868790855778,-0.22533111079316984,-0.12757614337780174,-0.134686056190382,-0.027722453508272283,-0.34263774543533554,0.03997223403003722,0.13044260315112496,0.18877021471074937,-0.03485462256666022,-0.09312336718450932,-0.010822520069002084,-0.0011488357079826013,-0.4004456626629693,0.015773210074476164,-0.07353495178926203,0.03602611385107284,0.06427161981350359,-0.0029741882307318434,-0.09338808777325822,-0.08151579597958082,0.059129124926041554,0.029252972650455636,-0.01177033925519606,-0.02867111494584173,0.0013461222736968158,0.05847643515083846,0.030446994646892555
TFAM,-0.1312633464042585,0.23855197472182527,0.05698592690070004,0.2011249999528999,0.052601850739755415,1.0,0.1579198149468516,0.32085101584418524,-0.06283740695066516,0.14393698545247094,0.420450707801326,0.2771244522204593,0.19183837137455698,0.23013859318274194,0.06353240171440039,0.1357274673233667,0.1896642616080488,0.22040955037276583,0.24599841887395646,0.24161174997512092,0.2205967251951446,0.2612020440858717,0.11915078893082273,0.2579696484551997,0.2363137416714076,0.24593612910887963,0.3445551996915749,0.3661013363543365,0.31405063548251366,0.36381950597202745,0.2887568121232287,0.22099681108104693,0.2398283570566941,0.33288907903757475,0.39139382359615454,0.27944878079660707,0.21848979808240318,0.37064013619651986,0.22879561087236383,0.10937850534100797,0.3841992043165771,0.05564432790250898,0.040511159768069814,0.1956028605592817,-0.1373770792370364,0.2589268307569284,0.12339916502160186,0.25239397619390475,-0.11896669056748573,0.3006957058829026,-0.17116619256437365,-0.28016898533155415,-0.36597770029334414,-0.075250824400748,-0.10654940007247742,-0.2316747624531591,-0.20108052052842898,-0.3033998206121307,-0.36440847793286035,-0.20158836940730276,-0.3225190160042503,-0.3504986415368477,-0.30232752403716423,-0.31371147438068414,-0.28060006201763016,-0.05218881808642813,-0.12461843385471934,0.042570390078210056,-0.1996996120079452,0.051867713591636194,-0.12491611028153217,0.013081942635188422,-0.09470784046745598,-0.2040526419884242,-0.10128312905322714,-0.10882302686568926,-0.05153533283188914,0.045956857916475496,0.04198029267161327,-0.07139645745373542,-0.10313816250100846,-0.0441974785469653,-0.1595869191408457,0.04062942167770993,-0.03329423504713207,-0.05246725166153215,-0.2495921684288366,-0.15844005607959927,0.0999611579512303,-0.09068429152448705,-0.149328386925922,-0.03755213898773402,0.06486212891994085,0.09236020112222944,0.09035017903718942,0.021853008323278692,0.018816665501276385,0.28374791208699707
YAP1,-0.049487856437466345,0.2908630974389593,-0.06725495073826745,0.12948862718583895,0.14427925576677048,0.1579198149468516,1.0,0.1894233370998809,0.10509361405789339,0.40870875279337326,0.29881926592857944,0.3518922426220081,0.14969274426457607,0.22331565563466543,0.08531011480204566,0.4179658501811311,0.3944628658834766,0.19380575584547388,0.15523549884463356,0.16687368115427634,0.23492168291336638,0.20171985342767443,0.23718827473822815,0.2293100117667382,0.2568430881853183,0.3029089648941812,0.31897619277414674,0.4743949425661666,0.2971438829580615,0.3410524809213313,0.32541996014833835,0.04558076496020131,0.22663333787136022,0.4861969685034908,0.10706117936289618,0.17574948794207979,0.27615954043115415,0.1934994921872387,0.16539888439573258,0.30993296178140584,0.22079491688168482,0.1409347903687154,0.16818861690476655,0.013886013093038083,0.2473608124983639,0.2219246468763374,0.1985841752093124,0.14505881948643026,0.19326930003111226,-0.09775203941921264,-0.13022761161962587,-0.21550467384316896,-0.21774497252490857,-0.22511818742211184,-0.21598745888025048,-0.33839898541272107,-0.3590348821808134,-0.28139126598923525,-0.2743336901379191,-0.331925709951192,-0.3158536836417187,-0.32843676796610405,-0.22242028402476163,-0.3805486062243811,-0.31662690530098675,-0.276456701924988,-0.1758715809323878,-0.07160829248182195,-0.2171127497922727,-0.12925780929415476,-0.19410731511043547,-0.22140524488874058,-0.1198804418433678,-0.18083876268379637,-0.19945239677851045,-0.004970307326122562,0.20373037439916958,-0.04274641239920466,0.06778383839930717,0.11825511179512276,-0.12629420202239905,0.08500101815341028,-0.16966769222676648,-0.1508156300845277,0.0355089247825871,0.011987910995646705,0.146189691382693,-0.15294113438812595,0.042956565845003694,0.10806730566251689,0.009626759299306863,-0.06085050232833726,0.1519596205611152,0.3301636934833194,-0.054307389852974966,0.17515492804620308,-0.009326348579280367,0.09435388866314878
CSMD1,0.08688301066214074,0.29247739464408556,0.05301651910927321,0.26563789416191136,0.1369149814822381,0.32085101584418524,0.1894233370998809,1.0,0.14072385575691027,0.13966089310282462,-0.0904967156482747,0.22560227885310594,0.04748206329481115,0.37405167717694654,0.2514480945797709,0.20471746430738827,0.23023725316144553,0.32341921008021535,0.2368226930592381,0.15241061882196152,0.1812655296129466,0.3881797534541106,0.18652730974295326,0.14588353483929659,0.2757349758877139,0.4406476005803078,0.3813965005668066,0.2313698857087527,0.4070366590115545,0.19306281165635844,0.08281910889073302,0.3059590573445185,0.37531023108031,0.33665665446532167,0.35053307013656987,0.23525386113223057,0.22474275411090522,0.23320736222402513,0.3065240793735942,0.3619225721464374,0.4345951932553078,0.18619207329029094,0.30594518816510075,0.17625340799885264,0.12276047855334865,0.05423263374451876,0.020532084002605352,0.15919937372298806,-0.06525322554718903,0.10221782801565017,-0.4793216852359356,-0.32447860602640205,-0.22741982451204137,-0.07877835122904084,-0.3020416155323277,-0.14786177705898,-0.17118552196048153,-0.1753008753923795,-0.21975863833041961,-0.35406628799526607,-0.32380944670598133,-0.37154434666071523,-0.3044578808343196,-0.40379552474441355,-0.32070121962659365,-0.13633910578332642,-0.1694080487758422,-0.07120213628720024,-0.21772434305728852,-0.061173749767081224,-0.1395583557109847,-0.0881365817844919,-0.1278878189080938,-0.1417607787944042,-0.1668623454424436,-0.02404550616460573,0.2531129420764057,0.07890485968926901,-0.014016604088727526,0.0780330567691998,-0.170941207110676,0.10206896026241656,-0.004543199326607281,0.021428397676983825,0.16196084002985955,-0.14399583987836123,-0.13399761886458567,-0.0926171243040598,-0.10812392641799276,-0.054119587014449355,-0.17434496756192436,-0.08804375137759864,-0.06980043530825439,0.1685567613458807,0.03206700801991018,-0.15099498072958706,0.06423798034354579,0.2442710431096124
RRAS2,0.24840105137529428,0.21882755451861163,0.1643547262415231,0.06771875837186032,0.1451983839557205,-0.06283740695066516,0.10509361405789339,0.14072385575691027,1.0,0.16272627643511514,0.082271999881538,0.30617798391314544,0.20913170906561482,0.34810278840612957,0.3539104755595871,0.12449293518554715,0.18460550368114972,0.11963382102760586,-0.03591307719094944,0.15698420916843905,0.09569572472570954,0.27093759327637873,0.19418092498538558,0.41017764613057084,0.010857431492088013,0.19326445858503455,0.3177829198212828,0.2674678975050088,0.44003872823512225,0.2941738646603015,0.23598341505700615,0.35297901506281953,0.2597451892267507,0.34300064529475366,0.3056487634390479,0.25493960964412504,0.18709284886139493,0.21177419783995494,0.2915098679603366,0.1772566352257186,0.26548063343386624,0.2802028820697724,0.3443878121282509,0.34567323312138054,0.27668271371867215,0.3302213247693408,0.09117209017714262,0.21204018353623597,0.18588767287786498,0.10257951912398347,-0.13423260806814824,-0.23143930646062674,-0.28688155197475357,-0.21671186034002016,-0.1894003751482368,-0.16774859631031394,-0.2576584067593798,-0.2901358434190501,-0.22330127189099072,-0.33552638677861424,-0.3074544833251757,-0.3258492420773136,-0.27534495797402564,-0.344132387249854,-0.22471163442450717,-0.05493841320262743,-0.3545096666473298,-0.11709359408381714,-0.2355714455623875,-0.14653457014007976,-0.1326074798971226,-0.1380435445307038,-0.17963140543779357,-0.21646136836036003,-0.10516578936194923,-0.10184828473209873,0.18281858000443138,0.21364589731275507,0.07063298554336148,0.032700515753642884,-0.09551400021314686,-0.1515159466949969,0.06471445418400368,0.00018561742666740804,-0.06483029720145156,0.0017564115269392401,-0.08734443204819878,-0.06143082095624826,-0.09031286141827363,-0.031162805057006332,-0.2035953601131032,-0.021385477541079792,0.05143079100418433,0.0457586080027735,0.05439543364950848,0.06760389373134132,0.1277941768003105,-0.07919609471757919
NOP56,0.04907457676706914,0.21306436406458623,0.040820247495546025,-0.061119294821055395,0.1306025748769122,0.14393698545247094,0.40870875279337326,0.13966089310282462,0.16272627643511514,1.0,0.2719557170862167,0.20190581287452072,0.15763628777341646,0.3643559370032404,0.24349908307165238,0.24208595424793036,0.2533531782497497,0.31369746380070335,0.3541211100123639,0.343211687644333,0.17173083506513942,0.29482974292992115,0.3584544558552034,0.19821855916950548,0.2529577473485291,0.3620597420995028,0.3090650208312898,0.2607416305306846,0.31623371177030807,0.3173155602471844,0.38728482609594045,0.11644663212727455,0.26021617896066307,0.3408622541961724,0.05918224898343622,0.1936850016053853,0.27921172272693673,0.4155258120937796,0.34398579217926145,0.01368447164453432,-0.06335969842052708,0.17099341814817087,0.3191474744761231,0.13756373400925873,0.2979048134547075,0.2953692222987822,0.08735260273072405,0.2525484503941672,0.14492670640332408,0.04660445930202376,-0.34562601702891793,-0.27947537763483316,-0.3192225435431494,-0.1481905549290708,-0.11420254153554679,-0.2089023588936234,-0.26907678452387424,-0.35957564480034865,-0.19713930742457403,-0.357847887971219,-0.3822883830237807,-0.3759517310858886,-0.23513206489009278,-0.40415980384064404,-0.38719129087977694,-0.2117539048783602,-0.1310001145295901,-0.05741027996337712,-0.24897532927903004,-0.048697861541190365,-0.32164461915015624,-0.11435397280856802,-0.14663855001185663,-0.12265421488926848,-0.10049676407501058,-0.053627140984728656,0.258268611239747,0.23228749063727433,0.013051115096867521,0.002839561429936147,-0.07815588471746741,0.0921830731425073,0.05079595120402428,-0.06181966012431567,0.04616713888632866,0.05805323121044198,-0.15888132297503885,0.03914411033104046,-0.14920399420138244,-0.09890547308243743,-0.07430804383494401,-0.10230558023351086,-0.03404156386216035,-0.07783174406587431,0.0704546557465847,0.17793264993629604,0.06359345414841626,0.16699789344014507
