,GABRG3,EPC2,SEMA3C,CH25H,ACE,ATXN7,NTRK1,GLIS3,KSR2,EFNA5,NR2F2,FEZF2,ATP5C1,CPS1,ADAMTS20,CIC,POU4F1,CCDC85C,PICALM,LOXHD1,RUNX1T1,YAP1,TP53,DDIT4,SETX,WNT3,RBMS1,BMPER,EGR2,GIGYF2,ARHGAP20,MEGF10,BDH1,TSEN15,RRAS2,PDGFA,JPH3,ATM,LTF,PPARGC1A,ARID1B,HNRNPA2B1,FMNL1,PPP1R3B,HMGA2,CASP3,SLC2A3,TFAM,BCL2L1,FGD4,TMSB4X,PRNP,NOS3,CDC42EP3,SPAST,XIAP,TUSC1,SNCB,GSTP1,CSMD1,FAM171A2,SHC1,CLRN2,CDC5L,control,FRMD4A,MEGF6,IGF1R,GRID2,C6orf203,CCR5,P4HB,BDNF,CYCS,BCL2,PPP2R2B,GDI1,PRRC2C,ACHE,NOP56,PCDHA3,DAPL1,SMEK1,NOS1,MEF2C,TNS3,SERAC1,HDAC9,MAOA,INSR,GBX2,SOX5,NUAK1,GPR156,NQO1,GSX2,TTBK2,HECW1
GABRG3,0.0,0.007170408163265307,-0.07839563137755334,0.06928788265305919,0.1797843112244859,0.017458960459181938,0.013678188775505973,0.13117356505101796,0.03812187499999986,0.005561957908160053,0.268712563775507,0.17339406887754727,0.06586259566326191,0.11351390306122511,0.08931635841836538,0.14057232142856968,0.7177406887755104,0.7099452806122439,0.5504810905612221,0.5121121492346923,0.4584951211734687,0.5772624681122434,0.6073959183673487,0.7197864795918338,0.3504233418367324,0.0480585140306129,0.26054563137754627,0.26417161989796156,0.38572321428571144,0.3517252551020409,0.48274454719387627,0.4152940688775484,0.2875037946428538,0.37780427295917995,0.3220021045918351,0.3881337372448943,0.15075350765306084,0.300175350765306,0.302857684948977,0.26413663903061035,-0.022387149234697645,0.03500778061224352,0.1889708864795896,0.08874451530612149,0.019315242346936046,-0.03143354591836811,0.008941645408160781,0.10888475765305827,0.061883290816322045,0.03697946428571086,0.03783909438775268,0.05788561862244812,0.07287672193877626,0.2106424107142839,0.11160038265305872,0.08619553571428362,-0.042611447704084426,0.06249400510203884,0.3419293686224467,0.2170519770408159,0.09727283163264921,0.16984100765306032,0.21833823341836656,0.25740082908163053,0.20012171556122382,0.2000084183673465,0.21094253826530363,0.1626474808673457,0.20280573979591487,0.12000133928571266,0.10820752551020263,0.12722901785713958,0.14477174744898136,0.24841470025510048,0.13727662627550785,0.2107408482142823,0.2507046237244879,0.15210159438775328,0.01572161989795795,0.11450854591836368,0.08371658163265039,0.13043447066326408,0.274107142857142,0.2043294005102041,0.21792735969387422,0.21003093112244642,0.15123351403061136,0.20770787627550824,0.18964834183673496,1.1429388392857138,0.7184444515306119,0.4573035714285698,0.04624719387754972,0.42783392857142566,3.090805038265305,1.4274440369897974,2.0663852678571413,2.0218466198979588
EPC2,0.007170408163265307,0.0,-0.04746619897959192,0.12993137755102246,0.12315124362245022,-0.0034741071428552317,0.046823246173469,0.19908893494898194,-0.07662838010203821,-0.10302892219387871,0.16164668367346913,0.1263344387755101,0.11950296556122453,0.13134333545918508,0.05540516581632815,-0.020377933673467297,0.4601169961734719,0.5698981505102036,0.5376323979591842,0.45132751913265423,0.40526674107142746,0.5244887755102052,0.5553019132653105,0.7253721619897977,0.22840902423469522,0.06866450892857223,0.11537037627550717,0.22359636479592027,0.20442920918367236,0.2273671875000023,0.37588022959183753,0.37861100127550706,0.31481603954081727,0.269244642857144,0.370200286989796,0.34354754464285797,0.13438294005102236,0.1516563456632678,0.20974180484694038,0.21446607142857488,0.1197204081632659,0.073654400510204,0.1568565688775525,0.09935676020408124,0.04391029974489946,0.036364636479593315,0.04051014030612521,0.14433294005102226,0.1704720982142831,0.09217295918367441,0.08421696428571579,0.11232286352040965,0.11867021683673684,0.043318718112244525,0.03356887755102278,-0.007714094387756276,-0.06312576530612368,0.08750156250000174,0.303321301020409,0.0688110969387754,0.09272257653061367,0.21992512755102034,0.21380985331632907,0.11065526147959126,0.26389177295918387,0.19811753826530776,0.20993290816326748,0.11324722576530633,0.06357735969387512,0.13656827168367336,0.11504945790816379,0.1015943877551031,0.0694433673469419,0.07249882015306142,0.11793574617346891,0.1789468431122465,0.15330436862244667,0.2718888392857135,0.1407854272959188,0.19682391581632608,0.15287726403061086,0.24586077806122475,0.30658501275510197,0.2613760204081643,0.10890210459183791,0.218480676020409,0.13491919642857297,0.17369199617347242,0.09792621173469307,1.0284167091836753,0.8060066964285717,0.610431441326531,0.26621412627551244,0.3106711734693892,2.781032908163265,1.481793781887756,1.8986162627551035,1.7516401147959204
SEMA3C,-0.07839563137755334,-0.04746619897959192,0.0,0.01460908801020544,0.08370551658163272,-0.06691358418367166,-0.08296466836734773,0.04612445790816366,0.02543839285714533,-0.01353089923469497,0.15896345663265343,0.11577308673469311,0.05580255102040965,0.056772608418370396,0.06703443877551152,0.11394977678571472,0.5020493941326549,0.5193430484693895,0.3699413584183677,0.4029271045918392,0.39934445153061127,0.4335164859693901,0.5049155612244931,0.5417998724489816,0.24685548469387975,0.0896531568877581,0.269618399234691,0.176519387755107,0.25588816964285854,0.24243239795918647,0.3912891900510207,0.26807777423469226,0.21301718750000198,0.2773598533163284,0.26078737244898065,0.3063815051020402,0.22964971301020398,0.277919993622449,0.21746639030612336,0.10859221938775576,0.037701243622448644,0.03325554846939127,0.1578858418367357,0.10675634566326764,-0.0716901147959188,-0.04458734056122182,-0.010134024234691452,0.1138294005102054,0.06016699617346788,0.05524129464285821,0.05407904974489952,0.0629458864795911,0.07582761479591937,0.05723705357142883,0.06966377551020386,0.061927678571427336,-0.059943367346940946,0.004646460459184709,0.23523807397959295,0.1615841198979613,0.09133309948979651,0.13863252551020544,0.164507876275513,0.12170328443877487,0.13565698341836807,0.10997493622449284,0.12420280612245094,0.09990149872449194,0.11696600765306009,0.09476629464285757,0.099614668367348,0.0770595982142872,0.08879764030612591,0.21156403061224793,0.10122751913265304,0.0932917410714289,0.1704164540816322,0.12818217474489835,0.05327407525510175,0.1366047512755113,0.08107528698979749,0.09857755102040855,0.20183772321428783,0.15427716836734717,0.05385012755102281,0.13207401147959175,0.10133128188775586,0.16144470663265587,0.16614767219387794,1.0161991071428584,0.8046609693877578,0.47872633928571595,0.11966371173469348,0.3733848214285711,2.85982780612245,1.577188679846941,1.8975986607142854,2.0103693877551034
CH25H,0.06928788265305919,0.12993137755102246,0.01460908801020544,0.0,0.021015593112245767,-0.10873788265305961,0.03532040816326543,0.03447515943877555,0.07928596938775812,0.07184792729591827,0.2215657206632642,0.13005035076530547,0.05757044005102152,0.06620924744898282,0.07625701530612439,0.3082832908163269,0.5455204081632647,0.3473000000000006,0.3625154974489817,0.3793762436224508,0.3687560905612237,0.3616359375000009,0.5174928252551059,0.5232505739795918,0.45244056122449194,0.24692104591836994,0.27682691326530495,0.36782946428571783,0.46678730867346907,0.37815184948979663,0.5012977040816331,0.21955660076530492,0.31833663903061193,0.3550308673469402,0.32020838647959415,0.2954025191326508,0.46133478954081575,0.5180566326530638,0.26768740433673344,0.1518054209183699,0.16870350765305986,0.27898437500000206,0.2516459183673483,0.23516017219387741,0.13430433673469366,0.14457117346938908,0.1295557397959204,0.15029885204081772,0.17193176020407996,0.06797168367346806,0.1800672512755117,0.1079700255102054,0.05937206632653336,0.13655338010203977,0.2033801020408159,0.2179440051020407,0.1910292091836716,0.23702684948979602,0.2825575255102031,0.3180895089285727,0.20112911352040896,0.29679103954081754,0.3327976403061257,0.3431352359693882,0.27755455994897993,0.24994907525510435,0.2784160076530622,0.2769022002551029,0.28576983418367163,0.32022324617346953,0.3243513073979596,0.2745884247449002,0.2536108418367373,0.4815553571428577,0.3858204081632639,0.40792525510204136,0.4256015306122425,0.26942818877551034,0.17032321428571606,0.313932015306122,0.2877603635204071,0.22018606505102234,0.21480561224489847,0.1967888073979598,0.12996332908163133,0.2301012755102061,0.18908354591836662,0.18635478316326726,0.18057806122449094,0.8196748086734686,0.8155288584183698,0.46049579081632785,0.22338160076530755,0.2423152104591857,2.862603507653061,1.4472737563775535,1.6745587372448973,1.6048107142857155
ACE,0.1797843112244859,0.12315124362245022,0.08370551658163272,0.021015593112245767,0.0,-0.04593520408163343,0.052165274234692305,0.13075440051020415,0.10960739795918428,0.11334904336734475,0.21232933673469034,0.040971779336732794,0.15490280612244867,0.12171036352040865,-0.09374811862244847,0.2650344068877537,0.4821074617346941,0.40733861607142785,0.4164666135204058,0.5582914221938768,0.43129626913265184,0.46459017857142726,0.5125439413265322,0.5851923150510174,0.20048230229591724,0.4164205994897969,0.37710459183673173,0.39306808035714447,0.26830092474489753,0.2854435905612256,0.4234769451530589,0.2585092793367316,0.29345650510203924,0.3879710459183663,0.4044345025510214,0.3805755102040784,0.3746593431122438,0.32710306122448785,0.187180707908162,0.15879403698979466,0.32265774872448816,0.21775892857142942,0.2556485969387765,0.24531910076530572,0.21202576530612305,0.143247289540815,0.13989591836734583,0.09024371811224263,0.268712563775507,0.13079154974489704,0.189710554846938,0.20075707908162954,0.23281380739795843,0.03310762117346755,0.13708903061224298,0.12439043367346869,0.19905220025509962,0.06826077806122477,0.33449926658163065,0.288464062500001,0.2769052295918364,0.29368746811224256,0.2907581313775509,0.23868010204081358,0.3011791135204067,0.22916425382653038,0.22475774872449072,0.15235644132653015,0.16286157525509992,0.20597279974489524,0.25891492346938527,0.21664266581632496,0.19351977040816415,0.35299241071428433,0.3159715242346923,0.2718685586734697,0.3261588966836708,0.3635933673469367,0.2878305803571415,0.40447063137754924,0.36074585459183517,0.29528249362244985,0.25259110331632684,0.33171648596938574,0.14832694515306066,0.25816801658163335,0.18938622448979636,0.2801527742346934,0.2533698022959179,0.7961665497448962,0.8604002869897958,0.46567034438775323,0.3690842793367324,0.1390022640306121,2.989176498724488,1.24631862244898,1.5974723533163235,1.3441649553571438
ATXN7,0.017458960459181938,-0.0034741071428552317,-0.06691358418367166,-0.10873788265305961,-0.04593520408163343,0.0,-0.08733195153061502,0.02572279974489966,-0.02101482780611974,-0.07883255739796091,0.05945086096938468,-0.03034732142857166,0.032114955357142705,-0.006935299744897705,-0.006748469387753531,0.013835618622447754,0.4713524234693889,0.413066390306124,0.4123647002551003,0.4000066964285711,0.3414615433673447,0.3285226403061223,0.5545764030612279,0.5743263392857152,0.23742257653061216,0.15264837372449236,0.14963392857142743,0.3056333545918388,0.3185568239795895,0.31130261479592036,0.41141721938775433,0.2618354910714267,0.3295592793367348,0.3208878826530608,0.30824508928571426,0.2551329719387745,0.3073574298469399,0.34543083545918307,0.21776160714285808,0.07607649872449151,0.09541677295918305,0.1538242028061223,0.20086074617346839,0.17439062499999913,0.08189416454081666,0.015537563775511742,0.02788150510204268,0.10201836734693792,0.13467627551020023,0.07264119897959098,0.06939457908163327,0.12936454081632576,0.09525876913265385,0.08700102040816304,0.030932429846940224,0.0817822704081621,0.07338622448979493,0.13429323979591778,0.21243797831632705,0.16778871173469412,0.2119611288265304,0.2439011798469366,0.30654840561224717,0.23948287627550968,0.23676782525510198,0.19917327806122564,0.1839511479591831,0.18337952806122537,0.16037059948979504,0.23387401147959253,0.19670519770408212,0.1940141900510195,0.1661569196428605,0.3389233099489797,0.2497930484693871,0.2591994579081618,0.32794604591836496,0.21818832908163088,0.11926929209183612,0.27247653061224497,0.23752362882653166,0.2139883928571411,0.23146262755102143,0.17910676020408012,0.14959846938775634,0.1259270408163271,0.07508587372449149,0.13905242346938707,0.12443195153061382,0.6155536989795927,0.6887843112244898,0.42782780612244764,0.12641986607142996,0.0364425382653053,2.5505073979591817,1.369337021683675,1.48575637755102,1.3886521045918379
NTRK1,0.013678188775505973,0.046823246173469,-0.08296466836734773,0.03532040816326543,0.052165274234692305,-0.08733195153061502,0.0,-0.01891578443877684,0.03322315051020297,0.027777295918363976,0.1856872767857105,-0.028071843112247308,0.08224199617346706,0.08164955357142922,0.11699575892856906,0.020272034438772124,0.6638857142857137,0.5862606186224468,0.5079776785714252,0.6355024872448976,0.5223792091836721,0.49632468112244865,0.5831050063775525,0.7214893176020389,0.07135586734693788,0.31247697704081645,0.37734534438775036,0.28628539540816256,0.27389948979591416,0.3047077806122438,0.445738010204078,0.37973596938775245,0.3586644451530603,0.39402898596938485,0.44686119260204116,0.45352720025509896,0.33427822066326307,0.25452037627550794,0.21766521045918097,0.09975197704081573,0.16929693877550633,0.2239528061224494,0.1870659119897944,0.16356141581632677,0.0427071428571395,0.028953667091835555,-0.009044579081633586,0.1551110331632639,0.12476894132652738,0.10926823979591482,0.1442809948979562,0.19072126913265208,0.14241237244897853,0.0870921237244886,0.10525478316326264,-0.007403188775512604,0.023735140306119007,0.0390796556122428,0.31654939413265026,0.2075063775510202,0.2638084821428528,0.32625322066326135,0.2271926339285706,0.2558505420918351,0.20671205357142775,0.204281568877553,0.19399381377550817,0.08812844387754915,0.15820701530611814,0.13502136479591442,0.13369473852040592,0.16154591836734333,0.19575114795918402,0.29898941326530526,0.16338415178571175,0.2237280612244863,0.26701996173469134,0.37635599489795624,0.22028539540816183,0.24133638392856938,0.2651334821428559,0.27054355867346835,0.350344355867346,0.33506817602040506,0.12439426020407929,0.22418064413264993,0.23947541454081467,0.27349508928571353,0.24704336734693655,0.5584151147959169,0.7793566645408152,0.4992314094387744,0.14057190688775378,0.2242945790816293,2.615812563775508,1.4231796875000011,1.6804052933673432,1.510326020408165
GLIS3,0.13117356505101796,0.19908893494898194,0.04612445790816366,0.03447515943877555,0.13075440051020415,0.02572279974489966,-0.01891578443877684,0.0,0.06578102678571618,0.09336485969387809,0.34290296556122435,0.2228594706632645,0.22170612244897825,0.2570605548469409,0.2733755102040831,0.2700939732142853,0.5476717155612256,0.29478255739796033,0.21496680484693975,0.37124473852041007,0.34165427295918427,0.2810950573979607,0.33309257015306315,0.3352596938775516,0.22536999362244892,0.28348641581632883,0.3693985331632632,0.24113077168367525,0.23599017857142712,0.1912750318877574,0.261977136479592,0.13193447066326236,0.2137816964285708,0.261622799744897,0.15802531887755222,0.2943991390306113,0.34855797193877436,0.3476876275510232,0.07725433673469517,0.03411610331632886,0.16367981505102058,0.3233575573979621,0.19151285076530833,0.20175522959183922,0.05180251913265188,0.05954123086734597,0.039371109693878026,0.0907720344387748,0.0995674426020372,0.0760604910714271,0.1327763711734704,0.09701977040816168,0.052573373724492,0.10572031249999903,0.15644703443877717,0.07901718749999809,0.09676645408162976,0.13145003188775561,0.1686994579081631,0.17726425382653055,0.2500272959183665,0.21587203443877634,0.07709113520408373,0.2195349808673459,0.09751836734693953,0.12593319515306334,0.24122669005102182,0.11293007015306245,0.1644492665816326,0.12762299107142816,0.17234323979591792,0.19296160714285904,0.18821371173469714,0.3365691645408191,0.20815296556122576,0.25161406249999985,0.25495908801020306,0.2303669961734709,0.1480260841836749,0.20473019770408207,0.29273667091836586,0.1702264349489795,0.12106629464285668,0.1503104272959206,0.062088073979591485,0.10444633290816441,0.1881879783163285,0.11619984056122412,0.16231061862245078,1.0383323660714279,1.2197536033163274,0.7912955357142852,0.49627353316326683,0.34043683035714345,3.053514190051022,1.964625063775511,2.0519850446428567,1.8475088966836761
KSR2,0.03812187499999986,-0.07662838010203821,0.02543839285714533,0.07928596938775812,0.10960739795918428,-0.02101482780611974,0.03322315051020297,0.06578102678571618,0.0,-0.11133839285714053,0.26976690051020213,0.1545859056122474,0.1009153698979599,0.18993386479592012,0.0861050701530619,0.05382353316326771,0.39731846301020646,0.29647461734694147,0.27124011479591914,0.2663024234693889,0.1986807079081636,0.19796367984694285,0.30018463010204677,0.4558064413265335,0.1342120535714315,0.021425350765309048,0.059595280612244395,0.08454783163265667,0.11545255102040919,0.04997021683673708,0.21640044642857248,0.1999827806122454,0.10936125637755367,0.06670548469388038,0.17607362882653455,0.13422713647959128,0.04309378188775703,0.10208906250000283,0.05784639668367575,0.05870816326530992,-0.023074999999998624,0.06851367984694257,-0.020799776785711543,-0.014957397959181051,-0.0002991709183675084,-0.027262021683670312,-0.008185267857141909,-0.02029996811224244,0.009554815051020071,-0.05357557397959134,-0.034622193877551055,-0.08594441964285693,-0.08480644132652948,0.017006122448979255,0.0682172193877566,-0.08537200255101851,-0.04624929846938741,0.04538271683673578,0.1168868303571422,-0.056612436224487084,0.008889668367348946,0.08257971938775555,0.036498820153063605,0.06106297831632901,0.04220261479592047,0.043964317602045,0.027709375000002368,-0.016829432397956978,-0.00514617346938806,0.056246301020408396,0.02709154974490069,0.027048979591837607,-0.011386415816323492,0.027404974489799727,0.03519815051020636,0.09584830994898219,0.1154652104591829,0.16543093112245089,0.015104081632653532,-0.018093367346939004,0.008664668367346806,0.05337630739795962,0.07883022959183705,0.015132174744900695,-0.0018495535714269096,0.0074899553571459165,0.0636737882653069,-0.015108099489793858,-0.04393794642857074,1.1582119260204102,1.0689894132653084,0.6809907206632673,0.38098434311224594,0.451991390306123,3.046693750000001,1.8274452487244925,2.1035177295918395,2.0424040816326574
EFNA5,0.005561957908160053,-0.10302892219387871,-0.01353089923469497,0.07184792729591827,0.11334904336734475,-0.07883255739796091,0.027777295918363976,0.09336485969387809,-0.11133839285714053,0.0,0.2502257334183664,0.1615259885204079,0.19361014030612012,0.1978676977040834,0.13962171556122627,0.027372991071429098,0.4571976084183689,0.3684225127551013,0.35875832270408203,0.2689503188775504,0.26633954081632716,0.28581313775510075,0.36319346301020516,0.4660262117346914,0.19762088647959253,-0.05614706632652933,0.09636973852040498,0.025441039540819332,0.21192075892857076,0.15721342474489752,0.25432802933673493,0.2213900510204052,0.20569508928571345,0.14626744260204028,0.17965746173469554,0.18865003188775198,0.17540573979591656,0.13295883290816413,0.20473022959183673,0.12566074617346956,0.016405707908161205,0.07689595025510343,0.18186843112244766,0.12650768494897946,0.02700966198979593,-0.014162563775510506,-0.09529830994897992,0.05962761479591805,0.047241772959182526,0.02808638392857077,-0.046841485969387975,0.026247225765304805,0.053564891581633134,0.047724330357143074,0.007851052295919203,-0.020244419642859057,-0.0715248405612261,0.12503217474489858,0.11261597576530669,-0.05361766581632743,0.08596100127550876,0.09808698979591846,0.12589671556122717,0.08364681122448836,0.12108957270408283,0.060043463010206466,0.13642602040816243,0.060507525510203664,0.06178453443877352,0.12458013392856948,0.012103507653058898,0.06871874999999861,0.057866167091837895,0.10062318239796042,0.08314135841836645,0.12716339285714184,0.13435373086734614,0.10616320153061132,-0.05277146045918535,0.10444359056122288,-0.014393686224490665,0.08407732780612065,0.11520312499999896,0.04786132015306066,0.058932716836732624,0.023176913265306354,0.02855137117347084,0.032092920918367795,-0.0011978635204084043,1.1179551339285698,1.0151201211734708,0.7157979910714278,0.3387103635204074,0.3575627232142846,3.1748838329081615,1.7749978316326533,2.103229687499999,1.9674660395408186
