,n,perturbation,edist,pvalue,significant,pvalue_adj,significant_adj,delta,sigma,significant_adj_new
0,11,"GFP, 2",0.8942375851908437,0.35,False,0.49589999999999995,False,19.809365596646053,16.87996054716783,False (lost)
1,11,chr6;37145575;37145593;+,1.1711402776628645,0.19,False,0.468559,False,21.11886046540538,19.222047592214462,False (lost)
2,11,chr6;37178342;37178360;+,1.8371087889036524,0.06,False,0.21925103999999998,False,25.04285351924097,26.404065188644857,False (lost)
3,11,chr11;61102756;61102774;+,0.96436533830747,0.29,False,0.49589999999999995,False,20.027993214036254,17.247088028831605,False (lost)
4,11,control,0.0,0.0,True,0.0,control,21.844533060933433,21.844533060933433,control
5,100,"GFP, 2",5.137102863529691,0.58,False,0.7399,False,132.92258247560667,130.43804430831344,False (lost)
6,100,chr6;37145575;37145593;+,8.266257646421309,0.02,True,0.058808,False,142.54831274311462,146.5603500604377,False (lost)
7,100,chr6;37178342;37178360;+,11.766234329327403,0.0,True,0.0,True,146.56150214059653,151.08675217249544,True
8,100,chr11;61102756;61102774;+,5.174970383778714,0.49,False,0.7399,False,129.75271214086217,124.06043611857542,False (lost)
9,100,control,0.0,0.0,True,0.0,control,130.27001777937022,130.27001777937022,control
10,276,"GFP, 2",13.254383254226468,0.09,False,0.1719,False,261.0162510885651,261.18206311529565,False (lost)
11,276,chr6;37145575;37145593;+,16.405585818654345,0.0,True,0.0,True,270.43332341899827,276.86500521173406,True
12,276,chr6;37178342;37178360;+,37.27786545544717,0.0,True,0.0,True,287.7369313064806,290.59994134990586,True
13,276,chr11;61102756;61102774;+,11.785992420477555,0.22,False,0.22,False,255.19066852542716,250.99928882276862,False (lost)
14,276,control,0.0,0.0,True,0.0,control,247.59605580760814,247.59605580760814,control
15,535,"GFP, 2",26.39489695154799,0.01,True,0.0199,True,417.8516696810016,410.3980031290494,True
16,535,chr6;37145575;37145593;+,29.05118775320426,0.0,True,0.0,True,421.6033538196325,415.2450806046549,True
17,535,chr6;37178342;37178360;+,69.27653347460591,0.0,True,0.0,True,465.32246841724924,462.4579640784867,True
18,535,chr11;61102756;61102774;+,19.08428401471258,0.12,False,0.12,False,413.5116596361101,409.02859597610177,False (lost)
19,535,control,0.0,0.0,True,0.0,control,398.91043928140584,398.91043928140584,control
20,872,"GFP, 2",48.96497160664967,0.0,True,0.0,True,590.2655206046704,580.2731892397487,True
21,872,chr6;37145575;37145593;+,45.26318885748071,0.0,True,0.0,True,588.2665521643612,579.9770351082992,True
22,872,chr6;37178342;37178360;+,132.05017109963842,0.0,True,0.0,True,656.8510506026297,630.3590497426785,True
23,872,chr11;61102756;61102774;+,32.77655401015568,0.04,True,0.04,True,590.5015803965051,596.9337264199121,True
24,872,control,0.0,0.0,True,0.0,control,551.2928803629425,551.2928803629425,control
25,1279,"GFP, 2",75.89858477905693,0.0,True,0.0,True,817.8380733677209,791.1909141989563,True
26,1279,chr6;37145575;37145593;+,75.59700270827818,0.0,True,0.0,True,820.6469537693713,797.1102570730359,True
27,1279,chr6;37178342;37178360;+,191.45655710030087,0.0,True,0.0,True,897.2840349948302,834.524865131931,True
28,1279,chr11;61102756;61102774;+,53.521896724361454,0.01,True,0.01,True,825.1505134526935,828.1924824235971,True
29,1279,control,0.0,0.0,True,0.0,control,768.5866477574285,768.5866477574285,control
30,1746,"GFP, 2",102.61193319640051,0.0,True,0.0,True,1071.366672333023,1000.7955922792178,True
31,1746,chr6;37145575;37145593;+,101.78630367106484,0.0,True,0.0,True,1076.04289227031,1010.9736616791274,True
32,1746,chr6;37178342;37178360;+,259.5792460899688,0.0,True,0.0,True,1173.7476493245942,1048.590233368792,True
33,1746,chr11;61102756;61102774;+,81.436073008015,0.0,True,0.0,True,1093.3841530260636,1066.0064138536845,True
34,1746,control,0.0,0.0,True,0.0,control,1039.3258191904276,1039.3258191904276,control
35,2264,"GFP, 2",133.07830361646916,0.0,True,0.0,True,1324.1351001728012,1235.8081882458862,True
36,2264,chr6;37145575;37145593;+,133.22744702482441,0.0,True,0.0,True,1327.9551589011853,1243.299162294299,True
37,2264,chr6;37178342;37178360;+,346.3816213392797,0.0,True,0.0,True,1446.2962917983166,1266.8272537741063,True
38,2264,chr11;61102756;61102774;+,99.05756743644974,0.0,True,0.0,True,1347.6323268221226,1316.8233777245484,True
39,2264,control,0.0,0.0,True,0.0,control,1279.3837084832471,1279.3837084832471,control
40,2820,"GFP, 2",157.48085653075555,0.0,True,0.0,True,1578.3932671122589,1461.943904791816,True
41,2820,chr6;37145575;37145593;+,166.76775641520635,0.01,True,0.01,True,1603.6556342869465,1503.1817392567405,True
42,2820,chr6;37178342;37178360;+,420.4778006633687,0.0,True,0.0,True,1712.599800197131,1467.360026828947,True
43,2820,chr11;61102756;61102774;+,118.72323816047879,0.0,True,0.0,True,1616.9104892987284,1577.735967535032,True
44,2820,control,0.0,0.0,True,0.0,control,1537.361772901946,1537.361772901946,control
45,3403,"GFP, 2",193.64962197615114,0.0,True,0.0,True,1854.1726233447573,1728.366124975621,True
46,3403,chr6;37145575;37145593;+,202.24550873803514,0.0,True,0.0,True,1851.9434807401985,1715.3119530046195,True
47,3403,chr6;37178342;37178360;+,514.0266153994266,0.0,True,0.0,True,1960.031426179312,1619.7067372214547,True
48,3403,chr11;61102756;61102774;+,143.83660975311773,0.0,True,0.0,True,1884.278908782823,1838.3917080747858,True
49,3403,control,0.0,0.0,True,0.0,control,1786.3294997377425,1786.3294997377425,control
50,4000,"GFP, 2",226.02331647437268,0.01,True,0.0199,True,2134.485040656395,1974.5974262300163,True
51,4000,chr6;37145575;37145593;+,245.0245205317301,0.0,True,0.0,True,2142.5869315216028,1971.8000039030742,True
52,4000,chr6;37178342;37178360;+,610.4043822141675,0.0,True,0.0,True,2237.9134714794245,1797.07322213628,True
53,4000,chr11;61102756;61102774;+,164.35475163150886,0.01,True,0.0199,True,2183.67057532891,2134.63706041791,True
54,4000,control,0.0,0.0,True,0.0,control,2068.3493386084015,2068.3493386084015,control
