,n,perturbation,edist,pvalue,significant,pvalue_adj,significant_adj,delta,sigma,significant_adj_new
0,11,CTSD_+_1784725.23-P1P2,0.07573540599535189,0.6,False,1.0,False,4.714480529499584,4.193611027216996,False (lost)
1,11,HS2-B,2.127840046477253,0.0,True,0.0,True,4.912921523120299,2.538388373976526,True
2,11,HS2-C,2.129436451146934,0.0,True,0.0,True,4.545971722913222,1.8028923688926917,True
3,11,HS2-D,3.402124563259198,0.0,True,0.0,True,4.696019038802535,0.8302988885590538,True
4,11,IFITM2_+_308172.23-P1P2,0.21487030960995224,0.29,False,1.0,False,5.029123474039009,4.683762012681247,False
5,11,IFITM2_+_308197.23-P1P2,0.7907675640197116,0.04,True,0.9999911426987429,False,5.907916066786957,5.865449943767382,False
6,11,IFITM2_+_308240.23-P1P2,0.02225799828980879,0.95,False,1.0,False,4.875441429479982,4.5690102348833355,False
7,11,IFITM2_-_308368.23-P1P2,0.38927992990476135,0.09,False,0.9999999999860051,False,5.195927224491989,4.842959893292397,False
8,11,MYC-A,0.11513610889573744,0.48,False,1.0,False,5.241261912355053,5.2077730900275485,False
9,11,MYC-B,0.20212075544249242,0.27,False,1.0,False,5.290073665419711,5.21841194961011,False
10,11,MYC-C,1.5018064445535408,0.01,True,0.9468532364722075,False,6.921502617100868,7.181584163861375,False (lost)
11,11,MYC-D,0.23811887696267497,0.29,False,1.0,False,5.68143093246684,5.965128362184187,False
12,11,RASSF7_+_561000.23-P1P2,0.7025769314461172,0.0,True,0.0,True,5.772453445413183,5.68271533359343,True (gained)
13,11,RASSF7_-_561657.23-P1P2,0.0804878731967591,0.54,False,1.0,False,4.809707469866709,4.379312440749839,False
14,11,RRP8_+_6624578.23-P1P2,0.24782439495984931,0.25,False,1.0,False,5.521799888128737,5.636160755510806,False (lost)
15,11,RRP8_-_6624794.23-P1P2,0.40426891287572264,0.16,False,1.0,False,5.1567721144390335,4.749660690215525,False (lost)
16,11,RRP8_-_6624866.23-P1P2,1.2860015383996695,0.01,True,0.9468532364722075,False,5.6082013290563175,4.770786493926146,False (lost)
17,11,STIM1_+_3876425.23-P1P2,0.1747868281370888,0.43,False,1.0,False,5.498210685578511,5.662019917233113,False
18,11,STIM1_+_3877281.23-P1P2,0.41844569230775264,0.14,False,0.9999999999999999,False,5.156527559768186,4.7349948014418,False
