,n,perturbation,edist,pvalue,significant,pvalue_adj,significant_adj,delta,sigma,significant_adj_new
0,2,"GFP, 2",597.932681947113,0.0,True,0.0,True,1657.2209768190507,1233.2635931492828,True
1,2,chr6;37145575;37145593;+,540.6195110961694,0.0,True,0.0,True,1680.6753339836757,1337.4854783294763,True
2,2,chr6;37178342;37178360;+,1623.6336416390263,0.0,True,0.0,True,1970.8154298210763,834.7515394614205,True
3,2,chr11;61102756;61102774;+,394.33040364462136,0.0,True,0.0,True,1557.8345604219544,1238.0930386575817,True
4,2,control,0.0,0.0,True,0.0,control,1483.2456785417057,1483.2456785417057,control
5,6,"GFP, 2",615.1345179913706,0.0,True,0.0,True,2266.1750590740576,1704.0248518604938,True
6,6,chr6;37145575;37145593;+,621.5003931869796,0.0,True,0.0,True,2282.079142908687,1729.4671443341442,True
7,6,chr6;37178342;37178360;+,1691.134443609346,0.0,True,0.0,True,2664.994171582683,1425.6631512597698,True
8,6,chr11;61102756;61102774;+,472.66487633394945,0.0,True,0.0,True,2174.448736176069,1663.0418477219378,True
9,6,control,0.0,0.0,True,0.0,control,2213.1907482962506,2213.1907482962506,control
10,13,"GFP, 2",635.718290644812,0.0,True,0.0,True,3071.532220371293,2266.945516153103,True
11,13,chr6;37145575;37145593;+,661.7117809334782,0.0,True,0.0,True,3112.3696676715513,2322.6269204649534,True
12,13,chr6;37178342;37178360;+,1700.6846823960118,0.0,True,0.0,True,3388.0840563842453,1835.082796427808,True
13,13,chr11;61102756;61102774;+,511.03912373264484,0.0,True,0.0,True,3048.1926572857074,2344.945556894099,True
14,13,control,0.0,0.0,True,0.0,control,3240.400633944671,3240.400633944671,control
15,21,"GFP, 2",651.1594919715517,0.0,True,0.0,True,3934.81019023398,3004.617449190833,True
16,21,chr6;37145575;37145593;+,715.6242879362444,0.0,True,0.0,True,3980.7496191272853,3032.0315110127517,True
17,21,chr6;37178342;37178360;+,1715.5666044501313,0.0,True,0.0,True,4001.5439593762712,2073.677874996836,True
18,21,chr11;61102756;61102774;+,532.3503551985586,0.0,True,0.0,True,3887.330579440856,3028.467364377578,True
19,21,control,0.0,0.0,True,0.0,control,4213.843439305575,4213.843439305575,control
20,31,"GFP, 2",684.2382982619956,0.0,True,0.0,True,4836.807213711673,3840.555675256479,True
21,31,chr6;37145575;37145593;+,746.8068540500108,0.0,True,0.0,True,4936.6125218564775,3977.5977357580723,True
22,31,chr6;37178342;37178360;+,1741.6155249276244,0.0,True,0.0,True,4639.55979780431,2388.683616776123,True
23,31,chr11;61102756;61102774;+,567.7608238688799,0.0,True,0.0,True,4829.776292822909,3942.9713078720674,True
24,31,control,0.0,0.0,True,0.0,control,5148.820453904872,5148.820453904872,control
25,43,"GFP, 2",712.4007334957851,0.0,True,0.0,True,5923.798241348527,4774.126912889552,True
26,43,chr6;37145575;37145593;+,776.5867777714493,0.0,True,0.0,True,5979.783671136079,4821.911728188991,True
27,43,chr6;37178342;37178360;+,1768.5379378968455,0.0,True,0.0,True,5428.2373179422675,2726.8678616759726,True
28,43,chr11;61102756;61102774;+,609.3666419993488,0.0,True,0.0,True,6050.138882387824,5129.842286464583,True
29,43,control,0.0,0.0,True,0.0,control,6361.068836311717,6361.068836311717,control
30,56,"GFP, 2",738.605281472338,0.0,True,0.0,True,7030.227114742568,5692.949380075392,True
31,56,chr6;37145575;37145593;+,839.4985264214602,0.0,True,0.0,True,7129.655589331016,5790.913084303165,True
32,56,chr6;37178342;37178360;+,1788.680310226665,0.0,True,0.0,True,6279.671066255413,3141.7622543467546,True
33,56,chr11;61102756;61102774;+,641.9187861041619,0.0,True,0.0,True,7229.751417674168,6188.684481306767,True
34,56,control,0.0,0.0,True,0.0,control,7628.899567937407,7628.899567937407,control
35,70,"GFP, 2",777.6482585891154,0.0,True,0.0,True,8036.853752203449,6584.139572514406,True
36,70,chr6;37145575;37145593;+,869.2643335211869,0.01,True,0.01,True,8192.870995118683,6804.557983412802,True
37,70,chr6;37178342;37178360;+,1810.4631775755297,0.0,True,0.0,True,7090.98851906772,3659.594187256532,True
38,70,chr11;61102756;61102774;+,691.916187508441,0.0,True,0.0,True,8405.89588054262,7407.9559002734195,True
39,70,control,0.0,0.0,True,0.0,control,8711.919673303377,8711.919673303377,control
40,85,"GFP, 2",797.7287812479462,0.0,True,0.0,True,9066.744812856423,7518.7434381523535,True
41,85,chr6;37145575;37145593;+,896.9558246673805,0.0,True,0.0,True,9279.086836229388,7844.200441478848,True
42,85,chr6;37178342;37178360;+,1831.4196323116976,0.0,True,0.0,True,7916.322182056657,4184.207325489069,True
43,85,chr11;61102756;61102774;+,731.421669756457,0.0,True,0.0,True,9563.923701528802,8579.4083269886,True
44,85,control,0.0,0.0,True,0.0,control,9817.017406312547,9817.017406312547,control
45,100,"GFP, 2",865.0296151068669,0.0,True,0.0,True,10094.555318120078,8450.953092197105,True
46,100,chr6;37145575;37145593;+,946.6326932071806,0.0,True,0.0,True,10268.421757344895,8717.082892546427,True
47,100,chr6;37178342;37178360;+,1870.7782859517229,0.0,True,0.0,True,8771.56043835531,4799.214661822715,True
48,100,chr11;61102756;61102774;+,763.3966717503645,0.01,True,0.01,True,10611.028300375283,9585.532000064019,True
49,100,control,0.0,0.0,True,0.0,control,10873.127928936183,10873.127928936183,control
