,singlePCA,multiPCA,edist,pvalue,significant,pvalue_adj,significant_adj,log10_edist
multiplet,0.3923081519697291,0.0,0.3923081519697291,1.0,False,1.0,False,-0.4063726673517632
control,0.0,0.0,0.0,0.0,True,0.0,True,-inf
non-targeting_00028,1.5946564422840002,0.0,1.5946564422840002,0.0,True,0.0,True,0.2026671317243993
chr11:1488473-1488949_8_+,1.9191586775585012,0.0,1.9191586775585008,0.0,True,0.0,True,0.2831108840315103
RASSF7_+_561000.23-P1P2,10.270330645519834,0.0,10.270330645519834,0.0,True,0.0,True,1.0115844256044055
non-targeting_00003,10.385727145045031,0.0,10.385727145045031,0.0,True,0.0,True,1.0164369085769749
chr11:518541-519179_46_-,34.86898189861218,0.0,34.86898189861218,0.0,True,0.0,True,1.5424392670699911
non-targeting_00025,2.5096827381434803,0.0,2.5096827381434803,0.0,True,0.0,True,0.3996188235598044
RRP8_+_6624578.23-P1P2,1.849464136293065,0.0,1.849464136293065,0.0,True,0.0,True,0.2670459141531506
TSPAN4_+_843278.23-P1,5.2970490361311136,0.0,5.2970490361311136,0.0,True,0.0,True,0.7240339933287607
non-targeting_00012,1.9748225927640437,0.0,1.974822592764044,0.0,True,0.0,True,0.2955280870793088
non-targeting_00021,1.3694084324215954,0.0,1.3694084324215954,0.0,True,0.0,True,0.1365329977995142
CTSD_+_1784725.23-P1P2,4.709951242801633,0.0,4.709951242801633,0.0,True,0.0,True,0.6730164113556892
SVIP_-_22851323.23-P1P2,1.061920498530232,0.0,1.061920498530231,0.0,True,0.0,True,0.0260920041823257
non-targeting_00002,0.8154934090223094,0.0,0.8154934090223094,0.0,True,0.0,True,-0.0885795446627105
chr11:3136627-3136904_5_-,0.81569479487636,0.0,0.8156947948763609,0.0,True,0.0,True,-0.0884723090103397
non-targeting_00007,2.306606879915157,0.0,2.306606879915158,0.0,True,0.0,True,0.3629735830639281
TSPAN4_+_843292.23-P1,2.047145617767095,0.0,2.047145617767095,0.0,True,0.0,True,0.3111487360398533
STIM1_-_3876975.23-P1P2,1.321547919032879,0.0,1.321547919032879,0.0,True,0.0,True,0.1210829151743143
