,singlePCA,multiPCA,edist,pvalue,significant,pvalue_adj,significant_adj,log10_edist
multiplet,0.3923079969266592,0.0,0.3923079969266592,0.322,False,0.96117647159674,False,-0.4063728389881738
control,0.0,0.0,0.0,0.0,True,0.0,True,-inf
non-targeting_00028,1.594645668945053,0.0,1.594645668945054,0.004,True,0.4225300840076355,False,0.2026641976645374
chr11:1488473-1488949_8_+,1.9191756761482202,0.0,1.9191756761482195,0.001,True,0.1470714967850457,False,0.2831147306967742
RASSF7_+_561000.23-P1P2,10.270427642220143,0.0,10.27042764222014,0.0,True,0.0,True,1.011588527218486
non-targeting_00003,10.385779567981666,0.0,10.38577956798167,0.0,True,0.0,True,1.0164391007137727
chr11:518541-519179_46_-,34.86891472586622,0.0,34.86891472586622,0.0,True,0.0,True,1.5424384304301064
non-targeting_00025,2.509602700406096,0.0,2.509602700406097,0.0,True,0.0,True,0.3996049730035377
RRP8_+_6624578.23-P1P2,1.8494574638708015,0.0,1.8494574638708008,0.0,True,0.0,True,0.267044347320174
TSPAN4_+_843278.23-P1,5.29682008437643,0.0,5.29682008437643,0.0,True,0.0,True,0.7240152216255112
non-targeting_00012,1.9748054289848387,0.0,1.974805428984839,0.006,True,0.5315271420972896,False,0.2955243124784824
non-targeting_00021,1.369413180034476,0.0,1.369413180034476,0.007,True,0.5725758389403052,False,0.1365345034558643
CTSD_+_1784725.23-P1P2,4.710242369515729,0.0,4.710242369515729,0.0,True,0.0,True,0.6730432546947351
SVIP_-_22851323.23-P1P2,1.0619084912611374,0.0,1.0619084912611374,0.019,True,0.7732490811079129,False,0.0260870935320471
non-targeting_00002,0.8154886183071808,0.0,0.8154886183071799,0.04,True,0.8531925981060581,False,-0.0885820959859136
chr11:3136627-3136904_5_-,0.8157069723330173,0.0,0.8157069723330164,0.042,True,0.8549733188426808,False,-0.0884658255035353
non-targeting_00007,2.3065563858446616,0.0,2.3065563858446616,0.0,True,0.0,True,0.3629640757931366
TSPAN4_+_843292.23-P1,2.0471323804541814,0.0,2.047132380454181,0.0,True,0.0,True,0.3111459277830832
STIM1_-_3876975.23-P1P2,1.3215561204295359,0.0,1.321556120429536,0.023,True,0.8083477050807293,False,0.1210856103548738
non-targeting_00018,1.5756580245751515,0.0,1.5756580245751517,0.017,True,0.7732490811079129,False,0.197461965592803
SVIP_-_22851165.23-P1P2,2.242197451704124,0.0,2.242197451704124,0.0,True,0.0,True,0.3506738546504312
TMEM41B_+_9336110.23-P1P2,1.0741828070382713,0.0,1.0741828070382713,0.032,True,0.8486970051175984,False,0.0310781969427005
HS2-B,5.350674431464826,0.0,5.350674431464826,0.0,True,0.0,True,0.7284085265825848
non-targeting_00027,11.785953159699348,0.0,11.785953159699352,0.0,True,0.0,True,1.0713647107685886
IFITM2_-_308368.23-P1P2,1.296622775834149,0.0,1.29662277583415,0.008,True,0.6061290324629252,False,0.112813645935879
non-targeting_00004,1.074227320362274,0.0,1.074227320362274,0.028,True,0.8421272332206291,False,0.0310961934050536
TSPAN4_-_842881.23-P1,0.8597467171856419,0.0,0.8597467171856419,0.036,True,0.8486970051175984,False,-0.0656294737913606
RASSF7_-_561657.23-P1P2,1.4897619846714365,0.0,1.4897619846714374,0.004,True,0.4225300840076355,False,0.1731168878747984
chr11:15906233-15906847_27_-,2.5513155011918505,0.0,2.5513155011918496,0.0,True,0.0,True,0.406764167725503
TIMM10B_+_6502735.23-P1P2,1.4807817589240164,0.0,1.4807817589240155,0.001,True,0.1470714967850457,False,0.1704910559018995
ZBED5_+_10879136.23-P1P2,1.1967452589958452,0.0,1.1967452589958452,0.009,True,0.6367134641155997,False,0.0780017156643086
chr11:5831136-5832192_4_-,1.6539237114420926,0.0,1.6539237114420915,0.001,True,0.1470714967850457,False,0.2185154734971607
MYC-A,1.9859515353639399,0.0,1.98595153536394,0.001,True,0.1470714967850457,False,0.2979686458809987
non-targeting_00005,1.1935047772732084,0.0,1.1935047772732084,0.021,True,0.7920690233580316,False,0.076824161708287
SVIP_+_22851369.23-P1P2,1.1043735965219055,0.0,1.1043735965219046,0.017,True,0.7732490811079129,False,0.0431160149339816
TIMM10B_-_6503082.23-P1P2,2.0246864799052657,0.0,2.024686479905265,0.0,True,0.0,True,0.3063577828155421
non-targeting_00014,1.2708511652641956,0.0,1.2708511652641956,0.02,True,0.7802364424125606,False,0.1040946914750561
chr11:3189676-3189977_5_-,1.4706419138726865,0.0,1.4706419138726865,0.007,True,0.5725758389403052,False,0.1675069393755724
chr11:9587334-9588102_20_+,39.758707761968026,0.0,39.758707761968026,0.0,True,0.0,True,1.599432260509814
non-targeting_00016,0.996612084481943,0.0,0.996612084481944,0.016,True,0.7732490811079129,False,-0.001473851068227
chr11:3875124-3876852_175_+,1.8209742924508152,0.0,1.8209742924508152,0.0,True,0.0,True,0.2603038146990594
STIM1_-_3877290.23-P1P2,3.4991451613233107,0.0,3.4991451613233107,0.0,True,0.0,True,0.5439619594746251
non-targeting_00029,2.9028217159074883,0.0,2.9028217159074874,0.0,True,0.0,True,0.4628203633634504
