,n,perturbation,edist,pvalue,significant,pvalue_adj,significant_adj,delta,sigma,significant_adj_new
0,2,CTSD_+_1784725.23-P1P2,0.5761648602420681,0.22,False,0.9999999999999802,False,9.576470212503258,6.692343704061541,False (lost)
1,2,HS2-B,1.422305521382448,0.01,True,0.9468532364722075,False,9.031807072430931,4.756876762776507,False (lost)
2,2,HS2-C,2.0668652747758074,0.0,True,0.0,True,9.61920647503106,5.287115814583406,True
3,2,HS2-D,2.8876004451500386,0.0,True,0.0,True,8.407189661057588,2.0423470162622306,True
4,2,IFITM2_+_308172.23-P1P2,0.8415787223405022,0.11,False,0.9999999999151579,False,11.897903753595534,11.069796924147658,False
5,2,IFITM2_+_308197.23-P1P2,2.4592499761827984,0.02,True,0.9962121140776034,False,13.198161411933897,12.05264098698209,False (lost)
6,2,IFITM2_+_308240.23-P1P2,0.2477293123899642,0.51,False,1.0,False,10.161485878366506,8.19081058364014,False
7,2,IFITM2_-_308368.23-P1P2,0.8467148325929799,0.12,False,0.9999999999678467,False,10.95474032325322,9.178333953210554,False
8,2,MYC-A,0.9552842038472082,0.18,False,0.9999999999997858,False,11.652950420018009,10.466184775485901,False
9,2,MYC-B,0.5076554279351928,0.27,False,0.9999999999999991,False,11.760592361511112,11.129097434384123,False
10,2,MYC-C,6.748311194312585,0.0,True,0.0,True,17.304033653176816,15.97532425133814,True
11,2,MYC-D,1.0384058542455126,0.08,False,0.9999999849280062,False,11.16504905691522,9.407260398882022,False (lost)
12,2,RASSF7_+_561000.23-P1P2,3.224771790861288,0.02,True,0.9962121140776034,False,13.40009612607687,11.690988600589543,False (lost)
13,2,RASSF7_-_561657.23-P1P2,0.24707154676677057,0.52,False,1.0,False,10.447413253814757,8.763323100159836,False (lost)
14,2,RRP8_+_6624578.23-P1P2,1.8503411795139204,0.04,True,0.9999698585302744,False,12.152167042045807,10.569561043874787,False (lost)
15,2,RRP8_-_6624794.23-P1P2,2.098044225514201,0.02,True,0.9962121140776034,False,11.770112279375706,9.557748472534303,False (lost)
16,2,RRP8_-_6624866.23-P1P2,6.3673746166146366,0.0,True,0.0,True,13.994506483601258,9.73720648988497,True
17,2,STIM1_+_3876425.23-P1P2,1.2350053277940045,0.09,False,0.9999999955899447,False,11.470228332476248,9.821019476455584,False (lost)
18,2,STIM1_+_3877281.23-P1P2,1.493359705666057,0.06,False,0.999999572140378,False,11.506804247795023,9.63581692922108,False (lost)
19,2,STIM1_-_3876975.23-P1P2,1.5139034454026987,0.02,True,0.9962121140776034,False,12.911474997489576,12.424614688873545,False (lost)
20,2,STIM1_-_3877290.23-P1P2,1.1240692715857357,0.11,False,0.9999999999151579,False,11.693136471374055,10.377771810459468,False (lost)
21,2,SVIP_+_22851369.23-P1P2,0.05203998193902315,0.86,False,1.0,False,10.227879826611728,8.519287810581526,False
22,2,SVIP_-_22850968.23-P1P2,0.057649634231577096,0.82,False,1.0,False,9.318968014851913,6.695854534769343,False
23,2,SVIP_-_22851165.23-P1P2,2.3800695743980995,0.01,True,0.9468532364722075,False,12.822273049593125,11.380044664085244,False (lost)
24,2,SVIP_-_22851323.23-P1P2,0.9554773287257721,0.08,False,0.9999999849280062,False,11.501431275738224,10.162953362047768,False
25,2,TIMM10B_+_6502735.23-P1P2,0.3824591543454794,0.21,False,0.9999999999999378,False,8.472806926322585,4.6787228375967835,False (lost)
26,2,TIMM10B_-_6502728.23-P1P2,0.09785447189743479,0.74,False,1.0,False,8.457268585651823,4.932250838703303,False (lost)
27,2,TIMM10B_-_6502754.23-P1P2,0.02544914224701067,0.95,False,1.0,False,8.779176966104563,5.648472929259208,False (lost)
28,2,TIMM10B_-_6503082.23-P1P2,0.7438959284237914,0.14,False,0.9999999999959939,False,10.181546077463832,7.734764365800965,False (lost)
29,2,TMEM41B_+_9336101.23-P1P2,0.7609197422122236,0.16,False,0.9999999999992332,False,10.567090447088853,8.488829291262576,False (lost)
30,2,TMEM41B_+_9336110.23-P1P2,1.3992249391648492,0.11,False,0.9999999999151579,False,12.216869523026894,11.150082246186031,False (lost)
31,2,TMEM41B_-_9335799.23-P1P2,1.5128175388126728,0.07,False,0.9999999189667188,False,13.116922264670784,12.836595129825987,False
32,2,TSPAN4_+_843123.23-P1,4.483761150502225,0.0,True,0.0,True,15.877072948435673,15.385952885666214,True
33,2,TSPAN4_+_843278.23-P1,1.6704877998355112,0.06,False,0.999999572140378,False,12.610059638305332,11.665199616072245,False (lost)
34,2,TSPAN4_+_843292.23-P1,1.9377094107682709,0.01,True,0.9468532364722075,False,11.601976710793073,9.381812150114968,False (lost)
35,2,TSPAN4_-_842881.23-P1,0.4252195129750671,0.26,False,0.9999999999999991,False,10.067049340289064,7.8244473069001526,False
36,2,ZBED5_+_10879120.23-P1P2,0.4091576610678711,0.29,False,0.9999999999999993,False,11.058483140540202,9.823376759309626,False
37,2,ZBED5_+_10879136.23-P1P2,0.2376695273361893,0.54,False,1.0,False,8.850440335323556,5.578779282608016,False (lost)
38,2,ZBED5_-_10879553.23-P1P2,0.288056220607519,0.54,False,1.0,False,10.779592156150267,9.386696230990108,False
39,2,chr11:267073-267299_1_-,0.039005654285038105,0.84,False,1.0,False,8.801068690709487,5.678699866431027,False (lost)
40,2,chr11:316245-316608_25_+,0.13186720373130711,0.65,False,1.0,False,9.093161399509322,6.17002373458443,False (lost)
41,2,chr11:316245-316608_32_+,0.1866154894944998,0.54,False,1.0,False,9.494587609467592,6.918127868737778,False (lost)
42,2,chr11:335789-336158_5_+,0.9734822621825625,0.11,False,0.9999999999151579,False,11.069383194698196,9.280852266510921,False (lost)
43,2,chr11:350705-351232_17_-,0.22641063785562565,0.58,False,1.0,False,9.483950927593943,6.857059356629354,False (lost)
44,2,chr11:350705-351232_32_+,0.46502491984779404,0.32,False,0.9999999999999999,False,10.320522488968944,8.291588197387187,False
45,2,chr11:353335-354301_10_+,1.0065991877665255,0.11,False,0.9999999999151579,False,10.764790680774984,8.638550313080536,False (lost)
46,2,chr11:355351-355535_3_-,1.547046610945868,0.07,False,0.9999999189667188,False,12.611895586185756,11.792312700722738,False (lost)
47,2,chr11:356035-356520_47_-,1.3757044359131054,0.06,False,0.999999572140378,False,10.794877645424497,8.329618994232982,False (lost)
48,2,chr11:407323-407640_9_-,2.5297970220907633,0.04,True,0.9999698585302744,False,12.999997735144692,11.585766587495714,False (lost)
49,2,chr11:407323-407640_18_-,0.35892361554533636,0.34,False,0.9999999999999999,False,9.596226916817606,6.949098357386968,False (lost)
50,2,chr11:503417-503684_8_+,1.4592526447867762,0.04,True,0.9999698585302744,False,11.072246936725275,8.800809367960866,False (lost)
51,2,chr11:518541-519179_13_+,2.506726474089062,0.01,True,0.9468532364722075,False,14.396157443624409,14.401156552456849,False
52,2,chr11:518541-519179_46_-,0.2838460858162346,0.41,False,0.9999999999999999,False,9.5626829649461,6.957087983373059,False (lost)
53,2,chr11:518541-519179_63_+,1.663391899983262,0.07,False,0.9999999189667188,False,13.39095849202472,13.234093223363272,False
54,2,chr11:537250-537635_35_+,2.3437998840099628,0.03,True,0.9996681314391457,False,14.434801303449538,14.641370862186205,False (lost)
55,2,chr11:537250-537635_36_+,0.0828201122767922,0.64,False,1.0,False,9.732602231244122,7.4979524895085445,False (lost)
56,2,chr11:551678-551880_3_+,1.452833938358502,0.08,False,0.9999999849280062,False,10.90795113169051,8.47863646431961,False (lost)
57,2,chr11:551678-551880_10_-,0.0039327613883166634,0.97,False,1.0,False,8.461037792051114,5.033710962011003,False
58,2,chr11:551678-551880_34_-,1.2312309356778641,0.14,False,0.9999999999959939,False,11.26757894681418,9.419495097247587,False (lost)
59,2,chr11:613336-613898_40_-,2.010802895778438,0.03,True,0.9996681314391457,False,12.115963170521447,10.336691584561548,False (lost)
60,2,chr11:628528-628920_20_+,0.19939847955186352,0.54,False,1.0,False,8.10807729509462,4.132324249934471,False (lost)
61,2,chr11:690929-691358_32_+,2.1318900746900606,0.02,True,0.9962121140776034,False,12.712085577251914,11.40784921911086,False (lost)
62,2,chr11:706017-706192_15_+,0.9524772035324869,0.19,False,0.9999999999999181,False,10.688468208432386,8.540027352629378,False (lost)
63,2,chr11:741567-741825_8_-,1.17818312601006,0.11,False,0.9999999999151579,False,11.294340360187912,9.526065733662856,False (lost)
64,2,chr11:783642-783767_7_+,2.1280377467038214,0.06,False,0.999999572140378,False,15.628034503622692,17.243599399838654,False (lost)
65,2,chr11:816450-816652_25_-,1.2223618134153895,0.15,False,0.9999999999983671,False,11.62623945854662,10.145685242974942,False (lost)
66,2,chr11:816450-816652_27_-,1.5468539466214999,0.02,True,0.9962121140776034,False,11.785295414918629,10.13930502251285,False
67,2,chr11:862076-862396_37_+,0.9622651826463855,0.05,False,0.9999961377882107,False,10.621309822805696,8.395922602262099,False (lost)
68,2,chr11:1053254-1053594_24_-,0.9074351072440976,0.12,False,0.9999999999678467,False,10.513869526322587,8.235872084698169,False (lost)
69,2,chr11:1053254-1053594_29_-,0.7429707086461192,0.14,False,0.9999999999959939,False,10.265153601561071,7.902904633773115,False (lost)
70,2,chr11:1283640-1284234_40_-,1.3676220894309576,0.07,False,0.9999999189667188,False,11.330293323578204,9.408532697022542,False (lost)
71,2,chr11:1285887-1286079_2_-,0.12867808545854054,0.74,False,1.0,False,10.427771333620834,8.84243272108022,False (lost)
72,2,chr11:1404402-1404794_28_+,0.04675058350215977,0.85,False,1.0,False,10.40588264724358,8.880582850282092,False
73,2,chr11:1433764-1433875_5_+,0.47891878202900706,0.33,False,0.9999999999999999,False,11.015144511469419,9.666938380206924,False (lost)
74,2,chr11:1433764-1433875_19_+,0.8176525549329394,0.22,False,0.9999999999999802,False,10.786413580845178,8.870742746054509,False (lost)
75,2,chr11:1488473-1488949_8_+,1.6623540314059913,0.06,False,0.999999572140378,False,11.835770781522728,10.124755670936556,False (lost)
76,2,chr11:1533749-1534025_3_-,0.6335583204847381,0.2,False,0.9999999999999181,False,10.310900531104275,8.103810881020905,False (lost)
77,2,chr11:1541754-1542169_7_+,0.444401346794832,0.25,False,0.9999999999999976,False,10.448283543526832,8.567733879555925,False (lost)
78,2,chr11:1561418-1561519_8_+,0.17168768708197035,0.49,False,1.0,False,7.65102811588562,3.2459366839863635,False (lost)
79,2,chr11:1568332-1568421_4_-,0.35020893114749896,0.48,False,1.0,False,11.510471838362617,10.786302884874829,False
80,2,chr11:1595831-1596187_61_+,2.536158562588591,0.04,True,0.9999698585302744,False,14.866648927552795,15.312707431814092,False (lost)
81,2,chr11:1781615-1781939_38_-,0.6310107282027761,0.26,False,0.9999999999999991,False,13.367684718959762,14.21992684901384,False
82,2,chr11:1783608-1784126_25_+,2.307415291213701,0.04,True,0.9999698585302744,False,11.925013025879851,9.658178899843094,False
83,2,chr11:1785033-1785338_17_-,2.7083726626071254,0.01,True,0.9468532364722075,False,11.279860492783744,7.966916462257455,False (lost)
84,2,chr11:1804107-1804560_29_+,1.227969243455039,0.08,False,0.9999999849280062,False,12.335654761858496,11.558908419559046,False (lost)
85,2,chr11:1804107-1804560_31_-,1.245881696987496,0.08,False,0.9999999849280062,False,10.961678087649963,8.793042617609522,False
86,2,chr11:1865688-1866233_9_+,4.051551629239407,0.0,True,0.0,True,12.503316577434918,9.07064966492752,True
87,2,chr11:1989836-1990190_12_-,0.40514181351280776,0.26,False,0.9999999999999991,False,9.743933710208939,7.198293746202163,False
88,2,chr11:1991145-1991394_24_+,1.7562033040329172,0.03,True,0.9996681314391457,False,10.48807298410385,7.335510803471875,False
89,2,chr11:2291832-2291940_2_-,1.5356156818123505,0.04,True,0.9999698585302744,False,13.069891586814718,12.719735631114178,False (lost)
90,2,chr11:2292210-2292477_1_+,0.6275653022227026,0.27,False,0.9999999999999991,False,11.916180773584166,11.320364384242723,False (lost)
