,edist,pvalue,significant,pvalue_adj,significant_adj,log10_edist
CTSD_+_1784725.23-P1P2,4.709951242801633,0.0,True,0.0,True,0.6730164113556892
HS2-B,5.3506806836286245,0.0,True,0.0,True,0.7284090340473326
HS2-C,3.572381526650428,0.0,True,0.0,True,0.5529578348947402
HS2-D,41.869223560498526,0.0,True,0.0,True,1.621894907236642
IFITM2_+_308172.23-P1P2,1.288034209944021,0.0,True,0.0,True,0.10992739795594444
IFITM2_+_308197.23-P1P2,1.4836586613345126,0.0,True,0.0,True,0.17133399625958456
IFITM2_+_308240.23-P1P2,1.4476813385102218,0.0,True,0.0,True,0.16067297611740425
IFITM2_-_308368.23-P1P2,1.2966221847296566,0.0,True,0.0,True,0.11281344794963122
MYC-A,1.9859596008426301,0.0,True,0.0,True,0.29797040966310206
MYC-B,0.7039160390263337,1.0,False,1.0,False,-0.15247913909953142
MYC-C,2.8977616138091857,0.0,True,0.0,True,0.4620626550945801
MYC-D,1.0877053456097272,0.0,True,0.0,True,0.03651126291086928
RASSF7_+_561000.23-P1P2,10.270330645519834,0.0,True,0.0,True,1.0115844256044055
RASSF7_-_561657.23-P1P2,1.4897744825866592,0.0,True,0.0,True,0.1731205312439438
RRP8_+_6624578.23-P1P2,1.849464136293065,0.0,True,0.0,True,0.26704591415315065
RRP8_-_6624794.23-P1P2,1.6245952030282282,0.0,True,0.0,True,0.210745166551012
RRP8_-_6624866.23-P1P2,2.3912873721694936,0.0,True,0.0,True,0.37863177044785956
STIM1_+_3876425.23-P1P2,1.0387995925830573,0.0,True,0.0,True,0.01653177062711036
STIM1_+_3877281.23-P1P2,1.8834934232710836,0.0,True,0.0,True,0.2749641080847794
STIM1_-_3876975.23-P1P2,1.321547919032879,0.0,True,0.0,True,0.12108291517431431
STIM1_-_3877290.23-P1P2,3.499179181956574,0.0,True,0.0,True,0.5439661819063308
SVIP_+_22851369.23-P1P2,1.1043710943824472,0.0,True,0.0,True,0.043115030967510806
SVIP_-_22850968.23-P1P2,1.5866852038101644,0.0,True,0.0,True,0.2004907718656021
SVIP_-_22851165.23-P1P2,2.242202937104537,0.0,True,0.0,True,0.3506749171243069
SVIP_-_22851323.23-P1P2,1.061920498530231,0.0,True,0.0,True,0.026092004182325733
